"PlotNumber","SiteUnit1","SiteUnit2","SiteUnit3","SiteUnit4","SiteUnit5","SiteUnit6","SiteUnit7","SiteUnit8","SiteUnit9","SiteUnit10","SiteUnit11"
"821253","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
"821263","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
"94-551","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
"94-559","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
"K01-417","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
"K99-166","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
"K99-167","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
"K99-179","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
"K99-460","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
"K99-708","~SxBlPl Boreal/SubBoreal Forest and Woodland Forest Region","CLASS Abielas (ESSF and Coldair) (Bl+Se+Pa >50% or Subalpine indicators)","ORDER Abielas-Vaccmem (ESSF central concept)","SUBORDER Abielas-Pinucon-Vaccini (southern ESSF verydry)","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)","SUBALL Abielas-Vaccsco (xc dkw zonals)","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",,,,"ESSFxc 1 /101"
