"","SiteSeries","Pred","Order","Same"
"149","CDF mm   /10Wb50","ORDER Picemar-Ledugro-Sphagnu","ORDER Kalmia-Sphagnu",0
"163","CWH ds 1 /06","ORDER Tsughet-Thujpli-Pleusch (ICH)","ORDER Tsughet-Rhytlor (CWH)",0
"203","CWH vh 1 /09Fm","ORDER Tsughet-Rhytlor (CWH)","ORDER Popubal",0
"237","CWH vh 3 /102","ORDER Pinucon-Chamnoo-Sphagnu","ORDER Tsughet-Rhytlor (CWH)",0
"327","CWH wm   /Fl01","ORDER Salix-Equiset","ORDER Alnuinc-Equiset",0
"339","CWH ws 1 /Wb13","ORDER Tsughet-Rhytlor (CWH)","ORDER Schepal-Sphagnu",0
"394","ESSFdc 3 /Ws12 ","ORDER Abielas-Vaccmem (ESSF central concept)","ORDER Piceene-Pleusch (SBS/MS) (Sx)",0
"414","ESSFdh 2 /112","ORDER Piceene-Pleusch (SBS/MS) (Sx)","ORDER Abielas-Vaccmem (ESSF central concept)",0
"448","ESSFmc   /03","ORDER Pinucon  (SBPS - SBS/MS/BWBSXeric sites and cold )(Pl +dry)","ORDER Piceene-Pleusch (SBS/MS) (Sx)",0
"478","ESSFmm 3 /102","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","ORDER Abielas-Vaccmem (ESSF central concept)",0
"494","ESSFmv 2 /06","ORDER Abielas-Vaccmem (ESSF central concept)","ORDER Piceene-Pleusch (SBS/MS) (Sx)",0
"498","ESSFmv 3 /02","ORDER Pinucon  (SBPS - SBS/MS/BWBSXeric sites and cold )(Pl +dry)","ORDER Piceene-Pleusch (SBS/MS) (Sx)",0
"510","ESSFmv 4 /05","ORDER Piceene-Pleusch (SBS/MS) (Sx)","ORDER Abielas-Vaccmem (ESSF central concept)",0
"582","ESSFwh 3 /102","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","ORDER Abielas-Vaccmem (ESSF central concept)",0
