"PlotNumber","SiteUnit1","SiteUnit2","SiteUnit3","SiteUnit4","SiteUnit5","SiteUnit6","SiteUnit7","SiteUnit8","SiteUnit9","SiteUnit10","SiteUnit11"
"0165181","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"1253581","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"637280","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"9614332","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"GHT011","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"GHT016","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"GHT154","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"GHT178","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"PS9288","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"PS9323","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"PS9327","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"PS9341","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Cassste(woodland)",,"ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",,,,"MH  wh   /102"
"9614333","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Coptasp (wh)",,"%ASSOC Tsugmer-Picesit--Calanut-Veravir",,,,"MH  wh   /111"
"9618625","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Coptasp (wh)",,"%ASSOC Tsugmer-Picesit--Calanut-Veravir",,,,"MH  wh   /111"
"PS9286","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Coptasp (wh)",,"%ASSOC Tsugmer-Picesit--Calanut-Veravir",,,,"MH  wh   /111"
"PS9315","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Coptasp (wh)",,"%ASSOC Tsugmer-Picesit--Calanut-Veravir",,,,"MH  wh   /111"
"RCO7730","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Coptasp (wh)",,"%ASSOC Tsugmer-Picesit--Calanut-Veravir",,,,"MH  wh   /111"
"JMV033","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Coptasp (wh)",,"%ASSOC Chamnoo-Caltlep",,,,"MH  wh 1 /05"
"TTA034","CwHw Temperate Rainforest coast - interior rainforest Region","CLASS Tsugmer (MH) (Hm >50%)","ORDER Tsugmer","SUBORDER Tsugmer-Coptasp (wh)","ALLIANCE Tsugmer-Coptasp (wh)",,"%ASSOC Chamnoo-Caltlep",,,,"MH  wh 1 /05"
