"","%ORDER Pinucon-Tsughet (ICH/CWH xeric)","ORDER Abielas-Vaccmem (ESSF central concept)","ORDER Alnuinc-Equiset","ORDER Betuocc","ORDER Betupap","ORDER Kalmia-Sphagnu","ORDER Piceene-Pleusch (SBS/MS) (Sx)","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","ORDER Picemar-Ledugro-Sphagnu","ORDER Picemar-Pleusch (coldair upland blackspruce)","ORDER Pinucon-Carepau-Sphaanu","ORDER Pinucon-Chamnoo-Sphagnu","ORDER Pinucon  (SBPS - SBS/MS/BWBSXeric sites and cold )(Pl +dry)","ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi)","ORDER Popubal","ORDER Poputre","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","ORDER Pseumen2-Mahoner (Coastal Fd forests)","ORDER Quergar","ORDER Salix","ORDER Salix-Equiset","ORDER Schepal-Sphagnu","ORDER Tsughet-Rhytlor (CWH)","ORDER Tsughet-Sphagnu","ORDER Tsughet-Thujpli-Pleusch (ICH)","ORDER Tsugmer"
"%ORDER Pinucon-Tsughet (ICH/CWH xeric)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER Abielas-Vaccmem (ESSF central concept)",0,277,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"ORDER Alnuinc-Equiset",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"ORDER Betuocc",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER Betupap",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ORDER Kalmia-Sphagnu",0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER Piceene-Pleusch (SBS/MS) (Sx)",0,4,0,2,1,0,194,1,7,0,0,0,11,0,7,0,0,0,0,0,0,0,0,1,2,0
"ORDER Picegla-Hylospl (BWBS/SWB) (Sw)",0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER Picemar-Ledugro-Sphagnu",0,0,0,0,0,0,1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER Picemar-Pleusch (coldair upland blackspruce)",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER Pinucon-Carepau-Sphaanu",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER Pinucon-Chamnoo-Sphagnu",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER Pinucon  (SBPS - SBS/MS/BWBSXeric sites and cold )(Pl +dry)",0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi)",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0
"ORDER Popubal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,1,0,0,0
"ORDER Poputre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,0,0,0,0,0,0,0,0,0,0
"ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0
"ORDER Pseumen2-Mahoner (Coastal Fd forests)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"ORDER Quergar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ORDER Salix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"ORDER Salix-Equiset",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"ORDER Schepal-Sphagnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0
"ORDER Tsughet-Rhytlor (CWH)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,176,0,1,0
"ORDER Tsughet-Sphagnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"ORDER Tsughet-Thujpli-Pleusch (ICH)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0
"ORDER Tsugmer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
