PlotNumber,SiteUnit1,SiteUnit2,SiteUnit3,SiteUnit4,SiteUnit5,SiteUnit6,SiteUnit7,SiteUnit8,SiteUnit9,SiteUnit10,SiteUnit11
8001411,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,,,,IDF xw   /03
8001432,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,,,,IDF xw   /03
841591,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,SUBASS PyFd-Pseuspi(Racomit),,,IDF ww   /102
K011030,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,SUBASS PyFd-Pseuspi(Racomit),,,IDF ww   /102
K011043,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,SUBASS PyFd-Pseuspi(Racomit),,,IDF ww   /102
K12-009,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,SUBASS PyFd-Pseuspi(Racomit),,,IDF ww   /102
K13-024,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,SUBASS PyFd-Pseuspi(Racomit),,,IDF ww   /102
K13-033,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,SUBASS PyFd-Pseuspi(Racomit),,,IDF ww   /102
K11-058,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,SUBASS PyFd-Pseuspi(Racomit),,,IDF mw 1 /102
K11-060,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,SUBASS PyFd-Pseuspi(Racomit),,,IDF mw 1 /102
K11-061,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),,,?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?,SUBASS PyFd-Pseuspi(Racomit),,,IDF mw 1 /102
109111,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,IDF dh   /102
Nov-85,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,IDF dh   /102
Nov-88,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,IDF dh   /102
Aug-58,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw  a/102
Aug-59,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw  a/102
Aug-64,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw  a/102
Tulip4,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw  a/102
"$812,065",FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw   /102
Aug-57,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw   /102
Aug-60,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw   /102
Aug-61,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw   /102
Nov-93,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw   /102
Nov-98,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub,SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL FdPy-Physmal-Pseuspi,ASSOC FdPy-Physmal-Holodis-Pseuspi,,,,ICH xw   /102
