"G1","G2","Score"
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Vaccsco-Barblyc",12.175
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe - Vaccsco (Pa)",33.4288888888889
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Menzfer (Tiartri)",34.27
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Menzfer (Pleusch)",41.58
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Menzfer (typic)",36.012380952381
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Menzfer",38.6215384615385
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",30.8045283018868
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",32.9855319148936
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlPl-Vaccsco-Cladoni(typic)",59.975
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlPl-Vaccsco-Cladoni(Abielas)",28.56
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC PlBl-Vaccsco(Calarub)",52.7066666666667
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",31.1241666666667
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Vaccsco(typic)",13.54
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlPl-Vaccmem",29.4
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Vaccsco",14.2923456790123
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Sk24 ASSOC BlLa-Vaccsco",33.52
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",39.4333333333333
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC BlLa - Heron s-bill moss",34.68
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Empenig",50.7522222222222
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Menzfer-Vaccmyt",59.4171428571429
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Pinualb-Abielas-Junicom-Shepcan",87.6
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlPa - Vaccmem - Paximyr",48.7890909090909
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Pinualb-Abielas-Cladoni%",73.32
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Vaccmem-Paximyr",36.7790476190476
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlCwLw-Clinuni",70.3763636363636
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlFd-Vaccmem-Paximyr",57.495
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC BlPl-Vaccmem-Xeroten",78.5577777777778
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Abielas-Vaccmem-Racomit",59.8914285714286
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Cladina(Dicranu)",82.58
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Cladoni(Pinualb)",51.22
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Cladoni(typic)",54.6
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",49.6921739130435
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Vaccmem-Pleusch(Vacccae)",68.2925
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Vaccmem-Pleusch(typic)",37.2288372093023
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Vaccmem-Empenig",39.7846153846154
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Menzfer-Ribelac",48.86
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlHw-Vaccmem-Rhytrob",63.7531034482759
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Abielas-Tsugmer-Strelan (ESSFmk zonal)",47.9526315789474
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlBa-Rhodalb-Rubuped(Valesit)",38.4854545454545
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BaBl-Rhodalb-Rubuped(Vaccovl)",49.2378947368421
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlBa-Vaccmem-Pleusch(Pl)",54.4971428571429
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlBa-Vaccmem-Pleusch(Hylospl)",59.1142857142857
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Abieama-Rubuped-Rhytrob (ESSFmw alternate zonal)",51.2844444444444
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Abielas-Abieama-Menzfer-Rubuped(mw2 alt)",66.2485714285714
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Abieama-Vaccmem-Dicranu",49.64
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlHm-Vaccmem(Pleusch)",61.6422222222222
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlHm-Vaccmem(Menzfer)",58.7976470588235
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","?ASSOC Abielas-Tsugmer-Gymndry",79.9266666666667
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Pa-Cladoni-Dicrfus(Menzfer)",67.68
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Pa-Cladoni-Dicrfus(Cassmer)",58.785
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Picemar-Ledugro",81.8505882352941
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl - Rhodalb -Tiartri (Luzula wm3)",52.27
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",45.4008695652174
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (typic wm1)",59.4563636363636
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Vaccmyt wm4)",46.5475
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)",53.1184615384615
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Xeroten",58.4782608695652
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Xeroten (Arnica)",56.0625
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Vaccmem-Xeroten",48.56
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Menzfer-Xeroten",65.1458823529412
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Valesit(Veravir)",68.3818181818182
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Valesit(Pleusch)(dc3)",34.8175
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Valesit(Vaccsco)(dc2)",18.046511627907
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)",29.6054054054054
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",47.26
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",43.4225531914894
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Rubuped-Dicranu(Menzfer)",38.8874576271186
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Pinualb)",44.9502325581395
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Empenig)",35.4742857142857
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)",34.6346153846154
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlPa - Vaccmem - Cladoni",47.91
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Bl-Vaccmem-Racomit",36.7742857142857
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Bl-Rhodalb-Woodrush",39.4965517241379
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Bl-Tiartri-Pleusch",46.62
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Bl-Rhodalb-Tiartri -Arnica",75.0633333333333
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlHw-Rhodalb-Tiartri(Rhytrob)",69.76
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlHw-Rhodalb-Tiartri(Gymndry)",57.8228571428571
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlHw-Rhodalb-Tiartri(Menzfer)",74.2315789473684
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlSe-Rhodalb-Tiartri (mh zonals)",52.08
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlSe-Menzfer-Tiartri",36.9811764705882
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas Rhodalb-Vaccvit",54.8509090909091
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Hylospl)",53.815
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Ribetri)",37.58
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Dicrsco)",54.1152941176471
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(typic)",82.5328205128205
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Abielas-Rhodalb-Equiset",81.6266666666667
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Gymndry-Equiset(typic)",43.8363636363636
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Athyfil-Equiset",101.969230769231
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Bl-Equiset-Mnium(Sphagnu)",62.7218181818182
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC SeBl-Equiarv-Gymndry",89.0433333333333
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Ws08.5 SUBASS SeHm-Equiarv-Valesit",64.68
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Ws08.1 SUBASS Piceeng-Equiarv-Valesit (Trolalb Southern)",34.1489361702128
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Piceng-Equiarv-Valesit (Leptpyr)",49.8488888888889
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Piceeng-Equiarv-Valesit (Vaccovl)",94.28
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Piceeng-Equivar-Valesit(Petafri)",42.5821052631579
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Ws08.2 SUBASS SeBl-Equiarv-Ligucan (southern border)",75.1744827586207
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Ws08.3 ASSOC SeBl-Equiarv-Senetri",35.3688888888889
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Ws08.3 SUBASS Abielas-Piceeng-Equiset-Pleusch (N-S transition)",47.98
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Ws08.3 SUBASS Piceeng-Equiset-Calacan (very wet sites)",39.1116666666667
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Bl-Valesit-Barbilo",29.8810526315789
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Valesit-Arnica(dry)",21.3064516129032
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Bl-Senetri-Ligucan (S Columbia)",60.1781818181818
