from,to,weight,type
SUBASS Bl-Gymndry-Ptilcri(typic),%ASSOC Abielas-Oplohor-Rhodalb,9.649350649,hyperlink
SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Hylospl),%ASSOC Abielas-Rhodalb-Equiset,8.666666667,hyperlink
ASSOC Abielas-Vaccmem-Paximyr,%ASSOC Abielas-Vaccmem-Racomit,6.857142857,hyperlink
SUBASS Bl-Gymndry-Equiset(typic),%ASSOC Bl-Equiset-Mnium(Sphagnu),6.363636364,hyperlink
ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula,%ASSOC BlLa - Heron s-bill moss,5.866666667,hyperlink
%ASSOC BlLa - Heron s-bill moss,%ASSOC Bl-Vaccmem-Racomit,6.333333333,hyperlink
ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula,%ASSOC Bl-Vaccmem-Racomit,9.619047619,hyperlink
ASSOC Abielas-Rhodalb-Menzfer,%ASSOC Bl-Vaccmem-Racomit,11.75824176,hyperlink
ASSOC Abielas-Vaccmem-Paximyr,%ASSOC Bl-Vaccmem-Racomit,1.523809524,hyperlink
ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri,%ASSOC Bl-Vaccmem-Racomit,8.925531915,hyperlink
ASSOC BlFd-Vaccmem-Paximyr,%ASSOC Bl-Vaccmem-Racomit,10.33333333,hyperlink
ASSOC BlPa - Vaccmem - Cladoni,%ASSOC Bl-Vaccmem-Racomit,5.142857143,hyperlink
SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic),%ASSOC Bl-Vaccmem-Racomit,11.76923077,hyperlink
SUBASS BlPl-Vaccmem,%ASSOC Bl-Vaccmem-Racomit,12,hyperlink
SUBASS Bl-Vaccmem-Xeroten,%ASSOC Bl-Vaccmem-Racomit,8.333333333,hyperlink
SUBASS Sxw-Equiset-Aulapal(Hylospl),%ASSOC Piceene-Equiset-Thalocc?,10.20731707,hyperlink
%ASSOC Picegla-Salix-Hylospl,%ASSOC Picegla-Betunan-Calacan,11.28571429,hyperlink
