"G1","G2","Score","DifferenceinPotential","ActualPotential","ConstRatio","MeanPotPoints","ConstDiffmax","ConstDiffmean"
"ESSFwm 4 /103.1","ESSFwm 1 /104",10.8676252967371,46.1188351648352,0.235643967543732,0.538461538461538,69.9438791208791,0.883147956234202,0.844623640648306
"ESSFwm 4 /103.1","ESSFwm 2 /103",14.0392942897544,51.2964285714286,0.273689507841762,0.4375,75.554532967033,0.861275561475696,0.81418329597934
"ESSFwm 4 /103.1","ESSFwh 2 /104",13.8815535646058,38.765,0.358095022948686,0.6,80.2317857142857,0.860646959770198,0.826981869579227
"ESSFwm 4 /103.1","ESSFwm 4 /101",9.08788756344333,38.3664285714286,0.236870824359478,0.615384615384615,66.9310714285714,0.894467131811375,0.864220198937919
"ESSFwm 4 /103.1","ESSFwm 4 /103.2",9.29245624041472,33.1205462184874,0.280564703828097,0.636363636363636,70.0716596638655,0.892736362413247,0.867386382954382
"ESSFdk 1 /101","ESSFdk 1 /110",0,4.40840336134454,0,1,46.7899159663866,1,1
"ESSFdk 1 /101","ESSFdk 1 /104",8.31918412609201,32.0857142857143,0.259280003929849,0.555555555555556,49.0428571428571,0.872181104296216,0.830369097341555
"ESSFdk 1 /101","ESSFdkw  /101.1",10.2020464384101,26.472380952381,0.38538454311162,0.5,43.8495238095238,0.821285472800624,0.767339629895952
"ESSFdk 1 /101","ESSFwm 1 /104",11.2378145329766,42.5324065934066,0.26421769735265,0.7,57.0556648351648,0.856517537170388,0.80303770772906
"ESSFdk 1 /101","ESSFwm 1 /101",14.3403651429823,47.9495324675325,0.299072053574087,0.466666666666667,63.8141298701299,0.836649442248245,0.775279155695348
"ESSFdk 1 /101","ESSFwm 4 /101",14.1897884882108,40.0857142857143,0.353986170411531,0.636363636363636,54.0428571428571,0.808467953302206,0.737434524405298
"ESSFdk 1 /101","ESSFdk 2 /101",11.7083333333333,25.5857142857143,0.457612134747813,0.7,51.7928571428571,0.818716360687164,0.773939226773319
"ESSFdk 1 /101","ESSFdk 2 /104",11.7700045890794,24.5857142857143,0.478733481252505,0.571428571428571,50.2928571428571,0.811937840393618,0.765970651545076
"ESSFdk 1 /101","ESSFdk 2 /111",14.1366050526631,43.7957142857143,0.322785123686732,0.384615384615385,54.8978571428571,0.815919349352379,0.742492589175634
