PlotNumber,SiteUnit
$812079,ESSFwm 4 /103.1
%801752,ESSFdk 1 /101
%801754,ESSFdk 1 /111
%801756,ESSFdk 1 /101
%801760,ESSFdk 1 /110
%801775,ESSFdk 1 /101
?801831,ESSFdk 1 /104
0001779,ESSFmm 1 /01
0002479,ESSFmm 1 /01
0002779,ESSFmm 1 /05
0003079,ESSFmm 1 /03
0003279,ESSFmm 1 /01
0003679,ESSFmm 1 /05
0004079,ESSFmm 1 /06
0004779,ESSFmm 1 /01
0005779,ESSFmm 1 /04
0005879,ESSFmm 1 /04
0005979,ESSFmm 1 /05
0006779,ESSFmm 1 /06
0007179,ESSFmm 1 /01
0007279,ESSFmm 1 /01
0008079,ESSFmm 1 /01
0008279,ESSFmm 1 /05
0008379,ESSFmm 1 /06
0008979,ESSFmm 1 /02
0009479,ESSFmm 1 /06
0009579,ESSFmm 1 /04
0009879,ESSFmm 1 /04
0009979,ESSFmm 1 /06
0010079,ESSFmm 1 /05
0010379,ESSFmm 1 /06
0010479,ESSFmm 1 /05
0029780,ESSFmm 1 /01
0030080,ESSFmm 1 /01
0036580,ESSFmm 1 /01
0037280,ESSFmm 1 /06
0037380,ESSFmm 1 /01
0038780,ESSFmm 1 /04
00CG038,ESSFxc 2 /101
00CG081,ESSFdc 3 /102
00CG090,ESSFxc 2 /101
00CG111,ESSFdc 3 /101  
00CG125,ESSFdc 3 /112
00DL900,ESSFwc 2 /01
00JG025,ESSFxc 2 /110
00JG027,ESSFxc 2 /110
00JG046,ESSFdc 3 /111
00NCe21,ESSFmw 1 /101.1
00NCe29,ESSFmw 1 /101.1
00NCe42,ESSFmw 1 /101.2
00NCe46,ESSFmw 1 /103
00NCe48,ESSFmw 1 /101.1
00NCe54,ESSFmw 1 /101.1
00NCe55,ESSFmw 1 /103
00NCe57,ESSFmw 1 /101.1
00NCe58,ESSFmw 1 /101.2
00NCe77,ESSFmw 1 /103
00NCe91,ESSFmw 1 /101.1
00NCe98,ESSFmw 1 /101.2
0105101,ESSFmcw  /101
0105102,ESSFmcw  /102
0105103,ESSFmcw  /101
0105104,ESSFmcw  /110
0105105,ESSFmcw  /110
0105107,ESSFmcw  /103
0105113,ESSFmcw  /101
0105114,ESSFmcw  /101
0105115,ESSFmcw  /101
0105116,ESSFmcw  /102
0105117,ESSFmcw  /101
0105120,ESSFmcw  /101
0105121,ESSFmcw  /110
0105122,ESSFmcw  /101
0105123,ESSFmcw  /101
0105124,ESSFmcw  /103
0105125,ESSFmcw  /101
0105126,ESSFmcw  /101
0105127,ESSFmcw  /101
0105128,ESSFmcw  /101
0105130,ESSFmcw  /102
0105131,ESSFmcw  /101
0105132,ESSFmcw  /101
0105133,ESSFmcw  /103
0105134,ESSFmcw  /101
0105135,ESSFmcw  /111
0105136,ESSFmcw  /110
0105137,ESSFmcw  /103
0105138,ESSFmcw  /101
0105144,ESSFmcw  /103
0109210,ESSFwm 4 /102b
