 ,SiteSeries,Pred
1,ESSFmcw  /101,ORDER Abielas-Vaccmem (ESSF central concept)
2,ESSFmcw  /102,ORDER Abielas-Vaccmem (ESSF central concept)
3,ESSFmcw  /110,ORDER Abielas-Vaccmem (ESSF central concept)
4,ESSFmcw  /103,ORDER Abielas-Vaccmem (ESSF central concept)
5,ESSFmcw  /111,ORDER Abielas-Vaccmem (ESSF central concept)
6,IDF mw 1 /101,ORDER Tsughet-Thujpli-Pleusch (ICH)
7,ESSFwvw  /105,ORDER Abielas-Vaccmem (ESSF central concept)
8,ESSFwvw /103,ORDER Abielas-Vaccmem (ESSF central concept)
9,ESSFmkw  /103,ORDER Abielas-Vaccmem (ESSF central concept)
10,ESSFmkw  /102,ORDER Abielas-Vaccmem (ESSF central concept)
11,ESSFwvw  /101,ORDER Abielas-Vaccmem (ESSF central concept)
12,ESSFwvw  /110,ORDER Abielas-Vaccmem (ESSF central concept)
13,ESSFwvw  /104,ORDER Abielas-Vaccmem (ESSF central concept)
14,ESSFwvw  /103,ORDER Abielas-Vaccmem (ESSF central concept)
15,ESSFwvw  /102,ORDER Abielas-Vaccmem (ESSF central concept)
16,ESSFwvw  /111,ORDER Abielas-Vaccmem (ESSF central concept)
17,ESSFmkw  /104,ORDER Abielas-Vaccmem (ESSF central concept)
18,ESSFmkw  /101,ORDER Abielas-Vaccmem (ESSF central concept)
19,ESSFmkw /104,ORDER Abielas-Vaccmem (ESSF central concept)
20,ESSFmkw  /110,ORDER Abielas-Vaccmem (ESSF central concept)
21,ESSFmkw  /111,ORDER Abielas-Vaccmem (ESSF central concept)
22,ICH dk   /06,ORDER Tsughet-Thujpli-Pleusch (ICH)
23,ESSFwvw  /101.1(Sk),ORDER Abielas-Vaccmem (ESSF central concept)
