"","Group","NoPlots","TotalSpp","NonrareSpp","ConstSpp","Poor"
"1","$At-Calarub",23,171,36,8,"OK"
"2","Act_forest",9,137,55,2,"Poor"
"3","Aspen",34,244,25,1,"Poor"
"4","Aspen poor quality",1,17,17,17,"Poor"
"5","At - Bluejoint",2,51,51,16,"Poor"
"6","At_forest",105,278,49,11,"OK"
"7","BG  xh 1 /102",21,106,54,25,"OK"
"8","BG  xh 1 /103",3,52,52,18,"Poor"
"9","BG  xh 1 /110",3,68,68,51,"Poor"
"10","BG  xh 1 /Fm01",2,23,23,4,"Poor"
"11","BG  xh 2 /102",5,48,18,7,"OK"
"12","BG  xh 2 /110",4,57,57,10,"Poor"
"13","BG  xh 2 /111",2,28,28,7,"Poor"
"14","BG  xh 2 /Fl06",1,3,3,3,"Poor"
"15","BG  xh 2 /Fm01",3,35,35,3,"Poor"
"16","BG  xh 3 /110",3,44,44,21,"Poor"
"17","BG  xh 3 /111",4,75,75,12,"Poor"
"18","BG  xh 3 /Ff01",3,29,29,9,"Poor"
"19","BG  xh 3 /Fl06",2,17,17,2,"Poor"
"20","BG  xw 1 /102",5,63,22,7,"OK"
"21","BG  xw 1 /110",3,51,51,16,"Poor"
"22","BG  xw 1 /111",6,56,22,8,"OK"
"23","BG  xw 1 /112",1,22,22,22,"Poor"
"24","BG  xw 1 /112$6B.1",2,34,34,6,"Poor"
"25","BG  xw 1 /Fl06",2,15,15,2,"Poor"
"26","BG  xw 1 /Fm01",3,36,36,12,"Poor"
"27","BG  xw 1 /Fm05",1,29,29,29,"Poor"
"28","BG  xw 1 /Ws03",1,23,23,23,"Poor"
"29","BG  xw 2 /110",10,93,33,15,"OK"
"30","BG  xw 2 /111",13,88,30,9,"OK"
"31","BG  xw 2 /113",3,49,49,20,"Poor"
"32","BG  xw 2 /114",7,77,39,8,"OK"
"33","BG  xw 2 /115",8,57,29,6,"OK"
"34","BG  xw 2 /Ff01",2,41,41,9,"Poor"
"35","BWBSdk   /101",97,198,33,12,"OK"
"36","BWBSdk   /101$6B.1",27,138,30,11,"OK"
"37","BWBSdk   /102",27,122,38,12,"OK"
"38","BWBSdk   /103",36,136,36,12,"OK"
"39","BWBSdk   /103$6B.1",5,50,24,16,"OK"
"40","BWBSdk   /104",68,173,37,10,"OK"
"41","BWBSdk   /110",15,118,26,10,"OK"
"42","BWBSdk   /110$6B.1",4,70,70,23,"Poor"
"43","BWBSdk   /111",15,110,32,15,"OK"
"44","BWBSdk   /At-Festalt",4,35,35,11,"Poor"
"45","BWBSdk   /Fl01",4,30,30,3,"Poor"
"46","BWBSdk   /Fl03",2,20,20,1,"Poor"
"47","BWBSdk   /Wb09",21,121,39,13,"OK"
"48","BWBSdk   /Wb11",1,27,27,27,"Poor"
"49","BWBSdk   /Ws15",3,60,60,17,"Poor"
"50","BWBSmk   /101",101,186,32,9,"OK"
"51","BWBSmk   /101$6B.1",14,70,37,13,"OK"
"52","BWBSmk   /101$6B.2",6,53,29,11,"OK"
"53","BWBSmk   /102",17,101,35,15,"OK"
"54","BWBSmk   /103",17,101,30,11,"OK"
"55","BWBSmk   /103$6B.1",14,92,36,7,"OK"
"56","BWBSmk   /104",107,195,27,8,"OK"
"57","BWBSmk   /104$6B.1",11,89,26,13,"OK"
"58","BWBSmk   /110",11,98,33,11,"OK"
"59","BWBSmk   /110$6B.1",5,59,31,19,"OK"
"60","BWBSmk   /111",47,188,41,12,"OK"
"61","BWBSmk   /At-Festalt",1,25,25,25,"Poor"
"62","BWBSmk   /Fl05",1,9,9,9,"Poor"
"63","BWBSmk   /Fl06",6,24,9,4,"Poor"
"64","BWBSmk   /Wb03",31,117,26,11,"OK"
"65","BWBSmk   /Wb03.1",11,36,18,10,"OK"
"66","BWBSmk   /Wb03.2",9,53,27,8,"OK"
"67","BWBSmk   /Wb05",4,64,64,11,"Poor"
"68","BWBSmk   /Wb06",13,150,43,11,"OK"
"69","BWBSmk   /Wb09",4,85,85,17,"Poor"
"70","BWBSmk   /Wb12",1,16,16,16,"Poor"
"71","BWBSmk   /Wb14",7,34,19,7,"OK"
