"SiteSeries","SiteSeries1","Score","Association","Association1","SubAssociation.x","SubAssociation.y"
"BG  xh 2 /Fm01","Act_forest",6,"Fm01 ASSOC Poputri-Sympalb-Rosa","","","SUBASS Fm01 Act-Sympalb-Rosa(typic)"
"BWBSdk   /101","BWBSmk   /103",9.34020618556701,"ASSOC Picegla-Shepcan-Hylospl","ASSOC Picegla-Shepcan-Leyminn","",""
"BWBSdk   /101","BWBSwk 2 /101",9.86658580958157,"ASSOC Picegla-Shepcan-Hylospl","ASSOC Picegla-Vaccmem-Hylospl","SUBASS Sw-Vaccmem-Hylospl(typic)",""
"BWBSdk   /101","BWBSmk   /101",0.841584158415842,"ASSOC Picegla-Shepcan-Hylospl","ASSOC Picegla-Vaccvit-Hylospl","",""
"BWBSdk   /101","BWBSdk   /103",6.91666666666667,"ASSOC Picegla-Shepcan-Hylospl","ASSOC Picegla-Pinucon-Shepcan-Geocliv","",""
"BWBSdk   /102","SWB mk 1 /02",1.40740740740741,"ASSOC Pinucon-Arctuva-Vaccvit","%ASSOC Picegla-Betunan-Cladina","",""
"BWBSdk   /110","SWB mk 1 /08",3.46666666666667,"ASSOC Picegla-Ribetri-Equiset","ASSOC Picegla-Pentflo-Equiset","","SUBASS Sw-Ribetri-Equiset(typic)"
"BWBSmk   /103","BWBSdk   /103",8.72222222222222,"ASSOC Picegla-Shepcan-Leyminn","ASSOC Picegla-Pinucon-Shepcan-Geocliv","",""
"BWBSmk   /104","BWBSmk   /Wb03.2",7.0778816199377,"ASSOC Picemar-Ledugro-Hylospl","Wb03 ASSOC Picemar-Vaccvit-Sphagnu","SUBASS Picemar - Vaccvit - Sphagnu(Hylospl)","SUBASS Picemar-Vaccmem-Vaccvit"
"BWBSmw   /Wb09","BWBSmk   /Wb03.2",8.73931623931624,"Wb09 ASSOC Picemar-Equiarv-Sphagnu","Wb03 ASSOC Picemar-Vaccvit-Sphagnu","SUBASS Picemar - Vaccvit - Sphagnu(Hylospl)",""
"BWBSwk 1 /101","SBS mc 2 /01",9.04388714733542,"ASSOC Picegla-Vaccmem-Hylospl","ASSOC Piceene-Vaccmem (SBSmc zonals)","SUBASS Sx-Vaccmem(typic)","SUBASS Sw-Vaccmem-Hylospl(Spirbet)"
"BWBSwk 2 /101","SBS mc 2 /01",7.48174442190669,"ASSOC Picegla-Vaccmem-Hylospl","ASSOC Piceene-Vaccmem (SBSmc zonals)","SUBASS Sx-Vaccmem(typic)","SUBASS Sw-Vaccmem-Hylospl(typic)"
"BWBSwk 3 /102","BWBSwk 3 /103",6.12719298245614,"ASSOC Pl-Vaccvit-Cladina(Empenig)","ASSOC Picemar-Ledugro-Hylospl","SUBASS Sb-Vaccmem-Vaccvit(Abielas)",""
"BWBSwk 3 /110","SWB mk 1 /08",0.666666666666667,"ASSOC Picegla-Ribetri-Equiset","ASSOC Picegla-Pentflo-Equiset","","SUBASS Sw-Ribetri-Equiset(typic)"
"CDF mm   /01","CWH xm 1 /03",0,"ASSOC Pseumen-Mahoner-Gaulsha","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(Rosagym)",""
"CDF mm   /01","CDF mm   /04",2.4,"ASSOC Pseumen-Mahoner-Gaulsha","ASSOC Thujpli-Mahoner-Achltri","",""
"CDF mm   /01","CDF mm   /12",6.26666666666667,"ASSOC Pseumen-Mahoner-Gaulsha","ASSOC Thujpli-Achltri","SUBASS Cw-Achltri(Acermac)",""
"CDF mm   /01","CDF mm   /03",3.02669093114953,"ASSOC Pseumen-Mahoner-Gaulsha","ASSOC Pseumen-Melisub","",""
