"G1","G2","Score"
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Vaccsco-Barblyc",16.56
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe - Vaccsco (Pa)",19.1
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Menzfer (Tiartri)",18.82
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Menzfer (Pleusch)",20.88
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Menzfer (typic)",19.38
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Menzfer",18.87
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",19.86
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlPl-Vaccsco-Cladoni(typic)",20.01
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlPl-Vaccsco-Cladoni(Abielas)",18.69
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC PlBl-Vaccsco(Calarub)",20.16
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",19.61
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Vaccsco(typic)",18.42
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlPl-Vaccmem",18.14
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Vaccsco",18.84
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Sk24 ASSOC BlLa-Vaccsco",17.42
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",19.48
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC BlLa - Heron s-bill moss",18.48
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Empenig",20.06
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Menzfer-Vaccmyt",21.82
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Pinualb-Abielas-Junicom-Shepcan",22.77
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlPa - Vaccmem - Paximyr",23.04
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Pinualb-Abielas-Cladoni%",23.16
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Vaccmem-Paximyr",17.76
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlCwLw-Clinuni",21.92
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlFd-Vaccmem-Paximyr",21.23
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC BlPl-Vaccmem-Xeroten",25.19
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Abielas-Vaccmem-Racomit",22.86
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Cladina(Dicranu)",25.12
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Cladoni(Pinualb)",22.2
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Cladoni(typic)",21.01
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",21.98
