"G1","G2","Score"
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Ws08.3 ASSOC SeBl-Equiarv-Senetri",13.98
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Piceene-Cornsto-Equiset (IDF)",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Piceene-PseumenCornsto-Aralnud",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS SxwFd-Cornsto-Sympalb(Acergla)",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Piceene-Pseumen-Ribelac-Pleusch",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS FdSxw-Rubupar(Corycor) (SBSmh)",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS FdSxw-Rubupar(Pleusch)",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Sw-Ribetri-Equiset(typic)",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Picegla-Rubupub-Hylospl",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Pl-Arctuva-Cladoni(typic)",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Pl-Pleusch-Cladina(Pyrola)",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Pl-Calarub-Pleusch(Vaccmyl)",0
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Pinucon-Vaccmem-Vaccmyl",0
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe - Vaccsco (Pa)",12.75
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe-Menzfer (Tiartri)",12
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe-Menzfer (Pleusch)",12.1875
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe-Menzfer (typic)",11.75
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Rhodalb-Menzfer",12.125
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",0
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",11.875
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlPl-Vaccsco-Cladoni(typic)",11.9375
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlPl-Vaccsco-Cladoni(Abielas)",10.75
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC PlBl-Vaccsco(Calarub)",10.125
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",12.625
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS PlBl-Vaccmem-Vaccsco(typic)",12.25
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlPl-Vaccmem",12.625
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Rhodalb-Vaccsco",13.125
"SUBASS BlSe-Vaccsco-Barblyc","Sk24 ASSOC BlLa-Vaccsco",11.125
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",12.125
"SUBASS BlSe-Vaccsco-Barblyc","%ASSOC BlLa - Heron s-bill moss",9.25
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Rhodalb-Empenig",12.5625
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Menzfer-Vaccmyt",11
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Pinualb-Abielas-Junicom-Shepcan",11.5625
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC BlPa - Vaccmem - Paximyr",14.1875
"SUBASS BlSe-Vaccsco-Barblyc","%ASSOC Pinualb-Abielas-Cladoni%",13.25
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Vaccmem-Paximyr",8.875
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC BlCwLw-Clinuni",12.625
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC BlFd-Vaccmem-Paximyr",13.125
"SUBASS BlSe-Vaccsco-Barblyc","%ASSOC Abielas-Vaccmem-Racomit",14.625
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS PlBl-Vaccmem-Cladoni(Pinualb)",12.8125
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS PlBl-Vaccmem-Cladoni(typic)",11.6875
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",14.25
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Vaccmem-Pleusch(typic)",13.125
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Vaccmem-Empenig",13.5625
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Menzfer-Ribelac",14.375
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC BlHw-Vaccmem-Rhytrob",14.125
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlBa-Rhodalb-Rubuped(Valesit)",14.6875
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlBa-Vaccmem-Pleusch(Pl)",11
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Abieama-Rubuped-Rhytrob (ESSFmw alternate zonal)",14.0625
"SUBASS BlSe-Vaccsco-Barblyc","%ASSOC Abielas-Abieama-Menzfer-Rubuped(mw2 alt)",13.375
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Abieama-Vaccmem-Dicranu",13.625
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Picemar-Ledugro",14.125
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Rhodalb-Menzfer-Tiartri (typic wm1)",14.75
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)",13.125
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe-Rhodalb-Xeroten",14.625
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Vaccmem-Xeroten",14.625
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Menzfer-Xeroten",14.25
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe-Rhodalb-Valesit(Pleusch)(dc3)",12.875
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe-Rhodalb-Valesit(Vaccsco)(dc2)",14.5
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)",14.375
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",14.5
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",14.625
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Rhodalb-Rubuped-Dicranu(Menzfer)",14.625
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Pinualb)",13.375
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Empenig)",9.75
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)",13.0625
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC BlPa - Vaccmem - Cladoni",13.5
