"","Group","NoPlots","TotalSpp","NonrareSpp","ConstSpp","Poor"
"1","%ASSOC Abielas-Abieama-Menzfer-Rubuped(mw2 alt)",7,51,19,7,"OK"
"2","%ASSOC Abielas-Menzfer-Rhodalb",5,44,17,12,"Poor"
"3","%ASSOC Abielas-Oplohor-Rhodalb",7,74,43,17,"OK"
"4","%ASSOC Abielas-Pinualb-Arnicor",5,54,27,21,"Poor"
"5","%ASSOC Abielas-Rhodalb-Equiset",6,109,58,20,"OK"
"6","%ASSOC Abielas-Tsugmer-Strelan (ESSFmk zonal)",19,87,28,4,"Poor"
"7","%ASSOC Abielas-Vaccmem-Racomit",7,88,42,6,"OK"
"8","%ASSOC Abielas-Valesit-Luzula (woodland)",4,45,45,7,"Poor"
"9","%ASSOC Abielas-Valesit-Saniunc",3,74,74,27,"Poor"
"10","%ASSOC Abielas(Tsughet) -Oplohor-Gymndry",10,112,48,23,"OK"
"11","%ASSOC AbielasPiceeng-Gymndry-Rubuped",9,88,49,14,"OK"
"12","%ASSOC Bl-Equiset-Mnium(Sphagnu)",11,177,54,13,"OK"
"13","%ASSOC Bl-Tiartri-Pleusch",7,88,46,12,"OK"
"14","%ASSOC Bl-Vaccmem-Racomit",7,125,44,4,"Poor"
"15","%ASSOC Bl-Valesit-Thalocc-Aulapal",6,102,55,21,"OK"
"16","%ASSOC BlFd--Vaccmem-Xeroten-Racomit",4,71,71,14,"Poor"
"17","%ASSOC BlLa - Heron s-bill moss",6,80,21,5,"Poor"
"18","%ASSOC BlPl-Vaccmem-Xeroten",9,85,42,14,"OK"
"19","%ASSOC Piceene-Acergla-Gymndry",5,93,52,30,"Poor"
"20","%ASSOC Piceene-Betunan-Aulapal",4,89,89,26,"Poor"
"21","%ASSOC Piceene-Carescp-Valesit",5,84,43,30,"Poor"
"22","%ASSOC Piceene-Equiset-Thalocc?",7,121,59,22,"OK"
"23","%ASSOC Piceene-Pinucon-Rhodgro-Pleusch",6,82,46,20,"OK"
"24","%ASSOC Piceene-Pleusch-Brachyt",8,116,73,28,"OK"
"25","%ASSOC Piceene-Pseumen-Oryzasp-Geocliv",6,102,63,33,"OK"
"26","%ASSOC Piceene-Rosaaci-Aralnud",6,104,61,32,"OK"
"27","%ASSOC Piceene-Rosaaci-Carecon",6,82,48,26,"OK"
"28","%ASSOC Piceene-Spirdou-Gymndry",6,104,51,22,"OK"
"29","%ASSOC Piceene-Spirdou-Rosaaci",5,70,51,34,"Poor"
"30","%ASSOC Picegla-Betunan-Calacan",7,67,32,7,"OK"
"31","%ASSOC Picegla-Betunan-Cladina",8,120,42,3,"Poor"
"32","%ASSOC Picegla-Gymndry-Aralnud",8,104,62,24,"OK"
"33","%ASSOC Picegla-Junicom-Leyminn",8,61,40,11,"OK"
"34","%ASSOC Picegla-Pinucon-Shepcan-Astecon",7,65,38,11,"OK"
"35","%ASSOC Picegla-Ribetri-Mertpan",5,76,42,30,"Poor"
"36","%ASSOC Picegla-Salix-Hylospl",8,110,42,6,"OK"
"37","%ASSOC Pinualb-Abielas-Cladoni%",6,69,28,5,"Poor"
"38","%ASSOC Pinualb-Abielas-Junicom-Vaccsco",5,56,26,17,"Poor"
"39","%ASSOC Pinucon-Abielas-Shepcan-Paximyr",7,61,35,13,"OK"
"40","%ASSOC Pinucon-Cladoni-Polyjun",5,115,52,31,"Poor"
"41","%ASSOC Pinucon-Empenig-Cladina",4,58,58,11,"Poor"
"42","%ASSOC Pinucon-Juniper-Oryzops",4,80,80,14,"Poor"
"43","%ASSOC Pinucon-Ledugro-Vaccmyl",4,70,70,37,"Poor"
"44","%ASSOC Pinucon-Shepcan-Dicranu",5,38,25,17,"Poor"
"45","%ASSOC Pinucon-Shepcan-Linnbor",9,91,50,21,"OK"
"46","%ASSOC Pinucon-Vaccmyl-Cladoni",6,78,44,16,"OK"
"47","%ASSOC Pinucon-Vaccsco-Racomit",4,54,54,8,"Poor"
"48","%ASSOC Pseumen-Piceene-Cornsto-Rubupar",3,45,45,18,"Poor"
"49","%ASSOC SeBl-Equiarv-Gymndry",6,110,61,20,"OK"
"50","?ASSOC Abielas-Tsugmer-Gymndry",6,60,31,11,"OK"
"51","?ASSOC Abielas-Vaccmem-Ribelac",3,71,71,30,"Poor"
"52","?ASSOC Abielas-Vaccmem-Rubupar%",2,58,58,23,"Poor"
"53","?ASSOC Piceene-Alnuinc-Loniinv?",2,57,57,19,"Poor"
"54","?ASSOC Piceene-Calarub-Hylospl",1,42,42,42,"Poor"
"55","?ASSOC Piceene-Carescp-Mnium",2,56,56,16,"Poor"
"56","?ASSOC Piceene-Loniinv-Calamag%",3,54,54,17,"Poor"
"57","?ASSOC Piceene-Rhodgro-Empenig-Aulapal",1,29,29,29,"Poor"
"58","?ASSOC Piceene-Shepcan-Equisci%",1,39,39,39,"Poor"
"59","?ASSOC Piceene-Shepcan-Linnbor?",1,34,34,34,"Poor"
"60","?ASSOC Piceene-Spirbet-Aulapal%",3,91,91,59,"Poor"
"61","?ASSOC Piceene-Spirdou-Sphagnu",3,69,69,29,"Poor"
"62","?ASSOC Piceene-Vacccae-Empenig-Aulapal",1,28,28,28,"Poor"
"63","?ASSOC Pinualb-Abielas-Junicom-Cladoni",2,16,16,7,"Poor"
"64","?ASSOC Pinucon-Abielas-Arctuva-Dicranu?",1,17,17,17,"Poor"
"65","?ASSOC Pinucon-Arctuva-Dicrpol",2,42,42,23,"Poor"
"66","?ASSOC Pinucon-Racomit",2,26,26,9,"Poor"
"67","?ASSOC Pseumen-Abielas-Vaccmem",3,76,76,28,"Poor"
"68","ASSOC Abielas-Abieama-Rubuped-Rhytrob (ESSFmw alternate zonal)",9,81,39,16,"OK"
"69","ASSOC Abielas-Abieama-Vaccmem-Dicranu",10,46,21,10,"OK"
"70","ASSOC Abielas-Athyfil-Equiset",13,171,70,19,"OK"
"71","ASSOC Abielas-Gymndry-Dicranu",25,150,48,14,"OK"
"72","ASSOC Abielas-Gymndry-Equiset (Northern)",1,42,42,42,"Poor"
"73","ASSOC Abielas-Loniinv-Athyfil",15,162,69,37,"OK"
"74","ASSOC Abielas-Menzfer-Ribelac",23,167,41,13,"OK"
"75","ASSOC Abielas-Menzfer-Vaccmyt",14,62,22,9,"OK"
"76","ASSOC Abielas-Menzfer-Xeroten",17,78,26,8,"OK"
"77","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",67,223,46,11,"OK"
"78","ASSOC Abielas-Picemar-Ledugro",17,121,32,13,"OK"
"79","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",53,193,37,7,"OK"
"80","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",24,146,36,8,"OK"
"81","ASSOC Abielas-Rhodalb-Empenig",18,95,26,12,"OK"
"82","ASSOC Abielas-Rhodalb-Menzfer",13,100,35,8,"OK"
"83","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",15,74,19,7,"OK"
"84","ASSOC Abielas-Rhodalb-Vaccsco",81,180,28,6,"OK"
"85","ASSOC Abielas-Vaccmem-Empenig",13,109,36,5,"Poor"
"86","ASSOC Abielas-Vaccmem-Paximyr",21,166,33,6,"OK"
"87","ASSOC Abielas-Valesit-Arnica(dry)",31,167,39,11,"OK"
"88","ASSOC Abielas Rhodalb-Vaccvit",11,76,29,9,"OK"
"89","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",15,107,17,6,"OK"
"90","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",47,180,26,9,"OK"
"91","ASSOC Bl-Rhodalb-Tiartri -Arnica",12,95,43,16,"OK"
"92","ASSOC Bl-Rhodalb-Woodrush",58,143,21,4,"Poor"
"93","ASSOC Bl-Senetri-Ligucan (S Columbia)",44,245,40,15,"OK"
"94","ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",47,200,39,13,"OK"
"95","ASSOC Bl-Valesit-Barbilo",38,151,30,9,"OK"
"96","ASSOC BlCwLw-Clinuni",11,98,35,10,"OK"
"97","ASSOC BlFd-Vaccmem-Paximyr",24,149,44,11,"OK"
"98","ASSOC BlHw-Vaccmem-Rhytrob",29,123,36,12,"OK"
"99","ASSOC BlPa - Arctuva",4,86,86,11,"Poor"
"100","ASSOC BlPa - Vaccmem - Cladoni",16,119,29,5,"Poor"
"101","ASSOC BlPa - Vaccmem - Paximyr",11,105,35,12,"OK"
"102","ASSOC BlSe-Menzfer-Tiartri",17,143,40,7,"OK"
"103","ASSOC BlSe-Rhodalb-Tiartri (mh zonals)",25,95,26,11,"OK"
"104","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",50,159,30,8,"OK"
"105","ASSOC Piceene-(Pseumen)-Cornsto-Corncan",27,202,51,19,"OK"
"106","ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",29,191,61,10,"OK"
"107","ASSOC Piceene-Abielas-Menzfer-Corncan",38,227,63,13,"OK"
"108","ASSOC Piceene-Alnuinc-Athyfil",4,70,70,20,"Poor"
"109","ASSOC Piceene-Cornsto-Equiset (IDF)",54,312,43,5,"Poor"
"110","ASSOC Piceene-Empenig-Pleusch-Aulapal",9,102,66,13,"OK"
"111","ASSOC Piceene-Empenig-Ptilcri",28,175,48,13,"OK"
"112","ASSOC Piceene-Equiset-Aulapal",3,80,80,19,"Poor"
"113","ASSOC Piceene-Loniinv",74,276,72,22,"OK"
"114","ASSOC Piceene-Pseumen-Ribelac-Pleusch",15,149,39,14,"OK"
"115","ASSOC Piceene-PseumenCornsto-Aralnud",21,178,41,7,"OK"
"116","ASSOC Piceene-Spirbet-Lathoch-Pleusch",30,179,49,23,"OK"
"117","ASSOC Piceene-Spirbet-Rosaaci-Pleusch",9,96,55,18,"OK"
"118","ASSOC Piceene-Spirdou",14,131,79,22,"OK"
"119","ASSOC Piceene-Vaccmem-Paximyr",41,144,29,11,"OK"
"120","ASSOC Piceeng-Abielas-Equiarv-Valesit",3,105,105,24,"Poor"
"121","ASSOC Piceeng-Oplohor-Athyfil(Tsughet)",19,114,49,18,"OK"
"122","ASSOC Picegla-Lupiarc-Hylospl",18,110,29,7,"OK"
"123","ASSOC Picegla-Pentflo-Equiset",26,211,48,7,"OK"
"124","ASSOC Picegla-Pinucon-Shepcan-Geocliv",36,158,36,13,"OK"
"125","ASSOC Picegla-Rubupub-Hylospl",47,196,52,17,"OK"
"126","ASSOC Picegla-Saligla-Betunan",32,192,31,8,"OK"
"127","ASSOC Picegla-Salix-Empenig",10,104,26,12,"OK"
"128","ASSOC Picegla-Shepcan-Hylospl",97,235,32,14,"OK"
"129","ASSOC Picegla-Shepcan-Leyminn",53,243,42,13,"OK"
"130","ASSOC Picegla-Vaccvit-Hylospl",101,222,30,11,"OK"
"131","ASSOC Picemar-Equiset-Hylospl",11,124,36,11,"OK"
"132","ASSOC Picemar-Ledugro-Hylospl",209,349,28,11,"OK"
"133","ASSOC Pinualb-Abielas-Junicom-Shepcan",13,110,40,15,"OK"
"134","ASSOC Pinucon-Arctuva-Vaccvit",47,203,42,10,"OK"
"135","ASSOC Pinucon-Festalt-Stercau",10,74,35,13,"OK"
"136","ASSOC Pinucon-Junicom-Arctuva",11,109,42,12,"OK"
"137","ASSOC Pinucon-Junicom-Calarub",34,200,44,7,"OK"
"138","ASSOC Pinucon-Junicom-Calarub-Cladoni",9,93,52,14,"OK"
"139","ASSOC Pinucon-Junicom-Pleusch",21,89,44,19,"OK"
"140","ASSOC Pinucon-Picemar-Pleusch",26,150,45,24,"OK"
"141","ASSOC Pinucon-Rhodalb-Calarub-Pleusch",17,141,43,11,"OK"
"142","ASSOC Pinucon-Shepcan-Calarub-Astecon",21,137,38,12,"OK"
"143","ASSOC Pinucon-Vaccmem-Cladina",13,93,42,11,"OK"
"144","ASSOC Pinucon-Vaccmem-Ptilcri",12,113,58,21,"OK"
"145","ASSOC Pinucon-Vaccmem-Vaccmyl",25,149,47,19,"OK"
"146","ASSOC Pinucon-Vaccvit-Cladina",9,97,49,9,"OK"
"147","ASSOC Pl-Calarub-Vaccsco-Arctuva",29,133,34,12,"OK"
"148","ASSOC Pl-Vaccvit-Cladina(Empenig)",6,51,25,13,"OK"
"149","ASSOC Pl(FdLw)-Calarub",32,152,41,11,"OK"
"150","ASSOC Pl(Lw)-Calarub-Vaccsco",25,144,39,14,"OK"
"151","ASSOC Pl(Pa)-Junicom-Shepcan",14,117,40,10,"OK"
"152","ASSOC PlBl-Vaccsco(Calarub)",15,120,30,6,"OK"
"153","ASSOC Pseumen-Piceene-Paximyr",26,166,71,34,"OK"
"154","ASSOC Pseumen-Piceene-Ptilcri",31,192,56,19,"OK"
"155","ASSOC SeBl-Ribelac-Gymndry",19,201,64,18,"OK"
"156","ASSOC Sxl-Oplohor-Drypexp-Mnium",18,68,34,13,"OK"
"157","ASSOC SxlHw-Equiset-Gymndry (ICH-N)",12,98,47,18,"OK"
"158","ASSOC Sxw-Arnica-Calarub (MSdw)",10,98,36,18,"OK"
"159","ASSOC Sxw-Gymndry(Thujpli)",20,188,64,16,"OK"
"160","ASSOC SxwBl-Equiset-Gymndry (MS/SBS)",70,339,60,17,"OK"
"161","ASSOC SxwBl-Equiset(MS/ICHmk)",80,355,45,8,"OK"
"162","ASSOC SxwBl-Ribelac (Rubupar)",11,155,55,18,"OK"
"163","ASSOC SxwBl-Rubupar-Arnica",18,190,71,12,"OK"
"164","ASSOC SxwFd-Corncan-Pleusch (MSdk)",25,156,41,17,"OK"
"165","Sk24 ASSOC BlLa-Vaccsco",12,136,25,3,"Poor"
"166","SUBASS BaBl-Rhodalb-Rubuped(Vaccovl)",19,80,26,12,"OK"
"167","SUBASS Bl-Athyfil-Gymndry(Alnuvir)",13,122,59,21,"OK"
"168","SUBASS Bl-Athyfil-Gymndry(Menzfer)",14,99,39,14,"OK"
"169","SUBASS Bl-Athyfil-Gymndry(Rhodalb)",19,157,45,14,"OK"
"170","SUBASS Bl-Athyfil-Gymndry(Veravir)",5,57,31,21,"Poor"
"171","SUBASS Bl-Gymndry-Equiset(Mertpan)",3,76,76,40,"Poor"
"172","SUBASS Bl-Gymndry-Equiset(Tsugmer)",3,68,68,28,"Poor"
"173","SUBASS Bl-Gymndry-Equiset(typic)",22,171,52,10,"OK"
"174","SUBASS Bl-Gymndry-Ptilcri(Aralnud)",5,47,24,14,"Poor"
"175","SUBASS Bl-Gymndry-Ptilcri(Brachyt)",29,152,58,23,"OK"
"176","SUBASS Bl-Gymndry-Ptilcri(Mertpan)",10,82,49,30,"OK"
"177","SUBASS Bl-Gymndry-Ptilcri(typic)",77,218,38,14,"OK"
"178","SUBASS Bl-Gymndry-Valesit(Abieama)",6,73,32,13,"OK"
"179","SUBASS Bl-Gymndry-Valesit(Ptilcri)",46,149,29,12,"OK"
"180","SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)",13,95,39,13,"OK"
"181","SUBASS Bl-Oplohor-Athyfil(Tsugmer)",9,96,44,15,"OK"
