"G1","Total"
"%ASSOC Abielas-Oplohor-Rhodalb",1
"%ASSOC Abielas-Rhodalb-Equiset",1
"%ASSOC Abielas-Tsugmer-Strelan (ESSFmk zonal)",5
"%ASSOC Abielas-Vaccmem-Racomit",2
"%ASSOC Bl-Equiset-Mnium(Sphagnu)",2
"%ASSOC Bl-Vaccmem-Racomit",16
"%ASSOC BlLa - Heron s-bill moss",6
"%ASSOC Piceene-Equiset-Thalocc?",2
"%ASSOC Picegla-Betunan-Calacan",1
"%ASSOC Picegla-Betunan-Cladina",6
"%ASSOC Picegla-Salix-Hylospl",4
"%ASSOC SeBl-Equiarv-Gymndry",1
"?ASSOC Abielas-Tsugmer-Gymndry",1
"ASSOC Abielas-Abieama-Rubuped-Rhytrob (ESSFmw alternate zonal)",1
"ASSOC Abielas-Menzfer-Ribelac",2
"ASSOC Abielas-Menzfer-Vaccmyt",3
"ASSOC Abielas-Menzfer-Xeroten",4
"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",6
"ASSOC Abielas-Pinucon-Menzfer-Vaccsco",3
"ASSOC Abielas-Pinucon-Paximyr-Vaccsco",6
"ASSOC Abielas-Rhodalb-Menzfer",13
"ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",6
"ASSOC Abielas-Rhodalb-Vaccsco",11
"ASSOC Abielas-Vaccmem-Empenig",9
"ASSOC Abielas-Vaccmem-Paximyr",12
"ASSOC Abielas-Valesit-Arnica(dry)",2
"ASSOC Abielas Rhodalb-Vaccvit",4
"ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",6
"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",13
"ASSOC Bl-Rhodalb-Tiartri -Arnica",5
"ASSOC Bl-Rhodalb-Woodrush",12
"ASSOC Bl-Senetri-Ligucan (S Columbia)",4
"ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",2
"ASSOC Bl-Valesit-Barbilo",2
"ASSOC BlCwLw-Clinuni",1
"ASSOC BlFd-Vaccmem-Paximyr",3
"ASSOC BlHw-Vaccmem-Rhytrob",2
"ASSOC BlPa - Vaccmem - Cladoni",11
"ASSOC BlSe-Menzfer-Tiartri",5
"ASSOC BlSe-Rhodalb-Tiartri (mh zonals)",5
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)",4
"ASSOC Piceene-(Pseumen)-Cornsto-Corncan",2
"ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",5
"ASSOC Piceene-Abielas-Menzfer-Corncan",3
"ASSOC Piceene-Cornsto-Equiset (IDF)",4
"ASSOC Piceene-Empenig-Pleusch-Aulapal",3
"ASSOC Piceene-Empenig-Ptilcri",2
"ASSOC Piceene-Loniinv",2
"ASSOC Piceene-Pseumen-Ribelac-Pleusch",1
"ASSOC Piceene-PseumenCornsto-Aralnud",2
"ASSOC Piceene-Spirbet-Lathoch-Pleusch",2
"ASSOC Piceene-Spirbet-Rosaaci-Pleusch",1
"ASSOC Piceene-Vaccmem-Paximyr",4
"ASSOC Piceeng-Oplohor-Athyfil(Tsughet)",1
"ASSOC Picegla-Lupiarc-Hylospl",3
"ASSOC Picegla-Pinucon-Shepcan-Geocliv",3
"ASSOC Picegla-Rubupub-Hylospl",1
"ASSOC Picegla-Saligla-Betunan",6
"ASSOC Picegla-Salix-Empenig",1
"ASSOC Picegla-Shepcan-Hylospl",4
"ASSOC Picegla-Shepcan-Leyminn",3
"ASSOC Picegla-Vaccvit-Hylospl",5
"ASSOC Picemar-Ledugro-Hylospl",3
"ASSOC Pinualb-Abielas-Junicom-Shepcan",2
"ASSOC Pinucon-Arctuva-Vaccvit",2
"ASSOC Pinucon-Festalt-Stercau",3
"ASSOC Pinucon-Junicom-Arctuva",3
"ASSOC Pinucon-Junicom-Calarub",9
"ASSOC Pinucon-Junicom-Calarub-Cladoni",1
"ASSOC Pinucon-Shepcan-Calarub-Astecon",2
"ASSOC Pinucon-Vaccmem-Cladina",1
"ASSOC Pinucon-Vaccmem-Ptilcri",2
"ASSOC Pinucon-Vaccmem-Vaccmyl",1
"ASSOC Pinucon-Vaccvit-Cladina",3
"ASSOC Pl-Calarub-Vaccsco-Arctuva",3
"ASSOC Pl-Vaccvit-Cladina(Empenig)",1
"ASSOC Pl(Lw)-Calarub-Vaccsco",3
"ASSOC PlBl-Vaccsco(Calarub)",3
"ASSOC Pseumen-Piceene-Paximyr",2
"ASSOC Pseumen-Piceene-Ptilcri",2
"ASSOC Sxw-Gymndry(Thujpli)",2
"ASSOC SxwBl-Equiset-Gymndry (MS/SBS)",4
"ASSOC SxwBl-Equiset(MS/ICHmk)",10
"ASSOC SxwBl-Rubupar-Arnica",4
"ASSOC SxwFd-Corncan-Pleusch (MSdk)",1
"Sk24 ASSOC BlLa-Vaccsco",1
"SUBASS BaBl-Rhodalb-Rubuped(Vaccovl)",1
"SUBASS Bl-Athyfil-Gymndry(Alnuvir)",1
"SUBASS Bl-Athyfil-Gymndry(Rhodalb)",3
"SUBASS Bl-Gymndry-Equiset(typic)",8
"SUBASS Bl-Gymndry-Ptilcri(Brachyt)",3
"SUBASS Bl-Gymndry-Ptilcri(typic)",7
"SUBASS Bl-Gymndry-Valesit(Abieama)",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)",6
"SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)",7
"SUBASS Bl-Oplohor-Athyfil(Valesit)",2
"SUBASS Bl-Oplohor-Gymndry(Ptilcri)",2
"SUBASS Bl-Rhodalb-Gymndry(Clinuni)",5
"SUBASS Bl-Rhodalb-Gymndry(Menzfer)",4
"SUBASS Bl-Rhodalb-Gymndry(Rhytrob)",9
"SUBASS Bl-Rhodalb-Gymndry(Tsughet)",5
"SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",9
"SUBASS Bl-Rhodalb-Menzfer-Tiartri (typic wm1)",6
"SUBASS Bl-Rhodalb-Menzfer-Tiartri (Vaccmyt wm4)",8
"SUBASS Bl-Rhodalb-Pleusch-Dicranu(Empenig)",6
"SUBASS Bl-Rhodalb-Pleusch-Dicranu(Pinualb)",3
"SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)",10
"SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Dicrsco)",3
"SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Hylospl)",4
"SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Ribetri)",8
"SUBASS Bl-Rhodalb-Pleusch-Ptilcri(typic)",3
"SUBASS Bl-Rhodalb-Rubuped-Dicranu(Menzfer)",3
"SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",5
"SUBASS Bl-Vaccmem-Pleusch(typic)",6
"SUBASS Bl-Vaccmem-Pleusch(Vacccae)",2
"SUBASS Bl-Vaccmem-Xeroten",6
"SUBASS Bl-Valesit-Tiarell (Erigper)",1
"SUBASS Bl-Valesit-Tiarell (Strelan)",6
"SUBASS Bl-Valesit-Trollax",5
"SUBASS Bl-Valesit-Trollax (Rhodneo)",1
"SUBASS Bl-Valesit-Veravir-Trolalb",2
"SUBASS Bl - Rhodalb -Tiartri (Luzula wm3)",5
"SUBASS BlBa-Rhodalb-Rubuped(Valesit)",4
"SUBASS BlBa-Vaccmem-Pleusch(Hylospl)",1
"SUBASS BlBa-Vaccmem-Pleusch(Pl)",1
"SUBASS BlHm-Vaccmem(Menzfer)",3
"SUBASS BlHm-Vaccmem(Pleusch)",4
"SUBASS BlHw-Rhodalb-Tiartri(Gymndry)",6
"SUBASS BlHw-Rhodalb-Tiartri(Menzfer)",4
"SUBASS BlHw-Rhodalb-Tiartri(Rhytrob)",6
"SUBASS BlPl-Vaccmem",6
"SUBASS BlPl-Vaccsco-Cladoni(Abielas)",3
"SUBASS BlPl-Vaccsco-Cladoni(typic)",1
"SUBASS BlSe-Menzfer (Pleusch)",3
"SUBASS BlSe-Menzfer (Tiartri)",3
"SUBASS BlSe-Menzfer (typic)",4
"SUBASS BlSe-Rhodalb-Valesit(Pleusch)(dc3)",6
"SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)",8
"SUBASS BlSe-Rhodalb-Valesit(Vaccsco)(dc2)",4
"SUBASS BlSe-Rhodalb-Xeroten",6
"SUBASS BlSe-Rhodalb-Xeroten (Arnica)",4
"SUBASS BlSe-Vaccsco-Barblyc",3
"SUBASS BlSe - Vaccsco (Pa)",1
"SUBASS FdSx-Calarub(Vaccmyl)",2
"SUBASS Pa-Cladoni-Dicrfus(Cassmer)",3
"SUBASS Pa-Cladoni-Dicrfus(Menzfer)",2
"SUBASS Piceeng-Equiarv-Valesit (Vaccovl)",1
"SUBASS Piceeng-Equivar-Valesit(Petafri)",3
"SUBASS Piceng-Equiarv-Valesit (Leptpyr)",4
"SUBASS Pl-Arctuva-Cladoni(Pleusch)",2
"SUBASS Pl-Arctuva-Cladoni(typic)",2
"SUBASS Pl-Calarub-Arctuva(Junicom)",2
"SUBASS Pl-Calarub-Pleusch(Arnicor)",1
"SUBASS Pl-Calarub-Vaccsco-Pleusch(Abielas) (MSxk1)",6
"SUBASS Pl-Calarub-Vaccsco-Pleusch(Junicom)(MSxk3)",3
"SUBASS Pl-Calarub-Vaccsco(Pleusch)",5
"SUBASS Pl-Calarub-Vaccsco(typic)",4
"SUBASS Pl-Vaccmem-Cladoni(typic)",3
"SUBASS Pl-Vaccsco-Cladoni(Arctuva)",1
"SUBASS Pl-Vaccsco-Cladoni(Empenig)",3
"SUBASS Pl-Vaccsco-Cladoni(Junicom-typic)",3
"SUBASS Pl-Vaccsco-Pleusch(Abielas)",4
"SUBASS Pl-Vaccsco-Pleusch(Empenig)",4
"SUBASS PlBl-Cladina(Dicranu)",1
"SUBASS PlBl-Vaccmem-Cladoni(typic)",1
"SUBASS PlBl-Vaccmem-Vaccsco(typic)",8
"SUBASS PlSxw-Rhodneo-Vaccsco (Empenig)",1
"SUBASS PlSxw-Rhodneo-Vaccsco (Pleusch)",1
"SUBASS Sb-Vaccmem-Petafri(Pleusch)",1
"SUBASS Sb-Vaccmem-Petafri(Spirbet)",1
"SUBASS Sb-Vaccmem-Vaccvit(Abielas)",3
"SUBASS Sb-Vaccmem-Vaccvit(typic)",3
"SUBASS SeBl-Oplohor-Athyfil",7
"SUBASS SeBl-Oplohor-Athyfil(Thujpli)",3
"SUBASS SeBl-Rhodneo-Vaccsco (Se)",2
"SUBASS Sw-Ribetri-Equiset(Alnuinc)",1
"SUBASS Sw-Ribetri-Equiset(typic)",2
"SUBASS Sw-Vaccmem-Hylospl(Spirbet)",1
"SUBASS Sw-Vaccmem-Hylospl(typic)",4
"SUBASS Sw-Vaccmem-Hylospl(Vaccvit)",1
"SUBASS Sx-Loniinv-Gymndry(Vibuedu)",1
"SUBASS Sx-Vaccmem-Vibuedu(Mertpan)",2
"SUBASS Sx-Vaccmem-Vibuedu(Rubupar)",5
"SUBASS Sx-Vaccmem-Vibuedu(Shepcan)",1
"SUBASS Sx-Vaccmem(Paximyr)",3
"SUBASS Sx-Vaccmem(typic)",7
"SUBASS Sx-Vaccmem(Vacccae)",1
"SUBASS Sxw-Equiset-Aulapal(Caredis)",3
"SUBASS Sxw-Equiset-Aulapal(Hylospl)",6
"SUBASS Sxw-Equiset-Aulapal(Sphagnu)",6
"SUBASS Sxw-Equiset(Loniinv)",6
"SUBASS Sxw-Gymndry(Aralnud)",3
"SUBASS Sxw-Gymndry(Arnica)",3
"SUBASS Sxw-Gymndry(Ptilcri)",4
"SUBASS Sxw-Oplohor-Athyfil",2
"SUBASS Sxw-Oplohor-Athyfil(Dryoexp)",2
"SUBASS Sxw-Oplohor-Athyfil(Ptilcri)",4
"SUBASS Sxw-Orthsec-Pleusch(Rhytrob)",5
"SUBASS Sxw-Orthsec-Pleusch(Shepcan)",6
"SUBASS Sxw-Orthsec-Pleusch(typic)",6
"SUBASS Sxw-Paximyr-Pleusch(Lariocc)",2
"SUBASS Sxw-Paximyr-Pleusch(Pseumen)",9
"SUBASS Sxw-Paximyr-Pleusch(typic)",8
"SUBASS SxwBl-Rhodneo-Vaccsco (Corncan)",1
"SUBASS SxwBl - Ribelac (typic)",6
"SUBASS SxwFd-Cornsto-Sympalb(Acergla)",1
"SUBASS SxwFd-Rhyttri(Oryzasp)",3
"Ws08.1 SUBASS Piceeng-Equiarv-Valesit (Trolalb Southern)",12
"Ws08.2 SUBASS SeBl-Equiarv-Ligucan (southern border)",2
"Ws08.3 ASSOC SeBl-Equiarv-Senetri",4
"Ws08.3 SUBASS Abielas-Piceeng-Equiset-Pleusch (N-S transition)",3
"Ws08.3 SUBASS Piceeng-Equiset-Calacan (very wet sites)",5
