"G1","G2","Score"
"SBS vk   /Wb02","ICH wk 3 /Wb02",9.375
"SBS vk   /Wb02","Wb02",12.4117647058824
"SBS vk   /Wb02","SBS wk 1 /Wb02",0
"SBS vk   /Wb02","SBS wk 1 /Wb05",11.8627450980392
"SBS vk   /Wb02","ICH mc 2 /Wb12",14
"Wb02","SBS wk 1 /Wb02",14
"SBS wk 1 /Wb02","SBS wk 1 /Wb05",11.4333333333333
"SBS dk   /Wb01","SBS mw   /Wb01",14.1666666666667
"BWBSmk   /Wb03.1","BWBSmw   /Wb03",12.2363636363636
"BWBSmk   /Wb03.1","BWBSmk   /Wb03",4.64516129032258
"BWBSmw   /Wb03","BWBSmk   /Wb03",2.49354838709677
"BWBSmk   /Wb03","BWBSmw   /Wb09",12.2952853598015
"BWBSmk   /Wb03","BWBSmw   /Wb06",13.2064516129032
"BWBSmk   /Wb03.2","BWBSmw   /Wb09",8.73931623931624
"BWBSmk   /Wb03.2","BWBSdk   /Wb09",11.3571428571429
"BWBSmk   /Wb03.2","BWBSmk   /104",7.0778816199377
"Wb09","BWBSmw   /Wb09",5.47435897435897
"Wb09","SBS mc 2 /Wb09",12.75
"Wb09","BWBSdk   /Wb09",14.6190476190476
"BWBSmw   /Wb09","BWBSdk   /Wb09",5.83333333333333
"BWBSmw   /Wb09","BWBSwk 1 /Wb09",1.5
"BWBSmw   /Wb09","BWBSwk 3 /111",13.1923076923077
"BWBSdk   /Wb09","BWBSwk 1 /Wb09",10.2857142857143
"BWBSdk   /Wb09","BWBSmk   /Ws15",14.9761904761905
"ESSFmv 2 /03","ESSFmv 4 /03",6.26666666666667
"SBS vk   /Ws09","SBS wk 1 /Ws09",14.9513888888889
"ICH mc 2 /Wb08","SBS dk   /Wb08",14.8181818181818
"SBS dk   /Wb08","SBS dw 3 /Wb05",13.4545454545455
"ESSFmv 4 /03","ESSFmv 2 /01",14.9966666666667
"ESSFmv 4 /03","ESSFmv 2 /02",13.9848484848485
"BWBSmw   /Wb06","BWBSmk   /Wb06",9.68205128205128
"BWBSmw   /Wb06","Wb06",1.6
"CWH wh 1 /Wb53.2","CWH vh 3 /Wb53.1",14.7142857142857
"CWH vh 3 /Wb53.1","CWH vh 3 /Wb53.2",8.02197802197802
"CWH vh 3 /Wb53.1","CWH vh 2 /12",11.5714285714286
"CWH vh 2 /02","CWH vh 2 /12",0
"ICH mc 1 /Wb13","ICH vc   /Wb13",10.3333333333333
"CWH xm 2 /Wb50","CWH xm 1 /Wb50",11.2954545454545
"CWH xm 1 /Wb50","CDF mm   /10Wb50",14.6363636363636
"MH  wh   /102","CWH vm 2 /02",14
"MH  wh   /111","MH  wh   /110",11.3
"MH  wh 1 /05","CWH vm 2 /02",5.81481481481481
"MH  mm 1 /06","MH  mm 1 /09",8.28571428571428
"MH  wh   /101b","MH  wh   /101a",12.5595238095238
"MH  wh   /101b","CWH wh 2 /111",4.67261904761905
"MH  wh 1 /02","MH  mm 1 /02",8.84615384615385
"MH  wh 1 /02","CWH vm 2 /02",8
"MH  mm 1 /09","MH  mm 1 /04",9.96031746031746
"MH  mm 1 /09","MH  mm 1 /01",12.7301587301587
"MH  mm 1 /09","MH  mm 1 /02",9.57142857142857
"MH  mm 1 /08","MH  mm 1 /02",9.3
"MH  mm 1 /08","CWH vm 2 /02",8.56666666666667
"MH  mm 2 /04","MH  mm 1 /01",0
"MH  mm 2 /04","MH  mm 2 /01",1.48387096774194
"MH  mm 2 /04","MH  mm 2 /03",13.2508960573477
"MH  mm 2 /04","MH  mm 2 /05",14.0725806451613
"MH  mm 2 /04","CWH ws 2 /05",8.67096774193548
"MH  wh   /110","MH  wh   /101a",13.2380952380952
"MH  wh   /110","CWH wh 2 /111",10.3571428571429
"MH  wh   /101a","CWH wh 2 /111",10.5
"MH  wh   /101a","CWH wh 2 /112a",12.2797619047619
"MH  mm 1 /04","MH  mm 1 /01",5.44444444444444
"MH  mm 1 /04","CWH vm 2 /06",10.0579710144928
"MH  mm 1 /01","MH  mm 2 /01",3.52542372881356
"MH  mm 1 /01","MH  mm 2 /02",2.90530303030303
"MH  mm 1 /01","MH  mm 1 /05",13.9166666666667
"MH  mm 1 /01","MH  mm 1 /02",12.4594017094017
"MH  mm 1 /01","CWH ws 2 /01",13.482905982906
"MH  mm 1 /01","CWH ws 2 /05",9.73333333333333
"MH  mm 1 /01","CWH vm 2 /06",14.1835748792271
"MH  mm 1 /01","CWH vm 2 /01",8.42205638474295
"MH  mm 1 /01","CWH vm 2 /04",9.27777777777778
"MH  mm 2 /01","MH  mm 2 /02",8.56394453004622
"MH  mm 2 /01","MH  mm 1 /05",9.70621468926554
"MH  mm 2 /01","ESSFmk   /01",14.4915254237288
"MH  mm 2 /01","ESSFmw 2 /101.2",11.1501210653753
"MH  mm 2 /02","MH  mm 1 /05",12
"MH  mm 2 /02","MH  mm 1 /02",7.16083916083916
"MH  mm 2 /02","CWH vm 2 /02",12.3771043771044
"MH  mm 2 /02","ESSFmk   /03",12.6
"MH  mm 2 /02","ESSFmk   /01",14.1531100478469
"MH  mm 1 /05","MH  mm 2 /03",5.2
"MH  mm 1 /05","MH  mm 1 /02",14.2820512820513
"MH  mm 1 /05","MH  mm 2 /05",2.44444444444444
"MH  mm 2 /03","MH  mm 2 /05",0
"MH  mm 2 /03","ESSFmk   /01",12.9777777777778
"MH  mm 2 /03","ESSFmk   /04",14.5777777777778
"ICH dw 4 /omit-poor location","ICH dw 4 /104",11.2119047619048
"ICH dw 4 /omit-poor location","ICH mw 3 /05",11.2669172932331
"ICH dw 4 /omit-poor location","IDF mw 2 /101",11.2321428571429
"ICH dw 4 /omit-poor location","IDF mw 1 /101",4.18857142857143
