"","Group","NumSpp","DiffSum","NumPlots"
"1","ESSFmw 2 /Wb02  ",9,32.5,1
"2","SBS vk   /Wb02",84,33.2058823529412,17
"3","ICH mc 1 /Wb02",18,75.5,1
"4","ICH wk 3 /Wb02",49,52.3125,8
"5","Wb02",32,42.8333333333333,3
"6","ICH vk 2 /Wb02",38,74.5,3
"7","SBS wk 1 /Wb02",53,24.85,10
"8","SBPSmc   /Wb01",35,48.1,5
"9","SBS dk   /Wb01",83,38.3333333333333,12
"10","BWBSmw   /Wb01",18,68,2
"11","SBS mw   /Wb01",103,48.5,6
"12","BWBSmk   /Wb03.1",36,50.7272727272727,11
"13","SWB all  /Wb03",8,45,1
"14","BWBSmw   /Wb03",42,46.5,5
"15","BWBSmk   /Wb03",117,43.5483870967742,31
"16","BWBSmk   /Wb03.2",53,40.7222222222222,9
"17","Wb09",85,41.3333333333333,6
"18","BWBSmw   /Wb09",118,41.4230769230769,13
"19","SBS mc 2 /Wb09",101,50.0625,8
"20","SBS mw   /Wb09",20,89.5,1
"21","BWBSdk   /Wb09",121,52.5714285714286,21
"22","SBS dw 3 /Wb09",53,48.5,2
"23","BWBSwk 1 /Wb09",29,41.5,2
"24","BWBSmk   /Wb09",85,75,4
"25","SBS wk 1 /Wb09",78,80.6666666666667,3
"26","SBS wk 3 /Wb09",57,64.5,2
"27","BWBSmk   /Ws07",29,128.5,1
"28","ESSFwc 2 /08",42,54.3333333333333,3
"29","BWBSwk 3 /111",42,45.1666666666667,3
"30","BWBSdk   /Ws15",60,64.6666666666667,3
"31","BWBSmw   /Ws15",29,133.5,1
"32","BWBSmk   /Ws15",93,69.7142857142857,7
"33","SBS mc 2 /Wb10",35,52,2
"34","MS  dk   /111b (Ws07)",77,68.3333333333333,3
"35","ESSFmv 2 /03",75,66.7,10
"36","SBS mc 2 /03",71,83.5833333333333,6
"37","SBS vk   /Ws09",96,65.9375,8
"38","ICH mc 2 /Ws09",22,101,1
"39","Ws09",35,159.5,1
"40","ICH vk 2 /Ws09",70,71.5,3
"41","SBS wk 1 /Ws09",98,48.1666666666667,9
"42","SBS mw   /Wb08",46,211.5,1
"43","IDF dk 3 /Ws2",54,79,2
"44","SBS dw 3 /Wb08",70,98.1666666666667,3
"45","ICH mc 2 /Wb08",43,76.5,2
"46","SBS mc 2 /Wb08",26,105.5,1
"47","SBS dw 2 /Wb08",28,122,1
"48","SBPSmk   /Wb08",79,78.5,3
"49","SBS dk   /Wb08",111,45.4090909090909,11
"50","SBPSmk   /08",49,36.1666666666667,3
"51","Wb08",46,35,2
"52","ESSFmc   /Wb10",28,108,1
"53","MH  mm 1 /07",17,113,1
"54","ESSFmv 4 /03",65,53.9166666666667,6
"55","ICH wk 2 /Wb10",13,56.5,1
"56","SBPSdc   /08",54,79,2
"57","SBS wk 1 /11",26,116.5,1
"58","BWBSwk 1 /111",97,56.875,8
"59","ESSFmw 2 /Wb07  ",17,73.5,1
"60","ICH wc   /Wb07",53,83.5,2
"61","SBS dk   /Wb07",7,47.5,1
"62","ICH mk 3 /Wb07",59,67.8333333333333,3
"63","ICH wk 3 /Wb07",74,51.75,4
"64","SBS mc 2 /Wb05",129,43.3,15
"65","SBS wk 1 /Wb05",36,32.8333333333333,3
"66","SBS mw   /Wb05",63,55,3
"67","ICH mc 2 /Wb05",49,42.375,4
"68","BWBSmw   /Wb05",32,70,2
"69","SBS dh 1 /Wb05",119,71.3571428571429,7
"70","SBPSdc   /Wb05",39,58,2
"71","SBS mk 1 /Wb05",50,33,4
"72","BWBSmk   /Wb05",64,54.375,4
"73","SBS mk 2 /Wb05",62,101.5,6
"74","SBS dw 3 /Wb05",63,51.375,4
"75","BWBSwk 1 /Wb06",67,77.3,5
"76","BWBSmw   /Wb06",93,45.7333333333333,15
"77","BWBSmk   /Wb06",150,43.6538461538462,13
"78","SBS wk 2 /Wb06",20,93.5,1
"79","Wb06",50,49.4,5
"80","ICH wk 3 /Wb11",33,81,2
"81","BWBSdk   /Wb11",27,109,1
"82","ICH vk 2 /Wb11",46,178,1
"83","SBS wk 1 /Wb11",75,36.5,4
"84","SBS mc 2 /Wb11",55,88.5,2
"85","ICH mc 2 /Wb11",66,47.6875,8
