"","SiteUnit","NoPlots","TotalSpp","NonrareSpp","ConstSpp","PotDiff.sum","Issues"
"1","$ALLIANCE Popubal-Rosaaci-Loniinv ($BWBS)",51,188,58,18,60.7647058823529,"OK"
"189","%ALLIANCE Abielas-Pinualb-Vaccsco",10,77,35,11,36.2,"OK"
"266","%ALLIANCE Piceene-Alnuinc",4,71,71,21,68.75,"Low Plots"
"337","ALLIANCE Abieama-Pleusch",639,388,24,6,30.8607198748044,"OK"
"725","ALLIANCE Abieama-Rhytrob",439,309,25,7,33.3872437357631,"OK"
"1034","ALLIANCE Abieama-Tiartri",541,376,27,9,27.728280961183,"OK"
"1410","ALLIANCE Abielas-Abieama-Vaccmem (mw dhzonals)",88,189,29,6,28.1477272727273,"OK"
"1599","ALLIANCE Abielas-Gymndry (all ESSF gymndry zonals and site)",552,545,42,10,44.5289855072464,"OK"
"2144","ALLIANCE Abielas-Menzfer-Rhodalb-Vaccmem (wm and mm zonals)",86,204,37,9,49.7906976744186,"OK"
"2348","ALLIANCE Abielas-Menzfer-Vaccmem (mm north rockies)",23,167,41,13,44.1086956521739,"OK"
"2515","ALLIANCE Abielas-Picea-Oplohor (Low ESSF and cold lower)",204,392,52,17,46.7598039215686,"OK"
"2907","ALLIANCE Abielas-Piceeng-Equiset (wet)",219,579,47,9,33.1780821917808,"OK"
"3486","ALLIANCE Abielas-Piceeng-Valesit (southern meadow forest)",282,525,39,10,37.2163120567376,"OK"
"4011","ALLIANCE Abielas-Picemar-Ledugro (Boreal cold)",1,21,21,21,73,"Low Plots"
"4032","ALLIANCE Abielas-Pinualb-Vaccsco",1,28,28,28,92.5,"Low Plots"
"4060","ALLIANCE Abielas-Pinucon-Junicom",15,140,46,11,24.1666666666667,"OK"
"4200","ALLIANCE Abielas-Pleusch-Cladoni (northern)",3,53,53,19,60.3333333333333,"Low Plots"
"4253","ALLIANCE Abielas-Rhodalb-Luzula (wc/vc woodland)",58,143,21,4,29.7931034482759,"Few Constants"
"4396","ALLIANCE Abielas-Rhodalb-Ptilcri (northern / mv zonals)",155,280,35,13,45.958064516129,"OK"
"4676","ALLIANCE Abielas-Rhodalb-Vaccmem (typic)",437,398,29,5,38.2288329519451,"Few Constants"
"5074","ALLIANCE Abielas-Tiartri (mh, wm, wh zonals)",141,264,35,10,34.9574468085106,"OK"
"5338","ALLIANCE Abielas-Tsugmer-Menzfer (vc zonal)",51,175,36,9,43.9019607843137,"OK"
"5513","ALLIANCE Abielas-Vaccmem-Pleusch (mc zonal northern cold)",85,310,35,8,34.3235294117647,"OK"
"5823","ALLIANCE Abielas(Larilya)-Vaccsco (woodland/parkland)",33,223,19,5,19.8484848484849,"Few Constants"
"6046","ALLIANCE Abielas(Pinualb)-Vaccmem-Racomit (wc verydry)",23,178,36,5,23.8260869565217,"Few Constants"
"6224","ALLIANCE AbielasPicea-Oplohor-Gymndry (ESSFvz zonals)",85,296,50,12,44.6941176470588,"OK"
"6520","ALLIANCE AbielasPinucon-Cladoni (xeric in dryESSF)",38,203,28,4,28.0526315789474,"Few Constants"
"6723","ALLIANCE AbielasPinucon-Vaccsco (xc/xv zonals)",531,580,28,5,32.0131826741996,"Few Constants"
"7303","ALLIANCE Alnurub-Rubuspe",17,140,42,10,27.8823529411765,"OK"
"7443","ALLIANCE Carelim-Sphagnu",15,98,20,5,14.7,"Few Constants"
"7541","ALLIANCE Chamnoo-Coptasp",223,304,34,12,53.067264573991,"OK"
"7845","ALLIANCE Chamnoo-Sphagnu",5,61,18,7,19.9,"Low Plots"
"7906","ALLIANCE HwCw-Gaulsha-Lankymoss",709,405,25,9,39.7686882933709,"OK"
"8311","ALLIANCE Kalmia-Sphagnu",33,87,20,5,16.7121212121212,"Few Constants"
"8398","ALLIANCE Piceene-Abielas-Pinucon-Orthsec-Pleusch",6,82,46,20,61.1666666666667,"Few Plots"
"8480","ALLIANCE Piceene-Abielas-Ribelac (CoolMS moist)",109,361,58,10,28.697247706422,"OK"
"8841","ALLIANCE Piceene-Carescp",7,107,51,18,59.8571428571429,"Few Plots"
"8948","ALLIANCE Piceene-Empenig-Vaccsco",39,203,49,14,45.2820512820513,"OK"
"9151","ALLIANCE Piceene-Equiset (wet all interior zones)",329,653,54,9,21.1398176291793,"OK"
"9804","ALLIANCE Piceene-Gymndry (cold air low elev)",211,370,60,19,52.1800947867299,"OK"
"10174","ALLIANCE Piceene-Loniinv",75,323,65,16,36.0733333333333,"OK"
"10497","ALLIANCE Piceene-Paximyr-Vaccmem-Orthsec (MSdm)",119,261,38,11,32.7058823529412,"OK"
"10758","ALLIANCE Piceene-Pseumen-Chimumb (SBSdh/dw/mw zonal)",128,277,60,24,51.671875,"OK"
"11035","ALLIANCE Piceene-Pseumen-Cornsto (IDF moist)",112,360,48,9,16.3482142857143,"OK"
"11395","ALLIANCE Piceene-Pseumen-Rosaaci",6,104,61,32,85,"Few Plots"
"11499","ALLIANCE Piceene-Pseumen-Rubupar (SBSmh zonal)",50,199,72,31,60.12,"OK"
"11698","ALLIANCE Piceene-Rhodneo-Vaccsco",59,238,41,10,41.1525423728814,"OK"
"11936","ALLIANCE Piceene-Vaccmem (SBSmoist zonals)",349,375,49,13,51.4383954154728,"OK"
"12311","ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal)",208,443,49,14,38.3701923076923,"OK"
"12754","ALLIANCE Picegla-Pentflo-Equiset",26,211,48,7,17.8076923076923,"OK"
"12965","ALLIANCE Picegla-Salix-Betunan",57,248,31,4,18.219298245614,"Few Constants"
"13213","ALLIANCE Picegla-Shepcan-Leyminn",34,182,31,5,19.3970588235294,"Few Constants"
"13395","ALLIANCE Picegla-Shepcan (typic and submesic)",294,403,36,12,32.9523809523809,"OK"
"13798","ALLIANCE Picegla-Vaccmem (wk zonals)",35,177,37,16,59.7857142857143,"OK"
"13975","ALLIANCE Picemar-Picegla-Pleusch (cold boreal)",271,378,31,11,39.9944649446494,"OK"
"14353","ALLIANCE Picemar-Pinucon-Vaccmyt [transition warm]",26,151,45,24,60.2692307692308,"OK"
"14504","ALLIANCE Picesit-Calanut",22,109,23,5,25.4090909090909,"Few Constants"
"14613","ALLIANCE Picesit-Gaulsha (salt spray forests)",48,131,18,6,32.75,"OK"
"14744","ALLIANCE Picesit-Rhytlor",474,293,34,11,32.4978902953587,"OK"
"15037","ALLIANCE Picesit-Rubuspe",54,168,37,8,31.7037037037037,"OK"
"15205","ALLIANCE Pinucon-Abielas-Shepcan",6,41,26,15,48.3333333333333,"Few Plots"
"15246","ALLIANCE Pinucon-Arctuva-Vaccvit",47,204,42,10,22.5106382978723,"OK"
"15450","ALLIANCE Pinucon-Calarub-Vaccsco (dry sites and MSxk)",249,399,36,8,33.9096385542169,"OK"
"15849","ALLIANCE Pinucon-Calarub (SBPSmk and dc zonals)",163,361,50,19,41.7546012269939,"OK"
"16210","ALLIANCE Pinucon-Carepau-Sphagnu",1,25,25,25,70,"Low Plots"
"16235","ALLIANCE Pinucon-Chamnoo-Gaulsha-Sphagnu",54,276,50,10,30.8518518518518,"OK"
"16511","ALLIANCE Pinucon-Cladoni (SBPSxc)",134,264,40,11,32.5485074626866,"OK"
"16775","ALLIANCE Pinucon-Gaulsha-Cladina",61,214,21,2,6.91803278688525,"Few Constants"
"16989","ALLIANCE Pinucon-Pinualb-Abielas-Junicom-Cladoni (Pa dry sites)",37,216,37,7,20,"OK"
"17205","ALLIANCE Pinucon-Pleusch (SBPSmc zonal/SBS subxeric)",74,225,44,11,36.6756756756757,"OK"
"17430","ALLIANCE Pinucon-Vaccmem-Cladina (xeric stands)",38,174,46,10,44.1315789473684,"OK"
"17604","ALLIANCE Pinucon-Vaccsco-Cladoni (MSxv)",171,338,32,5,17.7719298245614,"Few Constants"
"17942","ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina",9,85,41,9,34.7222222222222,"Few Plots"
"18027","ALLIANCE Pinupon-Phillew-Pseuspi",7,83,28,7,30.2857142857143,"Few Plots"
"18110","ALLIANCE Pinupon-Pseuspi-Seladen (rock)",23,159,30,5,18.7826086956522,"Few Constants"
"18269","ALLIANCE Pinupon-Pseuspi (typic)",229,472,30,6,24.2882096069869,"OK"
"18741","ALLIANCE Pinupon-Purstri-Pseuspi (desert)",38,208,57,12,39.4736842105263,"OK"
"18949","ALLIANCE PlYc-Racolan",18,111,43,6,26.5,"OK"
"19060","ALLIANCE Popubal-Alnuinc-Equiset",86,325,33,3,22.9767441860465,"Few Constants"
"19385","ALLIANCE Popubal-Alnurub-Rubuspe",149,345,29,5,24.3489932885906,"Few Constants"
"19730","ALLIANCE Popubal-Oplohor",5,69,29,12,35.8,"Low Plots"
"19799","ALLIANCE Populus-Piceene-Vibuedu($SBS)",22,144,55,13,26.2272727272727,"OK"
"19943","ALLIANCE Poputre-Arctuva ($BWBS)",53,227,39,10,36.1132075471698,"OK"
"20170","ALLIANCE Poputre-Betupap-Acergla-Rubupar",2,39,39,9,48,"Low Plots"
"20209","ALLIANCE Poputre-Calarub",42,248,36,7,24.6904761904762,"OK"
