"","SiteUnit","NoPlots","TotalSpp","NonrareSpp","ConstSpp","PotDiff.sum","Issues"
"1","$ASSOC Poputre-Junisco-Elymus",1,30,30,30,117.5,"Low Plots"
"31","$ASSOC Poputre-Rosaaci",7,74,46,8,34,"Few Plots"
"105","$ASSOC Poputre-Spirdou",5,73,37,24,59,"Low Plots"
"178","$ASSOC Poputre-Sympalb-Prunpen",6,50,25,11,51,"Few Plots"
"228","$ASSOC Thujpli-Pseumen-Paximyr",12,41,17,5,22.6666666666667,"Few Constants"
"269","%ASSOC Abielas-Abieama-Menzfer-Rubuped(mw2 alt)",7,51,19,7,36.8571428571429,"Few Plots"
"320","%ASSOC Abielas-Menzfer-Rhodalb",5,44,17,12,52.8,"Low Plots"
"364","%ASSOC Abielas-Oplohor-Rhodalb",7,75,43,17,70.4285714285714,"Few Plots"
"439","%ASSOC Abielas-Pinualb-Arnicor",5,55,27,21,41.4,"Low Plots"
"494","%ASSOC Abielas-Rhodalb-Equiset",6,109,58,20,50.5833333333333,"Few Plots"
"603","%ASSOC Abielas-Tsugmer-Strelan (ESSFmk zonal)",19,87,28,4,30.5789473684211,"Few Constants"
"690","%ASSOC Abielas-Vaccmem-Racomit",7,88,42,6,31.1428571428571,"Few Plots"
"778","%ASSOC Abielas-Valesit-Luzula (woodland)",5,48,17,8,27.8,"Low Plots"
"826","%ASSOC Abielas-Valesit-Saniunc",3,74,74,27,58.6666666666667,"Low Plots"
"900","%ASSOC Abielas(Tsughet) -Oplohor-Gymndry",10,112,48,23,70.5,"OK"
"1012","%ASSOC AbielasPiceeng-Gymndry-Rubuped",9,88,49,14,63.8888888888889,"Few Plots"
"1100","%ASSOC Bl-Equiset-Mnium(Sphagnu)",11,178,54,13,42.2272727272727,"OK"
"1278","%ASSOC Bl-Tiartri-Pleusch",7,89,46,12,35.7857142857143,"Few Plots"
"1367","%ASSOC Bl-Vaccmem-Racomit",7,125,44,4,21.4285714285714,"Few Plots"
"1492","%ASSOC Bl-Vaccmem-Xeroten",6,65,24,5,25.1666666666667,"Few Plots"
"1557","%ASSOC Bl-Valesit-Thalocc-Aulapal",6,102,55,21,72.0833333333333,"Few Plots"
"1659","%ASSOC BlFd--Vaccmem-Xeroten-Racomit",4,72,72,14,42.5,"Low Plots"
"1731","%ASSOC BlFd - Acergla (ESSFs xeric)",6,141,69,17,20,"Few Plots"
"1872","%ASSOC BlLa - Heron s-bill moss",6,80,21,5,14,"Few Plots"
"1952","%ASSOC BlPl-Vaccmem-Xeroten",9,86,42,14,53.5555555555556,"Few Plots"
"2038","%ASSOC Chamnoo-Caltlep",5,6,4,4,3.4,"Low Plots"
"2044","%ASSOC FdPl-Junicom-Paximyr",5,75,28,14,26.8,"Low Plots"
"2119","%ASSOC Piceene-Acergla-Gymndry",5,93,52,30,63.6,"Low Plots"
