"","Group","NumSpp","DiffSum","NumPlots"
"1","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",130,51.56,50
"2","SUBASS BlSe-Vaccsco-Barblyc",83,31.875,8
"3","SUBASS BlSe - Vaccsco (Pa)",127,36.9722222222222,18
"4","SUBASS BlSe-Menzfer (Tiartri)",131,47.65625,16
"5","SUBASS BlSe-Menzfer (Pleusch)",109,49.5833333333333,24
"6","SUBASS BlSe-Menzfer (typic)",100,39,21
"7","ASSOC Abielas-Rhodalb-Menzfer",83,49.4615384615385,13
"8","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",163,49.8301886792453,53
"9","ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",159,42.468085106383,47
"10","SUBASS BlPl-Vaccsco-Cladoni(typic)",123,48.1,20
"11","SUBASS BlPl-Vaccsco-Cladoni(Abielas)",104,38.1875,24
"12","ASSOC PlBl-Vaccsco(Calarub)",111,26.6666666666667,15
"13","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",118,56.5625,24
"14","SUBASS PlBl-Vaccmem-Vaccsco(typic)",141,36.0866666666667,75
"15","SUBASS BlPl-Vaccmem",40,44.875,8
"16","ASSOC Abielas-Rhodalb-Vaccsco",134,54.8024691358025,81
"17","Sk24 ASSOC BlLa-Vaccsco",119,33.1666666666667,12
"18","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",84,41.4,15
"19","%ASSOC BlLa - Heron s-bill moss",69,22,6
"20","ASSOC Abielas-Rhodalb-Empenig",85,55.1111111111111,18
"21","ASSOC Abielas-Menzfer-Vaccmyt",49,48.2857142857143,14
"22","ASSOC Pinualb-Abielas-Junicom-Shepcan",88,40.3076923076923,13
"23","ASSOC BlPa - Vaccmem - Paximyr",90,39.1363636363636,11
"24","%ASSOC Pinualb-Abielas-Cladoni%",59,37.1666666666667,6
"25","ASSOC Abielas-Vaccmem-Paximyr",135,28.9285714285714,21
"26","ASSOC BlCwLw-Clinuni",88,58.7272727272727,11
"27","ASSOC BlFd-Vaccmem-Paximyr",123,45.75,24
"28","%ASSOC BlPl-Vaccmem-Xeroten",77,65.2777777777778,9
"29","%ASSOC Abielas-Vaccmem-Racomit",78,37.9285714285714,7
"30","SUBASS PlBl-Cladina(Dicranu)",53,45.5714285714286,7
"31","SUBASS PlBl-Vaccmem-Cladoni(Pinualb)",68,56.8,10
"32","SUBASS PlBl-Vaccmem-Cladoni(typic)",59,36.5625,8
"33","SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",123,50.1521739130435,23
"34","SUBASS Bl-Vaccmem-Pleusch(Vacccae)",70,53.9375,8
"35","SUBASS Bl-Vaccmem-Pleusch(typic)",169,51.5813953488372,43
"36","ASSOC Abielas-Vaccmem-Empenig",85,24.9230769230769,13
"37","ASSOC Abielas-Menzfer-Ribelac",133,57.8260869565217,23
"38","ASSOC BlHw-Vaccmem-Rhytrob",98,63.0862068965517,29
"39","%ASSOC Abielas-Tsugmer-Strelan (ESSFmk zonal)",73,34.2631578947368,19
"40","SUBASS BlBa-Rhodalb-Rubuped(Valesit)",74,71.5454545454545,11
"41","SUBASS BaBl-Rhodalb-Rubuped(Vaccovl)",60,56,19
"42","SUBASS BlBa-Vaccmem-Pleusch(Pl)",67,78.7857142857143,7
"43","SUBASS BlBa-Vaccmem-Pleusch(Hylospl)",61,41.5714285714286,7
"44","ASSOC Abielas-Abieama-Rubuped-Rhytrob (ESSFmw alternate zonal)",71,58,9
