"G1","G2","Score"
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Vaccsco-Barblyc",7.555
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe - Vaccsco (Pa)",26.5011111111111
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Menzfer (Tiartri)",22.71625
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Menzfer (Pleusch)",25.595
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Menzfer (typic)",25.527619047619
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Menzfer",27.4807692307692
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",21.9732075471698
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",17.4797872340426
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlPl-Vaccsco-Cladoni(typic)",38.375
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlPl-Vaccsco-Cladoni(Abielas)",17.85
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC PlBl-Vaccsco(Calarub)",38.2666666666667
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",19.0383333333333
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Vaccsco(typic)",7.92
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlPl-Vaccmem",21.57
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Vaccsco",10.5311111111111
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","Sk24 ASSOC BlLa-Vaccsco",25.17
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",33.0033333333333
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC BlLa - Heron s-bill moss",31.0366666666667
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Empenig",31.5511111111111
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Menzfer-Vaccmyt",51.6771428571429
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Pinualb-Abielas-Junicom-Shepcan",65.6930769230769
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlPa - Vaccmem - Paximyr",32.8790909090909
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Pinualb-Abielas-Cladoni%",66.4566666666667
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Vaccmem-Paximyr",25.9404761904762
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlCwLw-Clinuni",59.3990909090909
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlFd-Vaccmem-Paximyr",48.5933333333333
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC BlPl-Vaccmem-Xeroten",69.1988888888889
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Abielas-Vaccmem-Racomit",52.11
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Cladina(Dicranu)",58.8428571428571
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Cladoni(Pinualb)",42.63
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Cladoni(typic)",41.65
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",19.88
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Vaccmem-Pleusch(Vacccae)",29.2975
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Vaccmem-Pleusch(typic)",23.5237209302326
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Vaccmem-Empenig",25.9307692307692
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Menzfer-Ribelac",36.8695652173913
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC BlHw-Vaccmem-Rhytrob",52.1513793103448
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Abielas-Tsugmer-Strelan (ESSFmk zonal)",35.4884210526316
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlBa-Rhodalb-Rubuped(Valesit)",26.8009090909091
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BaBl-Rhodalb-Rubuped(Vaccovl)",40.3121052631579
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlBa-Vaccmem-Pleusch(Pl)",37.34
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlBa-Vaccmem-Pleusch(Hylospl)",43.7028571428571
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Abieama-Rubuped-Rhytrob (ESSFmw alternate zonal)",32.2411111111111
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC Abielas-Abieama-Menzfer-Rubuped(mw2 alt)",59.6371428571429
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Abieama-Vaccmem-Dicranu",38.73
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlHm-Vaccmem(Pleusch)",42.36
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlHm-Vaccmem(Menzfer)",41.4052941176471
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","?ASSOC Abielas-Tsugmer-Gymndry",65.85
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Pa-Cladoni-Dicrfus(Menzfer)",62.19
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Pa-Cladoni-Dicrfus(Cassmer)",55.52
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Picemar-Ledugro",49.0376470588235
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl - Rhodalb -Tiartri (Luzula wm3)",48
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",39.0204347826087
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (typic wm1)",52.2536363636364
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Vaccmyt wm4)",38.36
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)",38.6692307692308
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Xeroten",49.945652173913
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Xeroten (Arnica)",46.7225
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Vaccmem-Xeroten",41.9166666666667
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Menzfer-Xeroten",53.9664705882353
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Valesit(Veravir)",56.4754545454545
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Valesit(Pleusch)(dc3)",27.9375
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Valesit(Vaccsco)(dc2)",11.3720930232558
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)",21.6343243243243
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",43.91
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",33.5146808510638
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Rubuped-Dicranu(Menzfer)",35.2698305084746
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Pinualb)",34.9953488372093
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Empenig)",23.5828571428571
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)",29.6603846153846
