"G1","G2","Score"
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Vaccsco-Barblyc",7.555
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS PlBl-Vaccmem-Vaccsco(typic)",7.92
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Rhodalb-Vaccsco",10.5311111111111
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Rhodalb-Valesit(Vaccsco)(dc2)",11.3720930232558
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS Bl-Valesit-Trollax",11.9018367346939
"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS SeBl-Rhodneo-Vaccsco (Se)",10
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe - Vaccsco (Pa)",10.7638888888889
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe-Menzfer (typic)",10.5119047619048
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Rhodalb-Menzfer",14.0769230769231
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS PlBl-Vaccmem-Vaccsco(typic)",12.84
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Rhodalb-Vaccsco",10.6095679012346
"SUBASS BlSe-Vaccsco-Barblyc","Sk24 ASSOC BlLa-Vaccsco",11.5
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",14.7333333333333
"SUBASS BlSe-Vaccsco-Barblyc","%ASSOC BlLa - Heron s-bill moss",9.375
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Vaccmem-Paximyr",14.6309523809524
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC BlSe-Menzfer-Tiartri",10.8088235294118
"SUBASS BlSe-Vaccsco-Barblyc","ASSOC Abielas-Valesit-Arnica(dry)",10.3266129032258
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Valesit-Veravir-Trolalb",12.0324074074074
"SUBASS BlSe-Vaccsco-Barblyc","SUBASS Bl-Valesit-Trollax",8.38520408163265
