"SubAssociation","SubAssociation1","Score","Association1","Association","movetosubass"
"%ASSOC Abielas-Abieama-Menzfer-Rubuped(mw2 alt)","SUBASS BlBa-Vaccmem-Pleusch(Hylospl)",8,"ASSOC Abielas-Abieama-Vaccmem-Pleusch (ESSFdh zonal)","%ASSOC Abielas-Abieama-Menzfer-Rubuped(mw2 alt)",1
"%ASSOC Abielas-Oplohor-Rhodalb","SUBASS Bl-Gymndry-Ptilcri(typic)",7.71428571428571,"ASSOC Abielas-Gymndry-Corncan-Ptilcri (wk zonals)","%ASSOC Abielas-Oplohor-Rhodalb",1
"%ASSOC Abielas-Rhodalb-Equiset","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Hylospl)",5.33333333333333,"ASSOC Abielas-Rhodalb-Pleusch-Ptilcri (mv zonals)","%ASSOC Abielas-Rhodalb-Equiset",1
"%ASSOC Abielas-Vaccmem-Racomit","ASSOC Abielas-Vaccmem-Paximyr",5.57142857142857,"ASSOC Abielas-Vaccmem-Paximyr","%ASSOC Abielas-Vaccmem-Racomit",1
"%ASSOC AbielasPiceeng-Gymndry-Rubuped","ASSOC Abielas-Gymndry-Dicranu",7.54,"ASSOC Abielas-Gymndry-Dicranu","%ASSOC AbielasPiceeng-Gymndry-Rubuped",1
"%ASSOC AbielasPiceeng-Gymndry-Rubuped","SUBASS Bl-Rhodalb-Gymndry(Menzfer)",9.88753387533875,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","%ASSOC AbielasPiceeng-Gymndry-Rubuped",1
"%ASSOC Bl-Equiset-Mnium(Sphagnu)","SUBASS Bl-Gymndry-Equiset(typic)",5.31818181818182,"ASSOC Abielas-Gymndry-Equiset (Northern)","%ASSOC Bl-Equiset-Mnium(Sphagnu)",1
"%ASSOC Bl-Vaccmem-Racomit","SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)",9.38461538461539,"ASSOC Abielas-Menzfer-Rhodalb-Xeroten","%ASSOC Bl-Vaccmem-Racomit",1
"%ASSOC Bl-Vaccmem-Racomit","ASSOC BlPa - Vaccmem - Cladoni",2.89285714285714,"ASSOC BlPa - Vaccmem - Cladoni","%ASSOC Bl-Vaccmem-Racomit",1
"%ASSOC Bl-Vaccmem-Racomit","SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)",9.79945054945055,"ASSOC Abielas-Rhodalb-Pleusch-Dicranu (dv zonals)","%ASSOC Bl-Vaccmem-Racomit",1
"%ASSOC Bl-Vaccmem-Racomit","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",6.63981762917933,"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","%ASSOC Bl-Vaccmem-Racomit",1
"%ASSOC Bl-Vaccmem-Racomit","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",8.01428571428571,"ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula","%ASSOC Bl-Vaccmem-Racomit",1
"%ASSOC Bl-Vaccmem-Racomit","ASSOC BlFd-Vaccmem-Paximyr",6.625,"ASSOC BlFd-Vaccmem-Paximyr","%ASSOC Bl-Vaccmem-Racomit",1
"%ASSOC Bl-Vaccmem-Racomit","ASSOC Abielas-Vaccmem-Paximyr",2.19047619047619,"ASSOC Abielas-Vaccmem-Paximyr","%ASSOC Bl-Vaccmem-Racomit",1
"%ASSOC Bl-Vaccmem-Racomit","%ASSOC BlLa - Heron s-bill moss",7.35714285714286,"%ASSOC BlLa - Heron s-bill moss","%ASSOC Bl-Vaccmem-Racomit",1
"%ASSOC BlLa - Heron s-bill moss","SUBASS BlSe-Vaccsco-Barblyc",9.375,"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","%ASSOC BlLa - Heron s-bill moss",1
"%ASSOC BlLa - Heron s-bill moss","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",1.46666666666667,"ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula","%ASSOC BlLa - Heron s-bill moss",1
"%ASSOC Piceene-Equiset-Thalocc?","SUBASS Sxw-Equiset-Aulapal(Hylospl)",3.45121951219512,"ASSOC Piceene-Equiset-Aulapal","%ASSOC Piceene-Equiset-Thalocc?",1
"%ASSOC Picegla-Betunan-Calacan","%ASSOC Picegla-Salix-Hylospl",3.25,"%ASSOC Picegla-Salix-Hylospl","%ASSOC Picegla-Betunan-Calacan",1
"%ASSOC Picegla-Pinucon-Shepcan-Astecon","SUBASS Sb-Vaccmem-Vaccvit(typic)",9.86,"ASSOC Picemar-Vaccmem-Vaccvit","%ASSOC Picegla-Pinucon-Shepcan-Astecon",1
"%ASSOC Pinualb-Abielas-Cladoni%","ASSOC Pinualb-Abielas-Junicom-Shepcan",9.44871794871795,"ASSOC Pinualb-Abielas-Junicom-Shepcan","%ASSOC Pinualb-Abielas-Cladoni%",1
"%ASSOC SeBl-Equiarv-Gymndry","SUBASS Bl-Gymndry-Equiset(typic)",6.67424242424242,"ASSOC Abielas-Gymndry-Equiset (Northern)","%ASSOC SeBl-Equiarv-Gymndry",1
"?ASSOC Abielas-Tsugmer-Gymndry","%ASSOC Abielas-Tsugmer-Strelan (ESSFmk zonal)",6.66666666666667,"%ASSOC Abielas-Tsugmer-Strelan (ESSFmk zonal)","?ASSOC Abielas-Tsugmer-Gymndry",1
"ASSOC Abielas-Abieama-Rubuped-Rhytrob (ESSFmw alternate zonal)","SUBASS BlBa-Rhodalb-Rubuped(Valesit)",2,"ASSOC Abielas-Abieama-Rhodalb-Rubuped (ESSFmw zonals)","ASSOC Abielas-Abieama-Rubuped-Rhytrob (ESSFmw alternate zonal)",1
"ASSOC Abielas-Abieama-Vaccmem-Dicranu","SUBASS BlBa-Vaccmem-Pleusch(Hylospl)",7.41428571428571,"ASSOC Abielas-Abieama-Vaccmem-Pleusch (ESSFdh zonal)","ASSOC Abielas-Abieama-Vaccmem-Dicranu",1
"ASSOC Abielas-Abieama-Vaccmem-Dicranu","ASSOC Abielas-Vaccmem-Paximyr",9.3,"ASSOC Abielas-Vaccmem-Paximyr","ASSOC Abielas-Abieama-Vaccmem-Dicranu",1
"ASSOC Abielas-Gymndry-Dicranu","SUBASS BlHm-Vaccmem(Menzfer)",9.47058823529412,"ASSOC Abielas-(Tsugmer)-Vaccmem (wv zonal)","ASSOC Abielas-Gymndry-Dicranu",1
"ASSOC Abielas-Loniinv-Athyfil","ASSOC Abielas-Athyfil-Equiset",5.59230769230769,"ASSOC Abielas-Athyfil-Equiset","ASSOC Abielas-Loniinv-Athyfil",1
"ASSOC Abielas-Menzfer-Ribelac","SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",5.84782608695652,"ASSOC Abielas-Vaccmem-Pleusch (mc zonals)","ASSOC Abielas-Menzfer-Ribelac",1
"ASSOC Abielas-Menzfer-Vaccmyt","ASSOC Abielas-Rhodalb-Menzfer",8.6510989010989,"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Menzfer-Vaccmyt",1
"ASSOC Abielas-Menzfer-Xeroten","ASSOC Abielas-Menzfer-Vaccmyt",5.39285714285714,"ASSOC Abielas-Menzfer-Vaccmyt","ASSOC Abielas-Menzfer-Xeroten",1
"ASSOC Abielas-Menzfer-Xeroten","SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)",3.73303167420814,"ASSOC Abielas-Menzfer-Rhodalb-Xeroten","ASSOC Abielas-Menzfer-Xeroten",1
