"G1","G2","Score"
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Gg24 Hespcur-Koelmac/Cladoni",7.45535714285714
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","%ASSOC Gg27 Hespcom-Artefri",59.75
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Gg25 Sporcry-Hespcom",65.0875
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Rt05 SUBASS Artetri-Amelaln-Pseuspi",57.6541666666667
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Rt04 SUBASS Amelaln-Pseuspi",51.9083333333333
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Rt06 Phillew-Amelaln-Pseuspi",71.5397727272727
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Gg01 Pseuspi-Artefri(Typic)",45.9418859649123
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASSOC Gg04 Pseuspi-Artefri(Cladoni)",31.35
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Gg02 Pseuspi-(Balssag)",45.0375
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ro04.1 SUBASS Artetri-Seladen-Pseuspi",57.866554054054
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Gg04 Pseuspi-Artefri(Poa sec)",48.8076923076923
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Ro03 Purstri/Seladen-Pseuspi",66.9625
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ro01.2 ASSOC Pseuspi-Tortrua (depauperatum)",38.775
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",49.0357142857143
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ro04.2 SUBASS Ericnau-Seladen-Pseuspi",55.5170454545455
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Gg03 Pseuspi-Seladen",61.9583333333333
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Artetri-Pseuspi(BGxh1 zonal Calomac)",60.1818181818182
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Artetri-Pseuspi(BGxh2 zonalEricnau)",61.5856481481482
