"G1","G2","Score"
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Gg24 Hespcur-Koelmac/Cladoni",7.45535714285714
"%ASSOC Gg27 Hespcom-Artefri","ASSOC Gg25 Sporcry-Hespcom",9.75
"%ASSOC Gg27 Hespcom-Artefri","SUBASS Gs02 Artetri-Pseuspi-Sporcry",13.6931818181818
"ASSOC Gg25 Sporcry-Hespcom","SUBASS Gs02 Artetri-Pseuspi-Sporcry",13.8181818181818
"Rt05 SUBASS Artetri-Amelaln-Pseuspi","Rt04 SUBASS Amelaln-Pseuspi",5
"Rt05 SUBASS Artetri-Amelaln-Pseuspi","SUBASS Gg01 Pseuspi-Artefri(Typic)",13.1859649122807
"Rt05 SUBASS Artetri-Amelaln-Pseuspi","Ro04.1 SUBASS Artetri-Seladen-Pseuspi",10.7837837837838
"Rt05 SUBASS Artetri-Amelaln-Pseuspi","%SUBASS Gs03 Artetri-Pseuspi-Tortula",7
"Rt05 SUBASS Artetri-Amelaln-Pseuspi","SUBASS Gs02 Artetri-Pseuspi-Sporcry",11.4909090909091
"Rt04 SUBASS Amelaln-Pseuspi","ASSOC Rt06 Phillew-Amelaln-Pseuspi",10.2727272727273
"Rt04 SUBASS Amelaln-Pseuspi","SUBASS Gg01 Pseuspi-Artefri(Typic)",10.4736842105263
"Rt04 SUBASS Amelaln-Pseuspi","Ro01.2 ASSOC Pseuspi-Tortrua (depauperatum)",11.35
"Rt04 SUBASS Amelaln-Pseuspi","Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",11.7857142857143
"SUBASS Gg01 Pseuspi-Artefri(Typic)","SUBASSOC Gg04 Pseuspi-Artefri(Cladoni)",2.93
"SUBASS Gg01 Pseuspi-Artefri(Typic)","SUBASS Gg02 Pseuspi-(Balssag)",6.70438596491228
"SUBASS Gg01 Pseuspi-Artefri(Typic)","Ro04.1 SUBASS Artetri-Seladen-Pseuspi",11.0540540540541
"SUBASS Gg01 Pseuspi-Artefri(Typic)","SUBASS Gg04 Pseuspi-Artefri(Poa sec)",0
"SUBASS Gg01 Pseuspi-Artefri(Typic)","Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",11.2431077694236
"SUBASS Gg01 Pseuspi-Artefri(Typic)","Ro04.2 SUBASS Ericnau-Seladen-Pseuspi",10.6818181818182
"SUBASS Gg01 Pseuspi-Artefri(Typic)","SUBASS Artetri-Pseuspi(BGxh1 zonal Calomac)",9.87719298245614
"SUBASS Gg01 Pseuspi-Artefri(Typic)","SUBASS Artetri-Pseuspi(BGxh2 zonalEricnau)",11.4074074074074
"SUBASS Gg01 Pseuspi-Artefri(Typic)","%SUBASS Gs03 Artetri-Pseuspi-Tortula",8.75438596491228
"SUBASS Gg01 Pseuspi-Artefri(Typic)","ASSOC Ro02 Junisco/Seladen-Pseuspi",7.67105263157895
