"G1","Total"
"%ASSOC Gg27 Hespcom-Artefri",2
"%SUBASS Gs03 Artetri-Pseuspi-Tortula",6
"ASSOC Gg03 Pseuspi-Seladen",3
"ASSOC Gg10+12+15 Festcam-(Pseuspi)-Achimil-Cladoni",2
"ASSOC Gg24 Hespcur-Koelmac/Cladoni",1
"ASSOC Gg25 Sporcry-Hespcom",2
"ASSOC Ro02 Junisco/Seladen-Pseuspi",4
"ASSOC Ro03 Purstri/Seladen-Pseuspi",3
"ASSOC Rt06 Phillew-Amelaln-Pseuspi",1
"Ga01.1 SUBASS Distspi [typic]",2
"Ga02.1 SUBASS Puccnua-Hordjub[Puccnua]",3
"Ga02.2 SUBASS Puccnua-Hordjub[Hordjub]",2
"Ga07 ASSOC Salirub",1
"Gb20 ASSOC Amelaln-Sympalb-Junicom/Achimil",1
"Gb21 Junicom-Arctuva-Fragvir",2
"Gg10 SUBASS Festcam-Pseuspi-Achimil-Cladoni",4
"Gg11 SUBASS Festida-Pseuspi",3
"Gg13 SUBASS Festida-Lupiser",1
"Gg14 ASSOC Festida-Erioumb",1
"Gg17 ASSOC Festida-Pseuspi-Erioumb",5
"Gg32 ASSOC Calarub-Arctuva",1
"Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",9
"Ro01.2 ASSOC Pseuspi-Tortrua (depauperatum)",6
"Ro04.1 SUBASS Artetri-Seladen-Pseuspi",10
"Ro04.2 SUBASS Ericnau-Seladen-Pseuspi",7
"Rt04 SUBASS Amelaln-Pseuspi",5
"Rt05 SUBASS Artetri-Amelaln-Pseuspi",5
"SUBASS Artetri-Pseuspi(BGxh1 zonal Calomac)",6
"SUBASS Artetri-Pseuspi(BGxh2 zonalEricnau)",6
"SUBASS Gg01 Pseuspi-Artefri(Typic)",12
"SUBASS Gg02 Pseuspi-(Balssag)",7
"SUBASS Gg04 Pseuspi-Artefri(Poa sec)",8
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",1
"SUBASS Gs02 Artetri-Pseuspi-Sporcry",6
"SUBASSOC Gg04 Pseuspi-Artefri(Cladoni)",4
