"","Group","NumSpp","DiffSum","NumPlots"
"1","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",106,34.375,16
"2","ASSOC Gg24 Hespcur-Koelmac/Cladoni",119,31.9821428571429,28
"3","%ASSOC Gg27 Hespcom-Artefri",44,21.9375,8
"4","ASSOC Gg25 Sporcry-Hespcom",51,28.8,10
"5","Rt05 SUBASS Artetri-Amelaln-Pseuspi",83,9.4,15
"6","Rt04 SUBASS Amelaln-Pseuspi",88,9.6,15
"7","ASSOC Rt06 Phillew-Amelaln-Pseuspi",87,16.4090909090909,11
"8","SUBASS Gg01 Pseuspi-Artefri(Typic)",233,14.5087719298246,57
"9","SUBASSOC Gg04 Pseuspi-Artefri(Cladoni)",181,29.84,50
"10","SUBASS Gg02 Pseuspi-(Balssag)",297,18.6875,80
"11","Ro04.1 SUBASS Artetri-Seladen-Pseuspi",177,23.472972972973,37
"12","SUBASS Gg04 Pseuspi-Artefri(Poa sec)",119,23.6923076923077,26
"13","ASSOC Ro03 Purstri/Seladen-Pseuspi",133,22.5333333333333,15
"14","Ro01.2 ASSOC Pseuspi-Tortrua (depauperatum)",233,20.2375,40
"15","Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",258,25.8571428571429,56
"16","Ro04.2 SUBASS Ericnau-Seladen-Pseuspi",117,18.6818181818182,22
"17","ASSOC Gg03 Pseuspi-Seladen",91,36.625,12
"18","SUBASS Artetri-Pseuspi(BGxh1 zonal Calomac)",89,26.1818181818182,11
"19","SUBASS Artetri-Pseuspi(BGxh2 zonalEricnau)",108,31.3703703703704,27
"20","%SUBASS Gs03 Artetri-Pseuspi-Tortula",41,22,6
"21","SUBASS Gs02 Artetri-Pseuspi-Sporcry",59,21.9090909090909,11
"22","ASSOC Ro02 Junisco/Seladen-Pseuspi",119,26.2083333333333,12
"23","Gg11 SUBASS Festida-Pseuspi",195,33.4827586206897,29
"24","Gg13 SUBASS Festida-Lupiser",113,34.6666666666667,12
"25","Gg10 SUBASS Festcam-Pseuspi-Achimil-Cladoni",165,33.5416666666667,24
"26","ASSOC Gg10+12+15 Festcam-(Pseuspi)-Achimil-Cladoni",248,19.3518518518519,54
"27","Gg16 ASSOC Festcam-Erioumb-Eremcap",137,24.1111111111111,18
"28","Gg14 ASSOC Festida-Erioumb",176,30.6,20
"29","Gg17 ASSOC Festida-Pseuspi-Erioumb",119,26.75,12
"30","Ga05 ASSOC Leymcin",66,11,10
"31","Ga07 ASSOC Salirub",13,10.8571428571429,7
"32","Ga01.1 SUBASS Distspi [typic]",62,13.1428571428571,21
"33","Ga01.2 SUBASS Distspi [Spargra]",59,24.1,10
"34","Ga03 ASSOC Carepre",46,30.2857142857143,7
"35","Ga02.1 SUBASS Puccnua-Hordjub[Puccnua]",40,11.1111111111111,18
"36","Ga02.2 SUBASS Puccnua-Hordjub[Hordjub]",64,13.1111111111111,27
"37","Ag02 ASSOC Dantint-Penspro-Cladina",89,28.0555555555556,9
"38","Ag01 ASSOC Dantint-Vaccsco-Eremcap",80,38,6
"39","Gg32 ASSOC Calarub-Arctuva",90,34.2,10
"40","Gb20 ASSOC Amelaln-Sympalb-Junicom/Achimil",117,23.3333333333333,9
"41","Gb53 ASSOC Sympalb-Amelaln-Rosaaci",147,63.5,16
"42","Gb52 ASSOC Rosaaci - Elyminn",72,28.6666666666667,9
"43","Gg51 ASSOC Elymtra - Artefri",87,12.4375,16
"44","Gb21 Junicom-Arctuva-Fragvir",138,33.6153846153846,13
