"G1","G2","Score"
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Gg24 Hespcur-Koelmac/Cladoni",11.125
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","%ASSOC Gg27 Hespcom-Artefri",66.125
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Gg25 Sporcry-Hespcom",72.9625
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Rt05 SUBASS Artetri-Amelaln-Pseuspi",62.5458333333333
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Rt04 SUBASS Amelaln-Pseuspi",58.4333333333333
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Rt06 Phillew-Amelaln-Pseuspi",77.0852272727273
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Gg01 Pseuspi-Artefri(Typic)",53.3837719298246
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASSOC Gg04 Pseuspi-Artefri(Cladoni)",33.7075
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Gg02 Pseuspi-(Balssag)",48.1
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ro04.1 SUBASS Artetri-Seladen-Pseuspi",67.6993243243243
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Gg04 Pseuspi-Artefri(Poa sec)",52.9375
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Ro03 Purstri/Seladen-Pseuspi",71.8375
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ro01.2 ASSOC Pseuspi-Tortrua (depauperatum)",46.075
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",55.1428571428571
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ro04.2 SUBASS Ericnau-Seladen-Pseuspi",62.5340909090909
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Gg03 Pseuspi-Seladen",67.5416666666667
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Artetri-Pseuspi(BGxh1 zonal Calomac)",64.3693181818182
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Artetri-Pseuspi(BGxh2 zonalEricnau)",68.6481481481482
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","%SUBASS Gs03 Artetri-Pseuspi-Tortula",65.5
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","SUBASS Gs02 Artetri-Pseuspi-Sporcry",71.6136363636364
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Ro02 Junisco/Seladen-Pseuspi",55.4166666666667
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gg11 SUBASS Festida-Pseuspi",62.2198275862069
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gg13 SUBASS Festida-Lupiser",64.75
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gg10 SUBASS Festcam-Pseuspi-Achimil-Cladoni",50.4375
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Gg10+12+15 Festcam-(Pseuspi)-Achimil-Cladoni",36.9398148148148
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gg16 ASSOC Festcam-Erioumb-Eremcap",66.4097222222222
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gg14 ASSOC Festida-Erioumb",62.525
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gg17 ASSOC Festida-Pseuspi-Erioumb",53.3958333333333
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ga05 ASSOC Leymcin",54.6875
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ga07 ASSOC Salirub",58.8392857142857
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ga01.1 SUBASS Distspi [typic]",59.75
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ga01.2 SUBASS Distspi [Spargra]",72.7125
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ga03 ASSOC Carepre",65.8125
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ga02.1 SUBASS Puccnua-Hordjub[Puccnua]",61.7916666666667
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ga02.2 SUBASS Puccnua-Hordjub[Hordjub]",61.1759259259259
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ag02 ASSOC Dantint-Penspro-Cladina",58.4861111111111
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Ag01 ASSOC Dantint-Vaccsco-Eremcap",61.9583333333333
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gg32 ASSOC Calarub-Arctuva",60.425
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gb20 ASSOC Amelaln-Sympalb-Junicom/Achimil",73.4861111111111
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gb53 ASSOC Sympalb-Amelaln-Rosaaci",89.3125
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gb52 ASSOC Rosaaci - Elyminn",74.7847222222222
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gg51 ASSOC Elymtra - Artefri",50.375
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","Gb21 Junicom-Arctuva-Fragvir",52.7307692307692
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","%ASSOC Gg27 Hespcom-Artefri",52.8839285714286
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","ASSOC Gg25 Sporcry-Hespcom",62.0357142857143
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Rt05 SUBASS Artetri-Amelaln-Pseuspi",52.5321428571429
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Rt04 SUBASS Amelaln-Pseuspi",50.0214285714286
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","ASSOC Rt06 Phillew-Amelaln-Pseuspi",71.0584415584416
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","SUBASS Gg01 Pseuspi-Artefri(Typic)",34.8771929824561
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","SUBASSOC Gg04 Pseuspi-Artefri(Cladoni)",27.6257142857143
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","SUBASS Gg02 Pseuspi-(Balssag)",35.6678571428571
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ro04.1 SUBASS Artetri-Seladen-Pseuspi",56.5719111969112
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","SUBASS Gg04 Pseuspi-Artefri(Poa sec)",37.4505494505495
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","ASSOC Ro03 Purstri/Seladen-Pseuspi",62.302380952381
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ro01.2 ASSOC Pseuspi-Tortrua (depauperatum)",43.4714285714286
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",47.6428571428571
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ro04.2 SUBASS Ericnau-Seladen-Pseuspi",46.862012987013
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","ASSOC Gg03 Pseuspi-Seladen",56.8214285714286
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","SUBASS Artetri-Pseuspi(BGxh1 zonal Calomac)",49.3246753246753
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","SUBASS Artetri-Pseuspi(BGxh2 zonalEricnau)",53.9424603174603
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","%SUBASS Gs03 Artetri-Pseuspi-Tortula",56.2142857142857
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","SUBASS Gs02 Artetri-Pseuspi-Sporcry",59.1477272727273
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","ASSOC Ro02 Junisco/Seladen-Pseuspi",44.9166666666667
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gg11 SUBASS Festida-Pseuspi",47.4113300492611
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gg13 SUBASS Festida-Lupiser",50.1309523809524
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gg10 SUBASS Festcam-Pseuspi-Achimil-Cladoni",40.4404761904762
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","ASSOC Gg10+12+15 Festcam-(Pseuspi)-Achimil-Cladoni",29.1719576719577
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gg16 ASSOC Festcam-Erioumb-Eremcap",66.6626984126984
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gg14 ASSOC Festida-Erioumb",66.4928571428571
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gg17 ASSOC Festida-Pseuspi-Erioumb",53.5357142857143
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ga05 ASSOC Leymcin",47.5714285714286
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ga07 ASSOC Salirub",53.8571428571429
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ga01.1 SUBASS Distspi [typic]",55.75
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ga01.2 SUBASS Distspi [Spargra]",67.2607142857143
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ga03 ASSOC Carepre",62.7142857142857
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ga02.1 SUBASS Puccnua-Hordjub[Puccnua]",55.9880952380952
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ga02.2 SUBASS Puccnua-Hordjub[Hordjub]",57.4259259259259
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ag02 ASSOC Dantint-Penspro-Cladina",66.1111111111111
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Ag01 ASSOC Dantint-Vaccsco-Eremcap",66.8214285714286
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gg32 ASSOC Calarub-Arctuva",59.4035714285714
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gb20 ASSOC Amelaln-Sympalb-Junicom/Achimil",70.7559523809524
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gb53 ASSOC Sympalb-Amelaln-Rosaaci",91.0625
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gb52 ASSOC Rosaaci - Elyminn",66.8373015873016
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gg51 ASSOC Elymtra - Artefri",38.9553571428571
"ASSOC Gg24 Hespcur-Koelmac/Cladoni","Gb21 Junicom-Arctuva-Fragvir",63.4615384615385
"%ASSOC Gg27 Hespcom-Artefri","ASSOC Gg25 Sporcry-Hespcom",13.8125
"%ASSOC Gg27 Hespcom-Artefri","Rt05 SUBASS Artetri-Amelaln-Pseuspi",40.2875
"%ASSOC Gg27 Hespcom-Artefri","Rt04 SUBASS Amelaln-Pseuspi",42.9458333333333
"%ASSOC Gg27 Hespcom-Artefri","ASSOC Rt06 Phillew-Amelaln-Pseuspi",64.1079545454545
"%ASSOC Gg27 Hespcom-Artefri","SUBASS Gg01 Pseuspi-Artefri(Typic)",22.25
"%ASSOC Gg27 Hespcom-Artefri","SUBASSOC Gg04 Pseuspi-Artefri(Cladoni)",32.78
