"G1","G2","Score"
"SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)","ASSOC Gg24 Hespcur-Koelmac/Cladoni",11.125
"%ASSOC Gg27 Hespcom-Artefri","ASSOC Gg25 Sporcry-Hespcom",13.8125
"Rt05 SUBASS Artetri-Amelaln-Pseuspi","Rt04 SUBASS Amelaln-Pseuspi",6.73333333333333
"Rt05 SUBASS Artetri-Amelaln-Pseuspi","Ro04.1 SUBASS Artetri-Seladen-Pseuspi",14.7567567567568
"Rt05 SUBASS Artetri-Amelaln-Pseuspi","%SUBASS Gs03 Artetri-Pseuspi-Tortula",8.8
"Rt05 SUBASS Artetri-Amelaln-Pseuspi","SUBASS Gs02 Artetri-Pseuspi-Sporcry",13.8545454545455
"Rt04 SUBASS Amelaln-Pseuspi","SUBASS Gg01 Pseuspi-Artefri(Typic)",14.6842105263158
"Rt04 SUBASS Amelaln-Pseuspi","Ro01.2 ASSOC Pseuspi-Tortrua (depauperatum)",12.5208333333333
"Rt04 SUBASS Amelaln-Pseuspi","Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",13.5190476190476
"SUBASS Gg01 Pseuspi-Artefri(Typic)","SUBASSOC Gg04 Pseuspi-Artefri(Cladoni)",6.03
"SUBASS Gg01 Pseuspi-Artefri(Typic)","SUBASS Gg02 Pseuspi-(Balssag)",9.28377192982456
"SUBASS Gg01 Pseuspi-Artefri(Typic)","Ro04.1 SUBASS Artetri-Seladen-Pseuspi",13.9189189189189
"SUBASS Gg01 Pseuspi-Artefri(Typic)","SUBASS Gg04 Pseuspi-Artefri(Poa sec)",0.769230769230769
"SUBASS Gg01 Pseuspi-Artefri(Typic)","Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",13.7274436090226
"SUBASS Gg01 Pseuspi-Artefri(Typic)","Ro04.2 SUBASS Ericnau-Seladen-Pseuspi",14.4681020733652
"SUBASS Gg01 Pseuspi-Artefri(Typic)","SUBASS Artetri-Pseuspi(BGxh1 zonal Calomac)",10.7543859649123
