"","Group","NoPlots","TotalSpp","NonrareSpp","ConstSpp","Poor"
"1","%ASSOC Gg22 Achnric-Festsax-Antenar-Galibor",5,73,35,17,"OK"
"2","%ASSOC Gg27 Hespcom-Artefri",8,44,23,7,"OK"
"3","%ASSOC Gg28 Achnhym-Hespcom",5,29,9,4,"Poor"
"4","%Gs11 ASSOC Purstri-Arispur-Opunfra-Syntrur",3,39,39,13,"Poor"
"5","%SUBASS Gs03 Artetri-Pseuspi-Tortula",6,41,12,2,"Poor"
"6","? Ag03 ASSOC Dantint-Arctuva",3,57,57,12,"Poor"
"7","?Gg20 SUBASS Achnric-Festsax-Antenar/Cladoni(Hespcur)",3,59,59,22,"Poor"
"8","?Gg26 ASSOC Arispur-Hespcom-Erigfil",3,47,47,15,"Poor"
"9","Ag01 ASSOC Dantint-Vaccsco-Eremcap",6,80,29,12,"OK"
"10","Ag02 ASSOC Dantint-Penspro-Cladina",9,89,45,9,"OK"
"11","ASSOC Gg03 Pseuspi-Seladen",12,91,25,9,"OK"
"12","ASSOC Gg10+12+15 Festcam-(Pseuspi)-Achimil-Cladoni",54,247,36,7,"OK"
"13","ASSOC Gg24 Hespcur-Koelmac/Cladoni",28,119,45,11,"OK"
"14","ASSOC Gg25 Sporcry-Hespcom",10,51,17,4,"Poor"
"15","ASSOC Gs05 Junisco-Artetri-Pseuspi",4,45,45,6,"Poor"
"16","ASSOC Ro02 Junisco/Seladen-Pseuspi",12,118,32,6,"OK"
"17","ASSOC Ro03 Purstri/Seladen-Pseuspi",15,132,27,5,"OK"
"18","ASSOC Rt06 Phillew-Amelaln-Pseuspi",11,86,29,5,"OK"
"19","Ga01.1 SUBASS Distspi [typic]",21,62,7,2,"Poor"
"20","Ga01.2 SUBASS Distspi [Spargra]",10,59,17,6,"OK"
"21","Ga02.1 SUBASS Puccnua-Hordjub[Puccnua]",18,40,5,2,"Poor"
"22","Ga02.2 SUBASS Puccnua-Hordjub[Hordjub]",27,64,7,2,"Poor"
"23","Ga02.3 ASSOC Amphnev-Puccnua",4,12,12,3,"Poor"
"24","Ga03 ASSOC Carepre",7,46,16,5,"OK"
"25","Ga04 ASSOC Descces",3,42,42,5,"Poor"
"26","Ga05 ASSOC Leymcin",10,66,6,1,"Poor"
"27","Ga06 ASSOC Suaecal-Puccnua",4,7,7,2,"Poor"
"28","Ga07 ASSOC Salirub",7,13,5,2,"Poor"
"29","Gb01 ASSOC Junicom-Arctuva-Pseuspi",5,73,29,18,"OK"
"30","Gb06 ASSOC Ceanvel-Dantspi",5,41,24,18,"OK"
"31","Gb20 ASSOC Amelaln-Sympalb-Junicom/Achimil",9,116,50,9,"OK"
"32","Gb21 Junicom-Arctuva-Fragvir",13,137,43,8,"OK"
"33","Gb51 ASSOC Amelaln - Elymgla",5,52,22,11,"OK"
"34","Gb52 ASSOC Rosaaci - Elyminn",9,72,29,5,"OK"
"35","Gb53 ASSOC Sympalb-Amelaln-Rosaaci",16,146,53,17,"OK"
"36","Gg05 ASSOC Pseuspi-Arctuva(ESSF/MS)",5,66,25,13,"OK"
"37","Gg10 SUBASS Festcam-Pseuspi-Achimil-Cladoni",24,165,34,7,"OK"
"38","Gg11 SUBASS Festida-Pseuspi",29,194,31,6,"OK"
"39","Gg13 SUBASS Festida-Lupiser",12,113,34,10,"OK"
"40","Gg14 ASSOC Festida-Erioumb",20,176,37,9,"OK"
"41","Gg16 ASSOC Festcam-Erioumb-Eremcap",18,137,27,6,"OK"
"42","Gg17 ASSOC Festida-Pseuspi-Erioumb",12,119,35,5,"OK"
"43","Gg18 ?ASSOC Festida-Pseuspi-Seladen",2,32,32,12,"Poor"
"44","Gg31 ASSOC Dantspi-Arctuva-Racomit",4,60,60,9,"Poor"
"45","Gg32 ASSOC Calarub-Arctuva",10,90,35,8,"OK"
"46","Gg33 ASSOC Calarub-Penscon",3,43,43,10,"Poor"
"47","Gg34 Koelmac-",2,40,40,10,"Poor"
"48","Gg51 ASSOC Elymtra - Artefri",16,86,13,2,"Poor"
"49","Ro01.1 SUBASS Seladen-Pseuspi-Tortrua (typic)",56,257,32,6,"OK"
"50","Ro01.2 ASSOC Pseuspi-Tortrua (depauperatum)",40,232,36,6,"OK"
"51","Ro04.1 SUBASS Artetri-Seladen-Pseuspi",37,176,29,7,"OK"
"52","Ro04.2 SUBASS Ericnau-Seladen-Pseuspi",22,116,28,6,"OK"
"53","Rt04 SUBASS Amelaln-Pseuspi",15,87,19,4,"Poor"
"54","Rt05 SUBASS Artetri-Amelaln-Pseuspi",15,82,14,3,"Poor"
"55","SUBASS Artetri-Pseuspi(Antenna)",1,10,10,10,"Poor"
"56","SUBASS Artetri-Pseuspi(BGxh1 zonal Calomac)",11,89,34,4,"Poor"
"57","SUBASS Artetri-Pseuspi(BGxh2 zonalEricnau)",27,108,26,10,"OK"
"58","SUBASS Gg01 Pseuspi-Artefri(Typic)",57,232,25,2,"Poor"
"59","SUBASS Gg02 Pseuspi-(Balssag)",80,296,24,4,"Poor"
"60","SUBASS Gg04 Pseuspi-Artefri(Poa sec)",26,119,24,8,"OK"
"61","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",16,106,48,12,"OK"
"62","SUBASS Gs02 Artetri-Pseuspi-Sporcry",11,58,13,5,"OK"
"63","SUBASSOC Gg04 Pseuspi-Artefri(Cladoni)",50,181,35,8,"OK"
