"APCFamily","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName","ShortenedGuideName","EnglishNameUpdate2018","Native","Codetype","ID","TaxonLevel","IsAttribute","Report"
"MENYANH","MENYANH","NEPHROP","NEPHROP","NEPHROP",,"Nephrophyllidium sp.",7,,"deer-cabbage",,"deer-cabbage","N","U",1136554,"gen",0,1
,"PTERIDA","ADIAPED","ADIAALE","ADIAALE",,"Adiantum pedatum",5,"(Rupr.) Calder & Taylor",,,,,"S",25383,"spe",0,0
,"NOTUSED","CALOPLA","CALOPLA","CALOPLA",,"Caloplaca sp.",11,,,,"firedot lichens","N","U",25384,"gen",0,1
,"LYCOPOA","LYCOSEL","HUPESEL","HUPESEL",,"Lycopodium selago",5,"(L.) Bernh. ex Schrank & Mart. sens. lat.","norther fir-moss",,,,"S",25387,"spe",0,0
,"CARYOPH","LYCHAPE","SILEURA","SILEURA",,"Lychnis apetala",7,"(Farr) C.L. Hitchc.",,,,,"S",25388,"spe",0,0
,"CARYOPH","MELAAPE","SILEURA","SILEURA",,"Meladrium apetala",7,,,,,,"S",25389,"spe",0,0
,"PTERIDA","CRYPCRI","CRYPACR","CRYPACR",,"Cryptogramma crispa",5,"(R. Br.) Hult.",,,,,"S",25390,"spe",0,0
,"POLEMOI","POLECAE","POLEACU","POLEACU",,"Polemonium caeruleum",7,"(Rudolph ex Georgi) Brand",,,,,"S",25391,"spe",0,0
,"NOTUSED",,"FUCUS",,,"Fucus sp.",13,,,,"bladderwrack","N","U",25392,"gen",0,1
,"GRIMMIC","GRIMRAM","GRIMRAM","GRIMRAM",,"Grimmia ramondii",9,"(Lamarck & De Candolle) Margadant, Lindb",,,,"N","U",25393,"spe",0,1
,"GRIMMIC","RACOPAT","GRIMRAM","GRIMRAM",,"Racomitrium patens",9,,,,,,"S",25394,"spe",0,0
,"POACEAE","CALAINE","CALASTR2","CALASTR",,"Calamagrostis inexpansa",6,"(Vasey) Stebbins",,,,,"S",25395,"var",0,0
"ASTERAC","ASTERAC","AMBRELA","AMBRART","AMBRART",,"Ambrosia elatior",7,"L.",,,,,"S",16347,"spe",0,0
"ASTERAC","ASTERAC","AMBRPSI","AMBRPSI","AMBRPSI",,"Ambrosia psilostachya",7,"DC.","western ragweed",,"western ragweed","E","U",16348,"spe",0,1
"AIZOACE","AIZOACE",,"AIZOACE","AIZOACE",,"Aizoaceae",0,,,,,,"U",1136344,"fam",0,1
"AMARYLL","AMARYLL",,"AMARYLL","AMARYLL",,"Amaryllidaceae",0,,,,,,"U",1136345,"fam",0,1
"ASPHODE","ASPHODE",,"ASPHODE","ASPHODE",,"Asphodelaceae",0,,,,,,"U",1136346,"fam",0,1
"ATHYRIA","ATHYRIA",,"ATHYRIA","ATHYRIA",,"Athyriaceae",0,,,,,,"U",1136347,"fam",0,1
"BIGNONI","BIGNONI",,"BIGNONI","BIGNONI",,"Bignoniaceae",0,,,,,,"U",1136348,"fam",0,1
"ASTERAC","ASTERAC","AMBRPSI1","AMBRPSI","AMBRPSI",,"Ambrosia psilostachya var. coronopifolia",7,"(T. & G.) Farw.",,,,,"S",16349,"var",0,0
"ASTERAC","ASTERAC","AMBROSI","AMBROSI","AMBROSI",,"Ambrosia sp.",7,"L.",,,"ragweed","N","U",16350,"gen",0,1
,"ORCHIDA","AMERROT","GALEROT","GALEROT",,"Amerorchis rotundifolia",7,"(Banks ex Pursh) Hult.",,,,,"S",16351,"spe",0,0
"ORCHIDA","ORCHIDA","AMERORC","AMERORC","AMERORC",,"Amerorchis sp.",7,,,,,"N","U",16352,"gen",0,1
,"LYTHRAC","AMMACOC","AMMAROB","AMMAROB",,"Ammannia coccinea",7,"auct. non Rottb.",,,,,"S",16353,"spe",0,0
"LYTHRAC","LYTHRAC","AMMAROB","AMMAROB","AMMAROB",,"Ammannia robusta",7,"Heer & Regel","scarlet ammannia",,"scarlet ammannia","N","U",16354,"spe",0,1
"LYTHRAC","LYTHRAC","AMMANNI","AMMANNI","AMMANNI",,"Ammannia sp.",7,,,,"ammannia","N","U",16355,"gen",0,1
"BORAGIN","BORAGIN","AMSIINT","AMSIINT","AMSIINT",,"Amsinckia intermedia",7,"Fisch. & C.A. Mey.","common fiddleneck",,"common fiddleneck","N","U",16356,"spe",0,1
"BORAGIN","BORAGIN","AMSILYC","AMSILYC","AMSILYC",,"Amsinckia lycopsoides",7,"Lehm.","bugloss fiddleneck",,"bugloss fiddleneck","N","U",16357,"spe",0,1
,"BORAGIN","AMSIMEN","AMSIINT","AMSIINT",,"Amsinckia menziesii",7,"(Lehm.) A. Nels. & J.F. Macbr.",,,,,"S",16358,"spe",0,0
"BORAGIN","BORAGIN","AMSIRET","AMSIRET","AMSIRET",,"Amsinckia retrorsa",7,"Suksd.","rough fiddleneck",,"rough fiddleneck","N","U",16359,"spe",0,1
"BORAGIN","BORAGIN","AMSINCK","AMSINCK","AMSINCK",,"Amsinckia sp.",7,,,,"fiddleneck","N","U",16360,"gen",0,1
"BORAGIN","BORAGIN","AMSISPE","AMSISPE","AMSISPE",,"Amsinckia spectabilis",7,"Fisch. & C.A. Mey.","seaside fiddleneck",,"seaside fiddleneck","N","U",16361,"spe",0,1
,"HYDROCH","ANACCAN","ELODCAN","ELODCAN",,"Anacharis canadensis",7,"(Michx.) Planch.",,,,,"S",16362,"spe",0,0
,"HYDROCH","ANACNUT","ELODNUT","ELODNUT",,"Anacharis nuttallii",7,"Planch.",,,,,"S",16363,"spe",0,0
"MYRSINA","PRIMULC","ANAGARV","LYSIARV","LYSIARV",,"Anagallis arvensis",7,"L.","scarlet pimpernel",,"scarlet pimpernel","E","S",16364,"spe",0,0
"MYRSINA","PRIMULC","ANAGMIN","LYSIMIN","LYSIMIN",,"Anagallis minima",7,"(L.) E.H.L. Krause","chaffweed",,"chaffweed pimpernel","N","S",16365,"spe",0,0
"MYRSINA","PRIMULC","ANAGALL","ANAGALL","ANAGALL",,"Anagallis sp.",7,,,,"pimpernel","E","U",16366,"gen",0,1
"ASTERAC","ASTERAC","ARNILOG","ARNILOG","ARNILOG",,"Arnica lonchophylla",7,"Greene","long-leaf arnica",,"long-leaved arnica","N","U",16583,"spe",0,1
"ASTERAC","ASTERAC","ARNILON","ARNILON","ARNILON",,"Arnica longifolia",7,"D.C. Eaton","seep-spring arnica",,"spear-leaved arnica","N","U",16584,"spe",0,1
"ASTERAC","ASTERAC","ARNILOU","ARNILOU","ARNILOU",,"Arnica louiseana",7,"Farr","Lake Louise arnica",,"Lake Louise arnica","N","U",16585,"spe",0,1
"ASTERAC","ASTERAC","ARNILOU1","ARNIGRI1","ARNIGRI",,"Arnica louiseana ssp. frigida",7,"(C.A. Mey. ex Iljin) Maguire",,,,,"S",16586,"sub",0,0
"ASTERAC","ASTERAC","ANTENEG3","ANTEHOW1","ANTEHOW",,"Antennaria neglecta var. howellii",7,"(Greene) Cronq.",,,,,"S",16436,"var",0,0
"ASTERAC","ASTERAC","ANTENEO1","ANTEHOW1","ANTEHOW",,"Antennaria neodioica ssp. howellii",7,"(Greene) Bayer",,,,,"X",16437,"sub",0,1
"ASTERAC","ASTERAC","ANTENIT","ANTEMIC","ANTEMIC",,"Antennaria nitida",7,"Greene",,,,,"S",16438,"spe",0,0
"ASTERAC","ASTERAC","ANTEPAR","ANTEPAR","ANTEPAR",,"Antennaria parvifolia",7,"Nutt.","Nuttall's pussytoes",,"Nuttall's pussytoes","N","U",16439,"spe",0,1
"ASTERAC","ASTERAC","ANTEPHI","ANTEMON","ANTEMON",,"Antennaria philonipha",7,"A.E. Porsild",,,,,"S",16440,"spe",0,0
"ASTERAC","ASTERAC","ANTEPUL","ANTEPUL","ANTEPUL",,"Antennaria pulcherrima",7,"(Hook.) Greene","showy pussytoes",,"showy pussytoes","N","U",16441,"spe",0,1
,"POTAMOE","POTAVAG","STUCVAG","STUCVAG",,"Potamogeton vaginatus",7,"Turcz.",,,,,"S",13557,"spe",0,0
"POTAMOE","POTAMOE","POTAZOS","POTAZOS","POTAZOS",,"Potamogeton zosteriformis",7,"Fern.","eel-grass pondweed",,"flat-stemmed pondweed","N","U",13558,"spe",0,1
,"POTAMOE","POTAMO","POTAMOE","POTAMOE",,"Potamogetonaceae",7,,,,,"N","U",13559,"fam",0,1
"ROSACEA","ROSACEA","POTEANS","POTEANS","POTEANS",,"Potentilla anserina",7,"L.","common silverweed","silverweed","silverweed cinquefoil","N","U",13560,"spe",0,1
"ROSACEA","ROSACEA","POTEANS3","POTEANS3","POTEANS",,"Potentilla anserina ssp. anserina",7,,"common silverweed",,"silverweed cinquefoil","N","U",13561,"sub",0,1
"ROSACEA","ROSACEA","POTEANS2","POTEANS2","POTEANS",,"Potentilla anserina ssp. pacifica",7,"(Howell) Rousi","coast silverweed",,"coast silverweed cinquefoil","N","U",13562,"sub",0,1
"ROSACEA","ROSACEA","POTEARG","POTEARG","POTEARG",,"Potentilla argentea",7,"L.","silvery cinquefoil",,"silvery cinquefoil","E","U",13563,"spe",0,1
"FABACEA","FABACEA","LUPILEP","LUPILEP","LUPILEP",,"Lupinus lepidus",7,"Dougl. ex Lindl.","prairie lupine",,"prairie lupine","N","U",13564,"spe",0,1
,"FABACEA","LUPILEP3","LUPILYA","LUPILYA",,"Lupinus lepidus ssp. lyallii",7,"(A. Gray) Detling",,,,,"S",13565,"sub",0,0
,"FABACEA","LUPILEP1","LUPILEP","LUPILEP",,"Lupinus lepidus var. lepidus",7,,,,,,"S",13566,"var",0,0
,"FABACEA","LUPILEP2","LUPILYA","LUPILYA",,"Lupinus lepidus var. lobbii",7,"(A. Gray) C.L. Hitchc.",,,,,"S",13567,"var",0,0
"FABACEA","FABACEA","LUPILEU","LUPILEU","LUPILEU",,"Lupinus leucophyllus",7,"Dougl. ex Lindl.","velvet lupine",,"velvet lupine","N","U",13568,"spe",0,1
"FABACEA","FABACEA","LUPILIT","LUPILIT","LUPILIT",,"Lupinus littoralis",7,"Dougl. ex Lindl.","seashore lupine",,"seashore lupine","N","U",13569,"spe",0,1
"RHAMNAC","RHAMNAC","RHAMNUS","RHAMNUS","RHAMNUS","K","Rhamnus sp.",0,,,,"cascara","N","U",13670,"gen",0,1
"ERICACE","ERICACE","RHODODE","RHODODE","RHODODE",,"Rhododendron sp.",0,,,,"rhododendron and Labrador tea","N","U",13671,"gen",0,1
"GENTIAA","GENTIAA","COMASTO","COMASTO","COMASTO",,"Comastoma sp.",7,,,,"slender-gentian","N","U",1136416,"spe",0,1
"GENTIAA","GENTIAA","GENTVIR2","GENTVIR2","GENTVIR",,"Gentianopsis virgata ssp. macounii",7,"(Holm) Pringle","lesser fringed gentian",,"lesser fringed gentian","N","U",1136417,"sub",0,1
"GENTIAA","GENTIAA","GENTVIR","GENTVIR","GENTVIR",,"Gentianopsis virgata",7,"(Raf.) Holub","lesser fringed gentian",,"lesser fringed gentian","N","U",1136418,"spe",0,1
"ROSACEA","ROSACEA","GEUMMAC5","GEUMMAC5","GEUMMAC",,"Geum macrophyllum var. perincisum",7,"(Rydb.) Raup","large-leaved avens",,"large-leaved avens","N","U",1136419,"var",0,1
"CAMPANL","CAMPANL","HETERAI","HETERAI","HETERAI",,"Heterocodon rariflorus",7,"Nutt.","western pearlflower",,"western pearlflower","N","U",1136420,"spe",0,1
"CUPRESS","CUPRESS","JUNICOM5","JUNICOM5","JUNICOM",,"Juniperus communis var. kellyii",3,"R.P. Adams",,,"Kelley's common juniper","N","U",1136421,"var",0,1
"AMARANH","CHENOPD","BASSSCO","BASSSCO","BASSSCO",,"Bassia scoparia",7,"(L.) A.J. Scott","summer-cypress",,"summer-cypress bassia","E","U",1136422,"spe",0,1
"ASTERAC","ASTERAC","SCORAUT","SCORAUT","SCORAUT",,"Scorzoneroides autumnalis",7,"(L.) Moench","autumn hawkbit",,"autumn hawkbit","E","U",1136423,"spe",0,1
"ASTERAC","ASTERAC","SCORZON","SCORZON","SCORZON",,"Scorzoneroides sp.",7,"Vaill.",,,"hawkbit","E","U",1136424,"gen",0,1
,"BRASSIA","LEPIRAM","LEPIRAM","LEPIRAM",,"Lepidium ramosissimum",7,"A. Nels.","branched pepper-grass",,"branched pepper-grass","N","U",1136425,"spe",0,1
"BRASSIA","BRASSIA","LEPIVIR2","LEPIVIR2","LEPIVIR",,"Lepidium virginicum ssp. menziesii",7,"(DC.) Thell.","Menzie's peppergrass",,"Menzies' pepper-grass","N","U",1136426,"sub",0,1
"POACEAE","POACEAE","LEYMINN1","LEYMINN1","LEYMINN",,"Leymus innovatus ssp. innovatus",6,"(Beal) Pilg.","downy lymegrass",,"fuzzy-spiked wildrye","N","U",1136427,"spe",0,1
"MYRICAC","MYRICAC","MORECAL","MORECAL","MORECAL",,"Morella californica",3,"(Cham.) Wilbur","Pacifica bayberry",,"Pacific bayberry","N","U",1136428,"spe",0,1
"NYMPHAA","NYMPHAA","NYMPODO1","NYMPODO1","NYMPODO",,"Nymphaea odorata ssp. odorata",7,,"fragrant waterlily",,"fragrant water-lily","E","U",1136429,"sub",0,1
"POACEAE","POACEAE","PANIDIC1","PANIDIC1","PANIDIC",,"Panicum dichotomiflorum ssp. dichotomiflorum",6,,"smooth witchgrass",,"fall panicgrass","E","U",1136430,"sub",0,1
,"POACEAE","FESTSUB","FESTSUB","FESTSUB",,"Festuca subulata",6,,"bearded fescue",,"bearded fescue","N","U",1136388,"spe",0,1
,"ROSACEA"," ROSACE","ROSACEA","ROSACEA",,"Rosaceae",0,,,,,"N","U",13672,"fam",0,1
"ROSACEA","ROSACEA","RUBUS","RUBUS","RUBUS",,"Rubus sp.",0,,,,"raspberry, blackberry, thimbleberry","N","U",13673,"gen",0,1
"SALICAC","SALICAC"," SALICA","SALICAC","SALICAC",,"Salicaceae",0,,,,,"N","U",13674,"fam",0,1
"SALICAC","SALICAC","SALIX","SALIX","SALIX","W","Salix sp.",0,,"willow",,"willow","N","U",13675,"gen",0,1
,"SOLANAC"," SOLANA","SOLANAC","SOLANAC",,"Solanaceae",0,,,,,"N","U",13676,"fam",0,1
"ASPLENA","ASPLENA","ASPLTRI2","ASPLTRI2","ASPLTRI",,"Asplenium trichomanes ssp. trichomanes",5,,"maidenhair spleenwort",,"maidenhair spleenwort","N","U",13535,"sub",0,1
"AMARANH","AMARANH","AMARPOW2","AMARPOW2","AMARPOW",,"Amaranthus powellii ssp. powellii",7,,"Powell's amaranth",,"Powell's amaranth","E","U",13536,"sub",0,1
"ASTERAC","ASTERAC","HIERXFL","HIERXFL","HIERXFL",,"Hieracium x floribundum",7,"Wimmer & Grab. (pro sp.)","kingdevil hawkweed",,"kingdevil hawkweed","E","U",13537,"hyb",0,1
,"RANUNCL","RANUFLM3","RANUFLM3","RANUFLM",,"Ranunculus flammula var. flammula",7,,,,,,"X",13538,"var",0,1
,"RANUNCL","RANUFLM4","RANUFLM2","RANUFLM",,"Ranunculus flammula var. filiformis",7,"(Michx.) Hook.",,,,,"S",13539,"var",0,0
"ASTERAC","ASTERAC","SYMPSPA2","SYMPSPA2","SYMPSPA",,"Symphyotrichum spathulatum var. intermedium",7,"(Lindl.) G.L. Nesom","western mountain aster",,"western mountain aster","N","U",13540,"var",0,1
"POTAMOE","POTAMOE","POTAOAK","POTAOAK","POTAOAK",,"Potamogeton oakesianus",7,"Robbins","Oakes' pondweed",,"Oakes' pondweed","N","U",13541,"spe",0,1
"POTAMOE","POTAMOE","POTAOBT","POTAOBT","POTAOBT",,"Potamogeton obtusifolius",7,"Mert. & Koch","blunt-leaved pondweed",,"blunt-leaved pondweed","N","U",13542,"spe",0,1
,"POTAMOE","POTAPAN","POTAPUS4","POTAPUS",,"Potamogeton panormitanus",7,"Biv.",,,,,"S",13543,"spe",0,0
,"POTAMOE","POTAPEC","STUCPEC","STUCPEC",,"Potamogeton pectinatus",7,"L.",,,,,"S",13544,"spe",0,0
"POTAMOE","POTAMOE","POTAPER","POTAPER","POTAPER",,"Potamogeton perfoliatus",7,"L.","perfoliate pondweed",,"perfoliate pondweed","N","U",13545,"spe",0,1
,"POTAMOE","POTAPER1","POTARIC","POTARIC",,"Potamogeton perfoliatus var. richardsonii",7,"A. Benn.",,,,,"S",13546,"var",0,0
"POTAMOE","POTAMOE","POTAPRA","POTAPRA","POTAPRA",,"Potamogeton praelongus",7,"Wolfen","long-stalked pondweed",,"white-stemmed pondweed","N","U",13547,"spe",0,1
"POTAMOE","POTAMOE","POTAPUS","POTAPUS","POTAPUS",,"Potamogeton pusillus",7,"L.","small pondweed",,"small pondweed","N","U",13548,"spe",0,1
"VIOLACE","VIOLACE","VIOLPRA2","VIOLPRA2","VIOLPRA",,"Viola praemorsa var. praemorsa",7,,"yellow montane violet",,"yellow montane violet","N","U",1136454,"var",0,1
"VIOLACE","VIOLACE","VIOLSOR","VIOLSOR","VIOLSOR",,"Viola sororia",7,"Willd.","woolly blue violet",,"woolly blue violet","N","U",1136456,"spe",0,1
"AMARANH","AMARANH","AMARCRU","AMARCRU","AMARCRU",,"Amaranthus cruentus",7,"L.","blood amaranth",,"blood amaranth","E","U",1136457,"spe",0,1
"AMARANH","AMARANH","AMARHYP","AMARHYP","AMARHYP",,"Amaranthus hypochondriacus",7,"L.","prince's-feather amaranth",,"Prince-of-Wales feather","E","U",1136458,"spe",0,1
"ROSACEA","ROSACEA","AMELLAM","AMELLAM","AMELLAM",,"Amelanchier lamarckii",4,"F.G. Schroed.",,,"Lamarck's serviceberry","E","U",1136459,"gen",0,1
"PLANTAI","CALLITI","CALLBRU","CALLBRU","CALLBRU",,"Callitriche brutia",7,"Petagna","pedunculate water-starwort",,"pedunculate water-starwort","E","U",1136460,"spe",0,1
"PLANTAI","CALLITI","CALLBRU1","CALLBRU1","CALLBRU",,"Callitriche brutia var. hamulata",7,"(Kütz. ex W.D.J. Koch) Lansdown","pedunculate water-starwort",,"pedunculate water-starwort","E","U",1136461,"var",0,1
"PLANTAI","CALLITI","CALLTER","CALLTER","CALLTER",,"Callitriche terrestris",7,"Raf.","terrestrial water-starwort",,"terrestrial water-starwort","E","U",1136462,"var",0,1
"CYPERAC","CYPERAC","CARELAC","CARELAC","CARELAC",,"Carex lacustris",6,"Willd.","lake sedge",,"lake sedge","N","U",1136463,"spe",0,1
,"OROBANH","CASTPAI","CASTPAI","CASTPAI",,"Castilleja pallida",7,"(L.) Kunth","Yukon Indian paintbrush",,"Yukon Indian paintbrush","N","U",1136464,"spe",0,1
,"OROBANH","CASTPAI1","CASTPAI1","CASTPAI",,"Castilleja pallida var. caudata",7,"(Pennell) B. Boivin","Yukon Indian paintbrush",,"boreal paintbrush","N","U",1136465,"var",0,1
"CYPERAC","CYPERAC","CYPEACU","CYPEACU","CYPEACU",,"Cyperus acuminatus",6,"Torr. & Hook. ex Torr.","taper-tip flatsedge",,"taper-tip cyperus","N","U",1136466,"spe",0,1
"POACEAE","POACEAE","DESCBRE","DESCBRE","DESCBRE",,"Deschampsia brevifolia",6,"R. Br.","short-leaved hairgrass",,"short-leaved hairgrass","N","U",1136467,"spe",0,1
"EQUISEA","EQUISEA","EQUIXFE","EQUIXFE","EQUIXFE",,"Equisetum x ferrissii",5,"Clute",,,"Ferriss' scouring-rush","N","U",1136468,"hyb",0,1
"EQUISEA","EQUISEA","EQUIXLI","EQUIXLI","EQUIXLI",,"Equisetum x litorale",5,"Kühlewein ex Ruprecht",,,"shore horsetail","N","U",1136469,"hyb",0,1
"EQUISEA","EQUISEA","EQUIXMA","EQUIXMA","EQUIXMA",,"Equisetum x mackayii",5,"(Newman) Brichan",,,"Mackay's scouring-rush ","N","U",1136470,"hyb",0,1
,"SCROPHL","EUPHCON","EUPHCON","EUPHCON",,"Euphrasia confusa",7,"Sennen","confused eyebright",,"confused eyebright","E","U",1136471,"spe",0,1
,"POTAMOE","POTAPUS3","POTAPUS4","POTAPUS",,"Potamogeton pusillus var. minor",7,"(Biv.) Fern. & Schub.",,,,,"S",13549,"var",0,0
,"POTAMOE","POTAPUS1","POTAPUS4","POTAPUS",,"Potamogeton pusillus var. pusillus",7,,,,,,"S",13550,"var",0,0
,"POTAMOE","POTAPUS2","POTAPUS5","POTAPUS",,"Potamogeton pusillus var. tenuissimus",7,"Mert. & Koch",,,,,"S",13551,"var",0,0
"FABACEA","FABACEA","LUPILYA","LUPILYA","LUPILYA",,"Lupinus lyallii",7,"A. Gray","dwarf mountain lupine",,"dwarf mountain lupine","N","U",13570,"spe",0,1
,"FABACEA","LUPIMIC","LUPIPOC","LUPIPOC",,"Lupinus micranthus",7,"Dougl., non Guss.",,,,,"S",13571,"spe",0,0
,"FABACEA","LUPIMIC1","LUPIBIC","LUPIBIC",,"Lupinus micranthus var. bicolor",7,"(Lindl.) S. Wats.",,,,,"S",13572,"var",0,0
,"FABACEA","LUPIMIR1","LUPIDEN2","LUPIDEN",,"Lupinus microcarpus var. scopulorum",7,"C.P. Smith",,,,,"S",13573,"var",0,0
,"FABACEA","LUPIMIN","LUPILEP","LUPILEP",,"Lupinus minimus",7,"Dougl. ex Hook.",,,,,"S",13574,"spe",0,0
"POTAMOE","POTAMOE","POTACRI","POTACRI","POTACRI",,"Potamogeton crispus",7,"L.","curled pondweed",,"curled pondweed","E","U",13575,"spe",0,1
"POTAMOE","POTAMOE","POTAEPI","POTAEPI","POTAEPI",,"Potamogeton epihydrus",7,"Raf.","ribbon-leaf pondweed",,"ribbon-leaved pondweed","N","U",13576,"spe",0,1
,"POTAMOE","POTAEPI1","POTAEPI","POTAEPI",,"Potamogeton epihydrus var. ramosus",7,"(Peck) House",,,,,"S",13577,"var",0,0
,"POTAMOE","POTAFIL","STUCFIL","STUCFIL",,"Potamogeton filiformis",7,"Pers.",,,,,"S",13578,"spe",0,0
"POTAMOE","POTAMOE","POTAFOL","POTAFOL","POTAFOL",,"Potamogeton foliosus",7,"Raf.","closed-leaved pondweed",,"closed-leaved pondweed","N","U",13579,"spe",0,1
,"POTAMOE","POTAFOL1","POTAFOL","POTAFOL",,"Potamogeton foliosus var. macellus",7,"Fern.",,,,,"S",13580,"var",0,0
