"YearOfChange","ChangeDescription","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName","Codetype","Province","Native","TaxonLevel","IsAttribute","ID"
,,"Pinaceae","ABIEAMA","ABIEAMA","ABIEAMA","Ba","Abies amabilis",1.00,"(Douglas ex Loudon) Douglas ex J. Forbes","Pacific silver fir","U",,"N",,0,1
,,"Pinaceae","ABIEBAL","ABIEBAL","ABIEBAL","Bb","Abies balsamea",1.00,"(Linnaeus) Miller","balsam fir","U",,"N",,0,2
,,"Pinaceae","ABIEBIF","ABIEBIF","ABIEBIF",,"Abies bifolia",1.00,"A. Murray",,"U",,"N",,0,3
,,"Pinaceae","ABIEGRA","ABIEGRA","ABIEGRA","Bg","Abies grandis",1.00,"(Douglas ex D. Don) Lindley","grand fir","U",,"N",,0,4
,,"Pinaceae","ABIELAS","ABIELAS","ABIELAS","Bl","Abies lasiocarpa",1.00,"(Hooker) Nuttall","subalpine fir","U",,"N",,0,5
,,"Pinaceae","ABIEPRO","ABIEPRO","ABIEPRO","Bp","Abies procera",1.00,"Rehder","noble fir","U",,"E",,0,6
,,"Pinaceae","ABIES","ABIES","ABIES","B","Abies sp.",1.00,"Miller","fir","U",,"N",,0,7
,,"Nyctagin","ABROLAT","ABROLAT","ABROLAT",,"Abronia latifolia",7.00,"Eschscholtz","yellow sand-verbena","U",,"N",,0,8
,,"Nyctagin","ABRONIA","ABRONIA","ABRONIA",,"Abronia sp.",7.00,"Jussieu",,"U",,"N",,0,9
,,"Nyctagin","ABROUMB","ABROUMB","ABROUMB",,"Abronia umbellata",7.00,"Lamarck","pink sand-verbena","U",,"N",,0,10
,,"Nyctagin","ABROUMB3","ABROUMB3","ABROUMB",,"Abronia umbellata var. breviflora",7.00,"(Standley) L.A. Galloway","pink sand-verbena","U",,"N",,0,11
,,"Malvacea","ABUTILO","ABUTILO","ABUTILO",,"Abutilon sp.",7.00,"Miller",,"U",,"N",,0,12
,,"Malvacea","ABUTTHE","ABUTTHE","ABUTTHE",,"Abutilon theophrasti",7.00,"Medikus","velvet-leaf","U",,"E",,0,13
,,"Euphorbi","ACALRHO","ACALRHO","ACALRHO",,"Acalypha rhomboidea",7.00,"Rafinesque","common three-seed mercury","U",,,,0,14
,,"Euphorbi","ACALYPH","ACALYPH","ACALYPH",,"Acalypha sp.",7.00,"Linnaeus",,"U",,,,0,15
,,"Asterace","ACANHIS","ACANHIS","ACANHIS",,"Acanthospermum hispidum",0.00,"de Candolle","hispid starburr","U",,,,0,16
,,"Acanthac","Acantha","Acantha","Acantha",,"Acanthaceae",0.00,"de Jussieu",,"U",,,,0,17
,,"Asterace","ACANTHO","ACANTHO","ACANTHO",,"Acanthospermum sp.",0.00,"Schrank",,"U",,,,0,18
,,"Sapindac","ACER","ACER","ACER","M","Acer sp.",0.00,"Linnaeus","maple","U",,"N",,0,19
,,"Sapindac","ACERCAM","ACERCAM","ACERCAM",,"Acer campestre",4.00,"Linnaeus","hedge maple","U",,,,0,20
,,"Sapindac","ACERCIR","ACERCIR","ACERCIR","Mv","Acer circinatum",2.00,"Pursh","vine maple","U",,"N",,0,21
,,"Sapindac","ACERGLA","ACERGLA","ACERGLA",,"Acer glabrum",4.00,"Torrey","Rocky Mountain maple","U",,"N",,0,22
,,"Sapindac","ACERGLA1","ACERGLA1","ACERGLA",,"Acer glabrum var. douglasii",4.00,"(Hooker) Dippel","Douglas maple","U",,"N",,0,23
,,"Sapindac","ACERJAP","ACERJAP","ACERJAP",,"Acer japonicum",4.00,"Thunberg",,"U",,,,0,24
,,"Sapindac","ACERMAC","ACERMAC","ACERMAC","Mb","Acer macrophyllum",2.00,"Pursh","big-leaved maple","U",,"N",,0,25
,,"Sapindac","ACERNEG","ACERNEG","ACERNEG","Me","Acer negundo",2.00,"Linnaeus","Manitoba maple","U",,"E",,0,26
