"","Group","NumSpp","DiffSum","NumPlots"
"1","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",158,52.12,50
"2","SUBASS BlSe-Vaccsco-Barblyc",99,33.5625,8
"3","SUBASS BlSe - Vaccsco (Pa)",147,34.1666666666667,18
"4","SUBASS BlSe-Menzfer (Tiartri)",151,47.71875,16
"5","SUBASS BlSe-Menzfer (Pleusch)",134,55.2291666666667,24
"6","SUBASS BlSe-Menzfer (typic)",116,39.1666666666667,21
"7","ASSOC Abielas-Rhodalb-Menzfer",102,47.3076923076923,13
"8","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",193,55.7358490566038,53
"9","ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",205,40.436170212766,47
"10","SUBASS BlPl-Vaccsco-Cladoni(typic)",145,44.55,20
"11","SUBASS BlPl-Vaccsco-Cladoni(Abielas)",134,34.1875,24
"12","ASSOC PlBl-Vaccsco(Calarub)",123,24.8666666666667,15
"13","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",149,47.9375,24
"14","SUBASS PlBl-Vaccmem-Vaccsco(typic)",175,35.52,75
"15","SUBASS BlPl-Vaccmem",46,42.4375,8
"16","ASSOC Abielas-Rhodalb-Vaccsco",190,54.8086419753086,81
"17","Sk24 ASSOC BlLa-Vaccsco",136,34.375,12
"18","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",109,39.1,15
"19","%ASSOC BlLa - Heron s-bill moss",80,20.75,6
"20","ASSOC Abielas-Rhodalb-Empenig",95,56.3333333333333,18
"21","ASSOC Abielas-Menzfer-Vaccmyt",64,50.3214285714286,14
"22","ASSOC Pinualb-Abielas-Junicom-Shepcan",111,39.7692307692308,13
"23","ASSOC BlPa - Vaccmem - Paximyr",104,34.5,11
"24","?ASSOC Pinualb-Abielas-Junicom-Cladoni",17,31.25,2
"25","%ASSOC Pinualb-Abielas-Cladoni%",72,35.9166666666667,6
"26","%ASSOC Pinualb-Abielas-Junicom-Vaccsco",55,52,5
"27","%ASSOC Abielas-Pinualb-Arnicor",54,54.8,5
"28","ASSOC Abielas-Vaccmem-Paximyr",168,29.8333333333333,21
"29","ASSOC BlCwLw-Clinuni",97,54,11
"30","ASSOC BlFd-Vaccmem-Paximyr",153,46.25,24
"31","%ASSOC BlPl-Vaccmem-Xeroten",83,71.2777777777778,9
"32","%ASSOC BlFd--Vaccmem-Xeroten-Racomit",72,54.25,4
"33","%ASSOC Pinucon-Vaccsco-Racomit",55,24.875,4
"34","%ASSOC Abielas-Vaccmem-Racomit",87,40.1428571428571,7
"35","SUBASS PlBl-Cladina(Dicranu)",63,41.5714285714286,7
