"Species","G1","G1Cov","G1Const","G2","G2Cov","G2Const","ConstDiff","DomDiff","Const","Value","Type"
"ACHIMIL","SUBASS PyFd-Pseuspi(Racomit)",1,88.8888888888889,"%ASSOC BlFd - Acergla (ESSFs xeric)",0.75,66.6666666666667,22.2222222222222,NA,"cm",0,"7"
"AMELALN","SUBASS PyFd-Pseuspi(Racomit)",3.27777777777778,88.8888888888889,"%ASSOC BlFd - Acergla (ESSFs xeric)",1.5,83.3333333333333,5.55555555555554,NA,"c",0.888888888888889,"4"
"BERBAQU","SUBASS PyFd-Pseuspi(Racomit)",0.611111111111111,77.7777777777778,"%ASSOC BlFd - Acergla (ESSFs xeric)",0.95,66.6666666666667,11.1111111111111,NA,"cm",0,"3"
"PAXIMYR","SUBASS PyFd-Pseuspi(Racomit)",2.23333333333333,77.7777777777778,"%ASSOC BlFd - Acergla (ESSFs xeric)",0.95,83.3333333333333,5.55555555555556,NA,"c",0.777777777777778,"3"
"PELTMAL","SUBASS PyFd-Pseuspi(Racomit)",2.11111111111111,66.6666666666667,"%ASSOC BlFd - Acergla (ESSFs xeric)",0.0833333333333333,16.6666666666667,50,NA,"c",0.333333333333333,"11"
"PENSFRU","SUBASS PyFd-Pseuspi(Racomit)",2.44444444444444,77.7777777777778,"%ASSOC BlFd - Acergla (ESSFs xeric)",0.0666666666666667,33.3333333333333,44.4444444444445,NA,"c",0.777777777777778,"7"
"PINUPON","SUBASS PyFd-Pseuspi(Racomit)",7.66666666666667,66.6666666666667,"%ASSOC BlFd - Acergla (ESSFs xeric)",0,0,66.6666666666667,NA,"c",2,"1"
"POLYJUN","SUBASS PyFd-Pseuspi(Racomit)",3.77777777777778,66.6666666666667,"%ASSOC BlFd - Acergla (ESSFs xeric)",0.333333333333333,33.3333333333333,33.3333333333333,NA,"c",0.333333333333333,"9"
"POLYPIL","SUBASS PyFd-Pseuspi(Racomit)",3.05555555555556,77.7777777777778,"%ASSOC BlFd - Acergla (ESSFs xeric)",0,0,77.7777777777778,NA,"c",1.16666666666667,"9"
"PSEUMEN","SUBASS PyFd-Pseuspi(Racomit)",11,77.7777777777778,"%ASSOC BlFd - Acergla (ESSFs xeric)",7.16666666666667,50,27.7777777777778,NA,"cd",1.55555555555556,"1"
"PSEUSPI","SUBASS PyFd-Pseuspi(Racomit)",5,88.8888888888889,"%ASSOC BlFd - Acergla (ESSFs xeric)",0.5,33.3333333333333,55.5555555555556,NA,"c",0.888888888888889,"6"
"ALLICER","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",0.677272727272727,72.7272727272727,"SUBASS Fd-Junisco-Pseuspi (Arctuva)",0.428,80,7.27272727272727,NA,"cm",0,"7"
"HYLOSPL","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",22.2727272727273,81.8181818181818,"SUBASS Fd-Junisco-Pseuspi (Arctuva)",0.766666666666667,40,41.8181818181818,NA,"cd",0.818181818181818,"9"
"JUNISCO","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.03636363636364,77.2727272727273,"SUBASS Fd-Junisco-Pseuspi (Arctuva)",6.22,86.6666666666667,9.39393939393941,NA,"c",0.772727272727273,"1"
"PELTCAN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.63636363636364,63.6363636363636,"SUBASS Fd-Junisco-Pseuspi (Arctuva)",0.14,26.6666666666667,36.969696969697,NA,"c",0.318181818181818,"11"
"PSEUMEN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",37.6,95.4545454545455,"SUBASS Fd-Junisco-Pseuspi (Arctuva)",29.1133333333333,100,4.54545454545455,NA,"cd",1.90909090909091,"1"
"PSEUSPI","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",12.8181818181818,68.1818181818182,"SUBASS Fd-Junisco-Pseuspi (Arctuva)",5.34466666666667,86.6666666666667,18.4848484848485,NA,"cd",1.36363636363636,"6"
"ALLICER","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",0.677272727272727,72.7272727272727,"ASSOC Fd-Festsxi-Pseuspi(Festcam)",0.922222222222222,50,22.7272727272727,NA,"cm",0,"7"
"HYLOSPL","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",22.2727272727273,81.8181818181818,"ASSOC Fd-Festsxi-Pseuspi(Festcam)",0.277777777777778,22.2222222222222,59.5959595959596,6,"cd",0.818181818181818,"9"
"JUNISCO","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.03636363636364,77.2727272727273,"ASSOC Fd-Festsxi-Pseuspi(Festcam)",1.22222222222222,27.7777777777778,49.4949494949495,NA,"c",0.772727272727273,"1"
"PELTCAN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.63636363636364,63.6363636363636,"ASSOC Fd-Festsxi-Pseuspi(Festcam)",0.561111111111111,38.8888888888889,24.7474747474747,NA,"c",0.318181818181818,"11"
"PSEUMEN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",37.6,95.4545454545455,"ASSOC Fd-Festsxi-Pseuspi(Festcam)",20.0555555555556,66.6666666666667,28.7878787878788,NA,"cd",1.90909090909091,"1"
"PSEUSPI","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",12.8181818181818,68.1818181818182,"ASSOC Fd-Festsxi-Pseuspi(Festcam)",18.2777777777778,88.8888888888889,20.7070707070707,NA,"cd",1.36363636363636,"6"
"ALLICER","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",0.677272727272727,72.7272727272727,"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)",0.206666666666667,60,12.7272727272727,NA,"cm",0,"7"
"HYLOSPL","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",22.2727272727273,81.8181818181818,"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)",0.0333333333333333,6.66666666666667,75.1515151515152,7,"cd",1.63636363636364,"9"
"JUNISCO","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.03636363636364,77.2727272727273,"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)",0.733333333333333,20,57.2727272727273,NA,"c",0.772727272727273,"1"
"PELTCAN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.63636363636364,63.6363636363636,"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)",0.1,13.3333333333333,50.3030303030303,NA,"c",0.318181818181818,"11"
"PSEUMEN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",37.6,95.4545454545455,"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)",10.9466666666667,66.6666666666667,28.7878787878788,NA,"cd",1.90909090909091,"1"
"PSEUSPI","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",12.8181818181818,68.1818181818182,"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)",0.54,20,48.1818181818182,NA,"cd",1.36363636363636,"6"
"ALLICER","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",0.677272727272727,72.7272727272727,"ASSOC Fd-Calarub-Pseuspi-Arctuva",0.1,15.7894736842105,56.9377990430622,NA,"cm",0,"7"
"HYLOSPL","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",22.2727272727273,81.8181818181818,"ASSOC Fd-Calarub-Pseuspi-Arctuva",0,0,81.8181818181818,7,"cd",2.04545454545455,"9"
"JUNISCO","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.03636363636364,77.2727272727273,"ASSOC Fd-Calarub-Pseuspi-Arctuva",0.210526315789474,21.0526315789474,56.2200956937799,NA,"c",0.772727272727273,"1"
"PELTCAN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.63636363636364,63.6363636363636,"ASSOC Fd-Calarub-Pseuspi-Arctuva",0.310526315789474,21.0526315789474,42.5837320574163,NA,"c",0.318181818181818,"11"
"PSEUMEN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",37.6,95.4545454545455,"ASSOC Fd-Calarub-Pseuspi-Arctuva",7.10526315789474,52.6315789473684,42.822966507177,NA,"cd",1.90909090909091,"1"
"PSEUSPI","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",12.8181818181818,68.1818181818182,"ASSOC Fd-Calarub-Pseuspi-Arctuva",10.1684210526316,94.7368421052632,26.555023923445,NA,"cd",1.36363636363636,"6"
"ALLICER","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",0.677272727272727,72.7272727272727,"SUBASS Fd-Pseuspi-Calarub(Junicom)",0.572222222222222,55.5555555555556,17.1717171717172,NA,"cm",0,"7"
"HYLOSPL","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",22.2727272727273,81.8181818181818,"SUBASS Fd-Pseuspi-Calarub(Junicom)",0.0277777777777778,2.77777777777778,79.0404040404041,7,"cd",1.63636363636364,"9"
"JUNISCO","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.03636363636364,77.2727272727273,"SUBASS Fd-Pseuspi-Calarub(Junicom)",2.68888888888889,52.7777777777778,24.4949494949495,NA,"c",0.772727272727273,"1"
"PELTCAN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.63636363636364,63.6363636363636,"SUBASS Fd-Pseuspi-Calarub(Junicom)",0.280555555555556,22.2222222222222,41.4141414141414,NA,"c",0.318181818181818,"11"
"PSEUMEN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",37.6,95.4545454545455,"SUBASS Fd-Pseuspi-Calarub(Junicom)",18.1166666666667,83.3333333333333,12.1212121212121,NA,"cd",1.90909090909091,"1"
"PSEUSPI","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",12.8181818181818,68.1818181818182,"SUBASS Fd-Pseuspi-Calarub(Junicom)",11.8361111111111,94.4444444444444,26.2626262626263,NA,"cd",1.36363636363636,"6"
"ALLICER","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",0.677272727272727,72.7272727272727,"SUBASS FdPy-Calarub(Pseuspi)(Arctuva)",0.236363636363636,81.8181818181818,9.09090909090909,NA,"cm",0,"7"
"HYLOSPL","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",22.2727272727273,81.8181818181818,"SUBASS FdPy-Calarub(Pseuspi)(Arctuva)",0.790909090909091,45.4545454545455,36.3636363636364,NA,"cd",0.818181818181818,"9"
"JUNISCO","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.03636363636364,77.2727272727273,"SUBASS FdPy-Calarub(Pseuspi)(Arctuva)",0.409090909090909,18.1818181818182,59.0909090909091,NA,"c",0.772727272727273,"1"
"PELTCAN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.63636363636364,63.6363636363636,"SUBASS FdPy-Calarub(Pseuspi)(Arctuva)",0,0,63.6363636363636,NA,"c",0.954545454545455,"11"
"PSEUMEN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",37.6,95.4545454545455,"SUBASS FdPy-Calarub(Pseuspi)(Arctuva)",21.6181818181818,100,4.54545454545455,NA,"cd",1.90909090909091,"1"
"PSEUSPI","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",12.8181818181818,68.1818181818182,"SUBASS FdPy-Calarub(Pseuspi)(Arctuva)",3.13636363636364,54.5454545454545,13.6363636363636,NA,"cd",1.36363636363636,"6"
"ALLICER","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",0.677272727272727,72.7272727272727,"ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",0.280459770114942,31.0344827586207,41.692789968652,NA,"cm",0,"7"
"HYLOSPL","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",22.2727272727273,81.8181818181818,"ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",14.5252873563218,67.816091954023,14.0020898641588,NA,"cd",0.818181818181818,"9"
"JUNISCO","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.03636363636364,77.2727272727273,"ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",0.514942528735632,31.0344827586207,46.2382445141066,NA,"c",0.772727272727273,"1"
"PELTCAN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",3.63636363636364,63.6363636363636,"ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",0.558620689655172,49.4252873563218,14.2110762800418,NA,"c",0.318181818181818,"11"
"PSEUMEN","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",37.6,95.4545454545455,"ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",30.4080574712644,70.1149425287356,25.3396029258098,NA,"cd",1.90909090909091,"1"
"PSEUSPI","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",12.8181818181818,68.1818181818182,"ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",0.352873563218391,20.6896551724138,47.4921630094044,NA,"cd",1.36363636363636,"6"
"ALLICER","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",0.677272727272727,72.7272727272727,"%ASSOC BlFd - Acergla (ESSFs xeric)",0.533333333333333,50,22.7272727272727,NA,"cm",0,"7"
"HYLOSPL","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",22.2727272727273,81.8181818181818,"%ASSOC BlFd - Acergla (ESSFs xeric)",0,0,81.8181818181818,7,"cd",2.04545454545455,"9"
