"G1","G2","Species","G1Cov","G1Const","G2Cov","G2Const","SigDiff","Differential","SigA","SigB","DomDiff","Const","Value","Type"
" SxwBl-Rubupar-Arnica"," Piceene-Cornsto-Equiset (IDF)","ABIELAS",7.27333333343267,71.4285714285714,4.56666666683224,17.3076923076923,1,"d3",5,4,NA,"c",0.714285714285714,"1"
" SxwBl-Rubupar-Arnica"," Piceene-Cornsto-Equiset (IDF)","ACTARUB",0.750000001241763,71.4285714285714,1.6775000000683,23.0769230769231,-1,"d3",2,3,NA,"cm",0,"7"
" SxwBl-Rubupar-Arnica"," Piceene-Cornsto-Equiset (IDF)","CORNCAN",10.6000000001753,80.9523809523809,8.67931034493035,55.7692307692308,1,NA,6,5,NA,"cd",1.61904761904762,"7"
" SxwBl-Rubupar-Arnica"," Piceene-Cornsto-Equiset (IDF)","GALITRF",0.533750001341105,76.1904761904762,1.04406249994645,61.5384615384615,-1,NA,2,3,NA,"cm",0,"7"
" SxwBl-Rubupar-Arnica"," Piceene-Cornsto-Equiset (IDF)","LINNBOR",3.21538461572849,61.9047619047619,4.60344827611899,55.7692307692308,0,NA,4,4,NA,"c",0.619047619047619,"12"
" SxwBl-Rubupar-Arnica"," Piceene-Cornsto-Equiset (IDF)","LONIINV",2.49285714381507,66.6666666666667,1.95555555516923,51.9230769230769,1,NA,4,3,NA,"c",0.666666666666667,"4"
" SxwBl-Rubupar-Arnica"," Piceene-Cornsto-Equiset (IDF)","PICEENE",29.3800000508626,71.4285714285714,39.6733333163791,86.5384615384615,-1,NA,7,8,NA,"cd",1.42857142857143,"1"
" SxwBl-Rubupar-Arnica"," Piceene-Cornsto-Equiset (IDF)","RIBELAC",1.85625000018626,76.1904761904762,3.89239999957383,48.0769230769231,-1,NA,3,4,NA,"c",0.761904761904762,"4"
" PlFd-Junicom-Acergla (ESSFs xeric)"," PlFd(Lw)-Calarub(typic)","ACERGLA",9.35555556085375,81.8181818181818,5.3,41.6666666666667,0,"d3",5,5,NA,"c",0.818181818181818,"4"
" PlFd-Junicom-Acergla (ESSFs xeric)"," PlFd(Lw)-Calarub(typic)","ACHIMIL",0.471428573131561,63.6363636363636,0.225000001490116,33.3333333333333,1,NA,2,1,NA,"cm",0,"7"
" PlFd-Junicom-Acergla (ESSFs xeric)"," PlFd(Lw)-Calarub(typic)","AMELALN",1.7285714255912,63.6363636363636,2.16666666666667,75,0,NA,3,3,NA,"c",0.636363636363636,"4"
" PlFd-Junicom-Acergla (ESSFs xeric)"," PlFd(Lw)-Calarub(typic)","CALARUB",2.32857142921005,63.6363636363636,32,91.6666666666667,-3,NA,4,7,NA,"c",0.636363636363636,"6"
" PlFd-Junicom-Acergla (ESSFs xeric)"," PlFd(Lw)-Calarub(typic)","FRAGVIR",0.522222222553359,81.8181818181818,0.620000000298023,41.6666666666667,0,"d3",2,2,NA,"cm",0,"7"
" PlFd-Junicom-Acergla (ESSFs xeric)"," PlFd(Lw)-Calarub(typic)","JUNICOM",7.25,90.9090909090909,3.5,83.3333333333333,1,NA,5,4,NA,"c",0.909090909090909,"3"
" PlFd-Junicom-Acergla (ESSFs xeric)"," PlFd(Lw)-Calarub(typic)","PINUCON2",13.3499999046326,72.7272727272727,12.639999961853,41.6666666666667,0,NA,6,6,NA,"cd",1.45454545454545,"1"
" PlFd-Junicom-Acergla (ESSFs xeric)"," PlFd(Lw)-Calarub(typic)","PSEUMEN",19.0999999727522,63.6363636363636,20.6600000023842,83.3333333333333,-1,NA,6,7,NA,"cd",1.27272727272727,"1"
" PlFd-Junicom-Acergla (ESSFs xeric)"," PlFd(Lw)-Calarub(typic)","SHEPCAN",6.48000000119209,90.9090909090909,2.42857142857143,58.3333333333333,1,NA,5,4,NA,"c",0.909090909090909,"4"
" PlFd(Lw)-Calarub(typic)"," Fd-Junicom(typic)","AMELALN",2.16666666666667,75,3.10000000013547,100,-1,NA,3,4,NA,"c",0.75,"4"
" PlFd(Lw)-Calarub(typic)"," Fd-Junicom(typic)","CALARUB",32,91.6666666666667,4.45,90.9090909090909,3,NA,7,4,NA,"cd",1.83333333333333,"6"
" PlFd(Lw)-Calarub(typic)"," Fd-Junicom(typic)","JUNICOM",3.5,83.3333333333333,6.94444444444444,81.8181818181818,-1,NA,4,5,NA,"c",0.833333333333333,"3"
" PlFd(Lw)-Calarub(typic)"," Fd-Junicom(typic)","PSEUMEN",20.6600000023842,83.3333333333333,18.4,90.9090909090909,1,NA,7,6,NA,"cd",1.66666666666667,"1"
" PlFd(Lw)-Calarub(typic)"," Fd-Pseuspi-Calarub(Junicom)","AMELALN",2.16666666666667,75,2.53370370391618,56.25,-1,NA,3,4,NA,"c",0.75,"4"
" PlFd(Lw)-Calarub(typic)"," Fd-Pseuspi-Calarub(Junicom)","CALARUB",32,91.6666666666667,10.8392857142857,58.3333333333333,1,NA,7,6,NA,"cd",1.83333333333333,"6"
" PlFd(Lw)-Calarub(typic)"," Fd-Pseuspi-Calarub(Junicom)","JUNICOM",3.5,83.3333333333333,5.96562500018626,66.6666666666667,-1,NA,4,5,NA,"c",0.833333333333333,"3"
" PlFd(Lw)-Calarub(typic)"," Fd-Pseuspi-Calarub(Junicom)","PSEUMEN",20.6600000023842,83.3333333333333,25.853658443544,85.4166666666667,0,NA,7,7,NA,"cd",1.66666666666667,"1"
" PlFd(Lw)-Calarub(typic)"," FdLw-Calarub-Arctuva(typic)","AMELALN",2.16666666666667,75,3.19000000009934,58.8235294117647,-1,NA,3,4,NA,"c",0.75,"4"
" PlFd(Lw)-Calarub(typic)"," FdLw-Calarub-Arctuva(typic)","CALARUB",32,91.6666666666667,29.7079999983311,98.0392156862745,0,NA,7,7,NA,"cd",1.83333333333333,"6"
" PlFd(Lw)-Calarub(typic)"," FdLw-Calarub-Arctuva(typic)","JUNICOM",3.5,83.3333333333333,6.72173913049957,45.0980392156863,-1,NA,4,5,NA,"c",0.833333333333333,"3"
" PlFd(Lw)-Calarub(typic)"," FdLw-Calarub-Arctuva(typic)","PSEUMEN",20.6600000023842,83.3333333333333,29.7504347760392,90.1960784313726,0,NA,7,7,NA,"cd",1.66666666666667,"1"
" PlFd(Lw)-Calarub(typic)"," Pseumen(Pinucon)-Calarub-Arctuva","AMELALN",2.16666666666667,75,1.91111111044884,50,0,NA,3,3,NA,"c",0.75,"4"
" PlFd(Lw)-Calarub(typic)"," Pseumen(Pinucon)-Calarub-Arctuva","CALARUB",32,91.6666666666667,34.6629213483146,98.8888888888889,-1,NA,7,8,NA,"cd",1.83333333333333,"6"
" PlFd(Lw)-Calarub(typic)"," Pseumen(Pinucon)-Calarub-Arctuva","JUNICOM",3.5,83.3333333333333,3.18461538430972,43.3333333333333,0,"d3",4,4,NA,"c",0.833333333333333,"3"
" PlFd(Lw)-Calarub(typic)"," Pseumen(Pinucon)-Calarub-Arctuva","PSEUMEN",20.6600000023842,83.3333333333333,28.8391524977603,65.5555555555556,0,NA,7,7,NA,"cd",1.66666666666667,"1"
" PlFd(Lw)-Calarub(typic)"," Pseumen-Pinucon-Junicom-Calarub","AMELALN",2.16666666666667,75,1.92807017554317,66.2790697674419,0,NA,3,3,NA,"c",0.75,"4"
" PlFd(Lw)-Calarub(typic)"," Pseumen-Pinucon-Junicom-Calarub","CALARUB",32,91.6666666666667,26.4025316457205,91.8604651162791,0,NA,7,7,NA,"cd",1.83333333333333,"6"
" PlFd(Lw)-Calarub(typic)"," Pseumen-Pinucon-Junicom-Calarub","JUNICOM",3.5,83.3333333333333,9.44666666666667,87.2093023255814,-1,NA,4,5,NA,"c",0.833333333333333,"3"
" PlFd(Lw)-Calarub(typic)"," Pseumen-Pinucon-Junicom-Calarub","PSEUMEN",20.6600000023842,83.3333333333333,24.6158730283616,73.2558139534884,0,NA,7,7,NA,"cd",1.66666666666667,"1"
" PlFd(Lw)-Calarub(typic)"," Fd-Junicom(Acergla)","AMELALN",2.16666666666667,75,0.944444444444444,69.2307692307692,1,NA,3,2,NA,"c",0.75,"4"
" PlFd(Lw)-Calarub(typic)"," Fd-Junicom(Acergla)","CALARUB",32,91.6666666666667,4.6875,61.5384615384615,3,NA,7,4,NA,"cd",1.83333333333333,"6"
