YearOfChange,ChangeDescription,FamilyCode,OldCode,Code,SplCode,TreeCode,ScientificName,Lifeform,Authority,EnglishName,Codetype,Province,Native,TaxonLevel,IsAttribute,ID
,,THUIDIA,ABIEABI,ABIEABI,ABIEABI,,Abietinella abietina,9,(Hedw.) Fleisch.,wiry fern-moss,U,BC,N,spe,FALSE,1
,,THUIDIA,THUIABI,ABIEABI,ABIEABI,,Thuidium abietinum,9,(Hedw.) Schimp.,,S,BC,,spe,FALSE,2
,,PINACEA,ABIEAMA,ABIEAMA,ABIEAMA,Ba,Abies amabilis,1,(Dougl. ex Loud.) Dougl. ex Forbes,amabilis fir,U,BC,N,spe,FALSE,3
,,PINACEA,ABIEBAL,ABIEBAL,ABIEBAL,Bb,Abies balsamea,1,(L.) Mill.,balsam fir,U,BC,E,spe,FALSE,4
,,PINACEA,ABIECON,ABIECON,ABIECON,Bc,Abies concolor,1,(Gard. & Glend.) Lindl. ex Hildebr.,white fir,P,BC,E,spe,FALSE,5
,,PINACEA,ABIEEXC,ABIEGRA,ABIEGRA,,Abies excelsior,1,Franco,,S,BC,,spe,FALSE,6
,,PINACEA,ABIEGRA,ABIEGRA,ABIEGRA,Bg,Abies grandis,1,(Dougl. ex D. Don) Lindl.,grand fir,U,BC,N,spe,FALSE,7
,,PINACEA,ABIEBIF,ABIELAS,ABIELAS,,Abies bifolia,1,A. Murray,,S,BC,,spe,FALSE,8
,,PINACEA,ABIELAS,ABIELAS,ABIELAS,Bl,Abies lasiocarpa,1,(Hook.) Nutt.,subalpine fir,U,BC,N,spe,FALSE,9
,,PINACEA,ABIEBAL1,ABIELAS1,ABIELAS,,Abies balsamea ssp. lasiocarpa,1,(Hook.) Boivin,,S,BC,,sub,FALSE,10
,,PINACEA,ABIELAS1,ABIELAS1,ABIELAS,,Abies lasiocarpa var. lasiocarpa,1,,subalpine fir,U,BC,N,var,FALSE,11
,,PINACEA,ABIEMAG1,ABIEMAG1,ABIEMAG,Bm,Abies magnifica var. shastensis,1,Lemmon,Shasta red fir,P,BC,E,var,FALSE,12
,,PINACEA,ABIEXSH,ABIEMAG1,ABIEMAG,,Abies x shastensis,1,(Lemmon) Lemmon,,S,BC,,spe,FALSE,13
,,PINACEA,ABIEPRO,ABIEPRO,ABIEPRO,Bp,Abies procera,1,Rehder,noble fir,P,BC,E,spe,FALSE,14
,,PINACEA,ABIES,ABIES,ABIES,B,Abies sp.,1,,fir,U,BC,N,gen,FALSE,15
,,THUIDIA,ABIETIN,ABIETIN,ABIETIN,,Abietinella sp.,9,,,U,BC,N,gen,FALSE,16
,,NYCTAGI,ABROLAT,ABROLAT,ABROLAT,,Abronia latifolia,7,Eschsch.,yellow sand-verbena,U,BC,N,spe,FALSE,17
,,NYCTAGI,ABRONIA,ABRONIA,ABRONIA,,Abronia sp.,7,,,U,BC,N,gen,FALSE,18
,,NOTUSED,ABROPAR,ABROPAR,ABROPAR,,Abrothallus parmeliarum,11,(Sommerf.) Arnold,,U,BC,N,spe,FALSE,19
,,NOTUSED,ABROTHA,ABROTHA,ABROTHA,,Abrothallus sp.,11,,,U,BC,N,gen,FALSE,20
,,NYCTAGI,ABROUMB,ABROUMB,ABROUMB,,Abronia umbellata,7,Lam.,pink sand-verbena,U,BC,N,spe,FALSE,21
2007,now synonym,NYCTAGI,ABROUMB1,ABROUMB3,ABROUMB,,Abronia umbellata ssp. acutalata,7,(Standl.) Tillett,,S,BC,,sub,FALSE,22
2007,now synonym,NYCTAGI,ABROUMB2,ABROUMB3,ABROUMB,,Abronia umbellata ssp. breviflora,7,(Standl.) Munz,pink sand-verbena,S,BC,,sub,FALSE,23
