"","ORDER Amelaln-Rosaaci (low boreal brushlands)","ORDER Calarub-Koelmac","ORDER Danthon","ORDER Descces","ORDER Elymtra (low boreal grasslands)","ORDER Hesperus - Achnanthum (20 series)","ORDER Juncbal-Hordjub","ORDER Junicom","ORDER Koelmac","ORDER Leymcin","ORDER Pseuspi (0-20)","class.error"
"ORDER Amelaln-Rosaaci (low boreal brushlands)",2,0,0,0,0,0,0,0,0,0,3,0.6
"ORDER Calarub-Koelmac",0,2,0,0,0,0,0,1,0,0,8,0.818181818181818
"ORDER Danthon",0,0,7,0,0,0,0,0,0,0,6,0.461538461538462
"ORDER Descces",0,0,0,0,0,0,1,0,0,0,0,1
"ORDER Elymtra (low boreal grasslands)",0,0,0,0,0,0,0,0,0,0,2,1
"ORDER Hesperus - Achnanthum (20 series)",0,0,0,0,0,3,0,0,0,0,15,0.833333333333333
"ORDER Juncbal-Hordjub",0,0,0,0,0,0,51,0,0,0,0,0
"ORDER Junicom",0,0,0,0,0,0,0,0,0,0,12,1
"ORDER Koelmac",0,0,0,0,0,0,0,0,0,0,1,1
"ORDER Leymcin",0,0,0,0,0,0,2,0,0,0,3,1
"ORDER Pseuspi (0-20)",0,0,0,0,0,0,0,0,0,0,217,0
