"","Group","NumSpp","DiffSum","NumPlots"
"1","ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",84,41.125,12
"2","%ASSOC Tsugmer-Picesit--Calanut-Veravir",54,83.1,5
"3","%ASSOC Chamnoo-Caltlep",6,6,5
"4","ASSOC Tsugmer-Ellipyr-Faurcri",34,74.75,2
"5","?ASSOC Tsugmer-Chamnoo-Coptasp",9,40,1
"6","ASSOC Tsugmer-Picesit-Calanut-Rhytlor",96,64.8571428571429,14
"7","ASSOC Tsugmer-Picesit-Vaccini (wh zonals)",138,54.0735294117647,34
"8","?ASSOC Chamnoo-Sphagnu",61,33.8,5
"9","SUBASS Hm-Vaccmem(mm2)",213,42.34375,208
"10","SUBASS Hm-Vaccmem(Rubuped)mm1",218,48.0333333333333,45
"11","ASSOC Tsugmer-Ellipyr",173,28.364406779661,59
"12","ASSOC Abielas-Tsugmer-Valesit",27,28.125,4
"13","ASSOC Tsugmer-Strelan",189,41.4444444444444,45
"14","%ASSOC Tsugmer-Abielas-Vaccova-Valesit",161,45.3888888888889,45
"15","Ws55 ASSOC Chamnoo-Tsugmer-Lysiame",45,84.1666666666667,3
"16","ASSOC Tsughet-Abielas-Gymndry",123,87.7173913043478,23
"17","?ASSOC Thujpli-Tsughet-Athyfil-Gymndry",18,72,1
"18","SUBASS CwHw-Gymndry(Rhytrob)",144,66.4166666666667,24
"19","SUBASS CwHw-Gymndry(typic)",312,63.0572289156626,166
"20","SUBASS CwHw-Gymndry (Corycor)",176,60.25,22
"21","SUBASS CwHw-Gymndry(Piceene-Abielas)",151,63.1666666666667,24
"22","ASSOC Thujpli-Tsughet-Gymndry-Hylospl (ICHwk3,4 zonals)",187,85.8556701030928,97
"23","SUBASS SxwBl-Gymndry-Pleusch(typic)",133,63.3684210526316,19
"24","ASSOC Piceene(Tsughet)-Vaccmem-Gymndry",157,99.2368421052632,19
"25","%SUBASS CwSxw-Gymndry(Fd)",82,127,5
"26","%SUBASS CwSxw-Gymndry(Bl)",84,44,9
"27","SUBASS Hw-Vaccmem-Pleusch(Menzfer)",30,102,1
"28","SUBASS Hw-Pleusch-Racomit (typic)",168,31.2,15
"29","ASSOC Tsughet-Vaccmem-Rhytrob",87,44.7272727272727,11
"30","%Ws11 ASSOC Piceene-Abielas-Lysiame",82,93,5
"31","Ws10 ASSOC Thujpli-Piceene-Lysiame",334,70.9166666666667,42
"32","SUBASS Thujpli-Tsughet-Lysiame",184,61.7916666666667,24
"33","%ASSOC Thujpli-Piceene-Caredis",77,59.125,4
"34","Ws16 ASSOC Thujpli-Tsughet-Equiarv-Athyfil",176,54.0416666666667,12
"35","%ASSOC Tsughet-Equiset-Sphagnu",70,108.6875,8
"36","%ASSOC Thujpli-Equiarv-Mnium",108,50.6,5
"37","?ASSOC Tsughet-Thujpli-Junicom-Paximyr",64,88,2
"38","SUBASS HwCw-Paximyr(Pleusch)dw3",170,62.828125,32
"39","SUBASS CwFd-Chimumb-Linnbor(Rhytrob)dw1",167,65.65,40
"40","SUBASS CwFd - Chimumb dw4",132,54.5108695652174,46
"41","SUBASS Hw-Oplohor(Menzfer)",84,61.875,16
"42","ASSOC Tsughet-Oplohor (northern)",150,83.9,25
"43","SUBASS Hw-Oplohor(Dryoexp)",91,69.4166666666667,18
"44","SUBASS CwHw-Oplohor-Gymndry(Hylospl)",170,79.2659574468085,47
"45","SUBASS CwHw-Oplohor-Athyfil(Brachyt)",398,72.4926829268293,205
"46","SUBASS CwHw-Oplohor-Athyfil(Abielas)",131,103.9875,40
"47","ASSOC Thujpli-Piceene-Oplohor-Equiset",168,129.590909090909,11
"48","ASSOC Thujpli-Piceene-Oplohor",167,69.6041666666667,24
"49","?ASSOC Thujpli-Oplohor-Mattstr",57,108.166666666667,3
"50","ASSOC Thujpli-Oplohor-Gymndry",108,51.8333333333333,12
"51","SUBASS Hw-Clinuni-Rhytrob",81,51.2,10
"52","SUBASS HwSxw-Hylospl(Proshoo)",68,80.8333333333333,3
"53","SUBASS HwCwSxw-Hylospl(typic)",139,61.0454545454545,55
"54","SUBASS HwCwSxw-Hylospl(Rubupar)",92,79,9
"55","SUBASS HwCw-Paximyr(Fd)",120,49.2222222222222,18
"56","SUBASS HwCw-Paximyr(Rhytrob) (mw4)",213,51.1575342465753,73
"57","SUBASS HwCw - Paximyr(Lw) (mw5)",101,52.28125,16
"58","SUBASS HwCw-Paximyr(Ptilcri) (mw1)",100,53,11
"59","SUBASS HwCw-Paximyr (Hylospl) (mw3)",154,51.2222222222222,36
