"G1","G2","Score","HierGroup"
"SUBASS PyFd-Pseuspi(Racomit)","%ASSOC BlFd - Acergla (ESSFs xeric)",9.83333333333333,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","SUBASS Fd-Junisco-Pseuspi (Arctuva)",8.95454545454546,"Alliance"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","ASSOC Fd-Festsxi-Pseuspi(Festcam)",8.45454545454545,"Alliance"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","ASSOC PlFd-Junicom-Acergla (ESSFs xeric)",8.95454545454546,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","ASSOC Fd-Calarub-Pseuspi-Arctuva",9.81818181818182,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","SUBASS Fd-Pseuspi-Calarub(Junicom)",9.36363636363636,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","SUBASS FdPy-Calarub(Pseuspi)(Arctuva)",9.29545454545454,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",9.86363636363636,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","%ASSOC BlFd - Acergla (ESSFs xeric)",8.97727272727273,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","%ASSOC Pseumen-Acergla-Amelaln",9.20454545454545,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","SUBASS FdLw-Calarub-Arctuva(typic)",9.45454545454546,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","SUBASS Fd-Junicom-Arctuva(typic)",8.68181818181818,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","SUBASS FdPl-Junicom-Arctuva (typic)",8.04545454545454,"Order"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","SUBASS Py-Pseuspi-Festcam(typic)",8.59090909090909,"Class"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","SUBASS Py(Fd)-Pseuspi(Ericnau)",9.90909090909091,"Class"
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)","SUBASS Py(Fd)-Pseuspi-Seladen (rocky)",8.86363636363636,"Class"
"ASSOC Fd-Festsxi-Pseuspi(Festcam)","SUBASS FdPy-Calarub(Py)",9.33333333333333,"Order"
"ASSOC Fd-Festsxi-Pseuspi(Festcam)","SUBASS Py-Pseuspi-Festcam(Balssag)",9.88888888888889,"Class"
"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)","SUBASS Fd-Pseuspi-Calarub(Junicom)",8.73333333333333,"Order"
"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)","ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",9.6,"Order"
"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)","SUBASS Fd-Junicom(typic)",10,"Order"
"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)","SUBASS Fd-Junicom-Arctuva(typic)",9.93333333333333,"Order"
"SUBASS Fd(Py)-Calarub(typic)","SUBASS Fd(Py)-Calarub(Pleusch)",9.79054054054054,"Association"
"SUBASS Fd(Py)-Calarub(typic)","SUBASS Fd-Pseuspi-Calarub(Junicom)",6.64864864864865,"Alliance"
"SUBASS Fd(Py)-Calarub(typic)","SUBASS FdPy-Calarub(Pseuspi)(typic)",9.81081081081081,"Alliance"
"SUBASS Fd(Py)-Calarub(typic)","ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",9.55405405405405,"Alliance"
"SUBASS Fd(Py)-Calarub(typic)","%ASSOC BlFd - Acergla (ESSFs xeric)",9.62837837837838,"Order"
"SUBASS Fd(Py)-Calarub(typic)","%ASSOC Pseumen-Acergla-Amelaln",9.75,"Order"
"SUBASS Fd(Py)-Calarub(typic)","%ASSOC Pseumen-Acergla-Pensfru",7.70945945945946,"Order"
"SUBASS Fd(Py)-Calarub(typic)","ASSOC Pseumen-Spirbet-Hylospl (IDFdc)",9.49324324324324,"Order"
"SUBASS Fd(Py)-Calarub(typic)","%ASSOC Pseumen(Pinucon)-Paximyr-Calarub",9.7972972972973,"Order"
"SUBASS Fd(Py)-Calarub(typic)","SUBASS FdPl-Calarub-Pleusch (typic)",8.23648648648649,"Order"
"SUBASS Fd(Py)-Calarub(typic)","ASSOC Pseumen(Pinucon)-Calarub-Arctuva",9.67567567567567,"Order"
"SUBASS Fd(Py)-Calarub(typic)","SUBASS FdLw-Calarub-Arctuva(typic)",9.86486486486486,"Order"
"SUBASS Fd(Py)-Calarub(typic)","SUBASS Fd-Junicom(typic)",8.93243243243243,"Order"
"SUBASS Fd(Py)-Calarub(typic)","SUBASS Fd-Junicom(Acergla)",6.87837837837838,"Order"
"SUBASS Fd(Py)-Calarub(typic)","SUBASS Fd-Junicom-Arctuva(typic)",9.55405405405405,"Order"
