PlotNumber Species Cover
$796944 HIERALI-7 0.5
$796944 ROSAGYM-4 3
$796944 ELYMGLA-6 0.5
$796944 CLADFIM-11 0.5
$796944 CALARUB-6 2
$796944 ANTENEG-7 1
$796944 HYLOSPL-9 0.5
$796944 FRAGVES-7 0.5
$796944 EURYCON-7 0.5
$796944 SYMPALB-4 4
$796944 POLYJUN-9 0.5
$796944 PINUCON2-1 10
$796944 PROSHOO-7 0.5
$796944 PLEUSCH-9 1
$796944 CORYCOR-4 0.5
$796944 PINUPON-1 4
$796944 PELTCAN-11 0.5
$796944 LONICIL-4 0.5
$796944 CLADMUL-11 0.5
$796944 FESTIDA-6 0.5
$796944 GOODOBL-7 0.5
$796944 ACHIMIL-7 0.5
$796944 PAXIMYR-3 0.5
$796944 EURHPUL-9 2
$796944 LARIOCC-1 1
$796944 MAIARAC-7 0.5
$796944 SYMPLAE-7 0.5
$796944 PERSHYD-7 0
$796944 AMELALN-4 1
$796944 HOLODIC-4 6
$796944 RUBUPAR-4 0.5
$796944 PSEUMEN-1 42.5
$796944 CARERIC-6 0.5
$796944 PHLEPRA-6 0
$796944 ROSANUT-4 1
$796944 DRYMGLA-7 0.5
$796944 RHYTTRI-9 1
$796944 PELTAPH-11 0.5
$801900 RUBUIDA-4 0.5
$801900 OSMOBER-7 0.5
$801900 ARNICOR-7 10
$801900 CORNCAN-7 15
$801900 MNIUM-9 26
$801900 VACCMEM-4 3
$801900 MENZFER-4 20
$801900 SILEMEN-7 0.5
$801900 PINUCON2-1 1
$801900 ORTHSEC-7 0.5
$801900 RIBELAC-4 0.5
$801900 CLINUNI-7 2
$801900 CALACAN-6 1
$801900 STREAMP-7 0.5
$801900 THALOCC-7 0.5
$801900 PYROCHL-7 0.5
$801900 ARNILAT-7 0.5
$801900 LINNBOR-12 2
$801900 HIERALI-7 0.5
$801900 PICEENE-1 79.5
$801900 CAREX-6 0.5
$801900 CAREUTR-6 0.5
$801900 SORBSIT-4 0.5
$801900 LONIINV-4 5
$801900 MONEUNI-7 0.5
$801900 DICRSCO-9 0.5
$801900 GALITRF-7 0.5
$801900 FRAGVIR-7 0.5
$801900 VACCSCO-12 7
$801900 TIARTRI2-7 3
$801900 TRISCAN-6 0.5
$801900 RHODALB-4 3
$801900 ABIELAS-1 1
$801900 TRILOVA-7 0.5
$801900 SENETRI-7 1
$801900 VIOLORB-7 0.5
$801900 SYMPCII-7 0.5
$801900 LIGUCAN-7 0.5
$801900 HERAMAX-7 0.5
$801900 SAMBRAC-4 0.5
$801900 LONIUTA-4 1
$801900 RUBUPED-7 2
$801900 PACKPSE-7 0.5
$801900 POPUTRE-2 0.5
$801900 VACCMYT-12 20
$812040 PICEENG-1 12
$812040 VERAVIR-7 1
$812040 PLEUSCH-9 70
$812040 VIOLGLA-7 5
$812040 LYCOANN-5 1
$812040 BARBLYC-10 0.5
$812040 LONIUTA-4 1
$812040 RHIZPUN-9 10
$812040 RIBES-4 1
$812040 ORTHSEC-7 1
$812040 CLINUNI-7 1
$812040 ABIELAS-1 17
$812040 TIARTRI2-7 2
$812040 THALOCC-7 0.5
$812040 RUBUPED-7 5
$812040 PELTLEU-11 12
$812040 STREAMP-7 0.5
$812040 VACCOVL-4 5
$812040 PYROCHL-7 1
$812040 PEDIBRA-7 0.5
$812040 PECTBRE-7 5
$812040 VACCSCO-12 2
$812040 TROLALB-7 5
$812040 RHYTROB-9 5
$812040 SENETRI-7 5
$812040 CALTLEP-7 0.5
$812040 CORNCAN-7 1
$812040 BROMCIL-6 0.5
$812040 ARNILAT-7 0.5
$812040 TSUGHET-1 1
$812040 SORBSCO-4 0.5
$812040 EQUISET-5 0.5
$812040 BRACRIV-9 10
$812062 PROSHOO-7 1
$812062 BROMVUL-6 1
$812062 XEROTEN-7 1
$812062 TSUGHET-1 8
$812062 LARIOCC-1 6
$812062 SANIUNC-9 3
$812062 CLINUNI-7 10
$812062 MENZFER-4 6
$812062 DICRTAU-9 1
$812062 GALITRF-7 1
$812062 ABIELAS-1 43
$812062 VACCMEM-4 1
$812062 PYROCHL-7 1
$812062 TRILOVA-7 1
$812062 BRACLEI-9 10
$812062 THUJPLI-1 15
$812062 BARBILO-10 1
$812062 PEDIBRA-7 1
$812062 PSEURAD-9 30
$812062 MNIUSPN-9 1
$812062 LONIUTA-4 1
$812062 PICEENG-1 38
$812062 TIARTRI2-7 2
$812062 RUBUPED-7 1
$812062 ORTHSEC-7 2
$812062 GYMNDRY-5 1
$812062 GOODOBL-7 1
$812062 RHYTROB-9 1
$812062 VIOLGLA-7 1
