"G1","Total"
" Cw-Achltri(Trilova)",3
" Fd-Junicom-Arctuva(typic)",2
" Fd-Junicom(Acergla)",1
" Fd-Junicom(typic)",4
" Fd-Junisco-Pseuspi (Arctuva)",1
" Fd-Mahoaqu-Calarub",2
" Fd-Mahoaqu-Calarub (Pinucon)",4
" Fd-Pseuspi-Calarub(Junicom)",7
" Fd-Sympalb-Mahoaqu(Calarub) (IDFxcZonal)",9
" Fd(Py)-Calarub(Pleusch)",7
" Fd(Py)-Calarub(typic)",7
" FdLw-Calarub-Arctuva(typic)",7
" FdPl-Calarub-Pleusch (typic)",3
" FdPl-Junicom-Arctuva (typic)",6
" FdPy-Calarub(Py)",3
" FdPy-Pseuspi(Spirbet)",1
" Hw-Pleusch-Racomit (typic)",1
" Piceene-Cornsto-Equiset (IDF)",1
" Pinucon-Gausha-Cladina",3
" Pinucon-Sphagnu(Coast)",1
" Pl-Vaccsco-Cladoni(Arctuva)",1
" Pl-Vaccsco-Cladoni(Junicom-typic)",1
" PlFd-Junicom-Acergla (ESSFs xeric)",1
" PlFd(Lw)-Calarub(typic)",8
" Pseumen-Arbumen",2
" Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",5
" Pseumen-Mahoner-Gaulsha",4
" Pseumen-Melisub",3
" Pseumen-Pinucon-Arctuva",1
" Pseumen-Pinucon-Junicom-Calarub",2
" Pseumen-Pinupon-Pseuspi-Calarub (Balsssag)",1
" Pseumen-Sympalb-Mahoaqu (Py)",2
" Pseumen(Pinucon)-Calarub-Arctuva",5
" Py-Pseuspi-(Balssag)",1
" Py-Pseuspi-Festcam(Balssag)",1
" SxwBl-Rubupar-Arnica",1
" Thujpli-Mahoner-Achltri",3
" Thujpli-Oemlcer",1
" Tsughet-Abieama-Hylospl-Pleusch",2
" Tsughet-Abieama-Pseumen-Hylospl",2
" Tsughet-Pseumen-Paximyr-Vaccpar",3
" Tsughet-Thujpli-Vaccala-Gaulsha",1
