"G1","Total"
"%ASSOC BlFd - Acergla (ESSFs xeric)",4
"%ASSOC Pinupon-Phillew-Pseuspi",1
"%ASSOC Pseumen-Acergla-Amelaln",2
"%ASSOC Pseumen-Acergla-Pensfru",4
"%ASSOC Pseumen(Pinucon)-Paximyr-Calarub",3
"ASSOC Fd-Calarub-Pleusch(IDFxm zonal)",1
"ASSOC Fd-Calarub-Pseuspi-Arctuva",1
"ASSOC Fd-Festsxi-Pseuspi(Festcam)",3
"ASSOC Pinupon-Seladen-Lichens",1
"ASSOC PlFd-Junicom-Acergla (ESSFs xeric)",5
"ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",5
"ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",15
"ASSOC Pseumen-Spirbet-Hylospl (IDFdc)",3
"ASSOC Pseumen(Pinucon)-Calarub-Arctuva",2
"SUBASS Fd-Junicom-Arctuva(typic)",6
"SUBASS Fd-Junicom(Acergla)",10
"SUBASS Fd-Junicom(typic)",3
"SUBASS Fd-Junisco-Pseuspi (Arctuva)",1
"SUBASS Fd-Pseuspi-Calarub(Junicom)",25
"SUBASS Fd(Py)-Calarub(Pleusch)",7
"SUBASS Fd(Py)-Calarub(typic)",18
"SUBASS FdLw-Calarub-Arctuva(typic)",4
"SUBASS FdPl-Calarub-Linnbor (low Pleur)",1
"SUBASS FdPl-Calarub-Pleusch (typic)",5
"SUBASS FdPl-Junicom-Arctuva (typic)",2
"SUBASS FdPl-Junicom-Arctuva(Calarub)",1
"SUBASS FdPy-Calarub(Pseuspi)(Arctuva)",2
"SUBASS FdPy-Calarub(Pseuspi)(typic)",1
"SUBASS FdPy-Calarub(Py)",3
"SUBASS Py-Pseuspi-(Balssag)",2
"SUBASS Py-Pseuspi-Festcam(Balssag)",2
"SUBASS Py-Pseuspi-Festcam(typic)",3
"SUBASS Py(Fd)-Pseuspi-Seladen (rocky)",5
"SUBASS Py(Fd)-Pseuspi(Ericnau)",3
"SUBASS PyFd-Pseuspi(Balssag)",1
"SUBASS PyFd-Pseuspi(Racomit)",1
