PlotNumber Species Cover
02-0802 ALOPMAG-6 1
02-0802 ASTRALP-6 15
02-0802 AULAPAL-7 0.200000002980232
02-0802 AULATUR-7 1
02-0802 BISTVIV-6 5
02-0802 BRACHYT-7 0.100000001490116
02-0802 BRYUM-7 15
02-0802 CAREGYN-6 0.100000001490116
02-0802 CATONIG-7 0.100000001490116
02-0802 CEPHALZ-7 0.100000001490116
02-0802 CERABEE-6 1
02-0802 CERAPUR-7 0.200000002980232
02-0802 CETRDEL-7 0.100000001490116
02-0802 CETRISL1-7 0.100000001490116
02-0802 DACTRAM-7 0.100000001490116
02-0802 DISTCAP-7 0.100000001490116
02-0802 DRYAINT-6 50
02-0802 FESTBRA-6 0.100000001490116
02-0802 FLAVCUC-7 1
02-0802 HYPNCUP-7 0.100000001490116
02-0802 KOBRMYO-6 0.5
02-0802 LECAEPI-7 0.100000001490116
02-0802 LEPTLIC-7 0.100000001490116
02-0802 LOPACOR-7 0.100000001490116
02-0802 LUZUCON-6 0.200000002980232
02-0802 MICRHIE-6 0.100000001490116
02-0802 OCHROLE-7 0.5
02-0802 ONCOWAH-7 0.100000001490116
02-0802 OXYTARC-6 1
02-0802 OXYTMAY-6 10
02-0802 PEDICAP-6 1
02-0802 PEDILAG-6 0.100000001490116
02-0802 PELTAPH-7 0.100000001490116
02-0802 POAARC-6 20
02-0802 RANUPED-6 0.100000001490116
02-0802 RINOMNI-7 0.100000001490116
02-0802 SALIARC-5c 10
02-0802 SAXITRI-6 0.100000001490116
02-0802 STELLON1-6 0.200000002980232
02-0802 STERALP-7 0.100000001490116
02-0802 THAMVER-7 0.200000002980232
02-0802 TIMMAUS-7 0.100000001490116
02-0803 BRYUM-7 15
02-0803 CHAMLAT-6 15
02-0803 DRYAINT-6 1
02-0803 MICRNIV-6 0.100000001490116
02-0803 POHLIA-7 5
02-0803 RANUPYG-6 0.100000001490116
02-0803 SALIRET-6 1
02-0803 SALIRIC-5a 5
02-0803 SALIRIC-5b 5
02-0803 SAXICES-6 0.100000001490116
02-0803 SAXIHIR-6 0.100000001490116
02-0803 SAXIOPP-6 0.200000002980232
02-0804 AULATUR-7 1
02-0804 BARBHYP-7 0.100000001490116
02-0804 BLEPTRI-7 0.100000001490116
02-0804 CALOJUN-7 0.100000001490116
02-0804 CARECAP-6 0.100000001490116
02-0804 CAREFUL1-6 0.5
02-0804 CAREMEM-6 0.200000002980232
02-0804 CASSTET-6 35
02-0804 CEPHPLE-7 0.100000001490116
02-0804 CERAPUR-7 5
02-0804 CETRDEL-7 20
02-0804 CINCARC-7 0.100000001490116
02-0804 CLADONI-7 0.5
02-0804 CLADPOC-7 0.100000001490116
02-0804 CLADPYX-7 0.100000001490116
02-0804 CRUSTBLK-7 20
02-0804 CRUSTWHT-7 5
02-0804 DACTRAM-7 0.100000001490116
02-0804 DICRGRO-7 0.100000001490116
02-0804 DRYAINT-6 15
02-0804 FLAVCUC-7 0.100000001490116
02-0804 FLAVNIV-7 0.200000002980232
02-0804 FUSCPRE-7 0.100000001490116
02-0804 KOBRSIM-6 0.200000002980232
02-0804 LOPAPEZ-7 0.100000001490116
02-0804 NEPHEXP-7 0.100000001490116
02-0804 ONCOWAH-7 0.100000001490116
02-0804 OXYTMAY-6 0.5
02-0804 PELTCON-7 0.100000001490116
02-0804 PELTIGR-7 0.200000002980232
02-0804 POAARC-6 0.200000002980232
02-0804 POHLNUT-7 0.100000001490116
02-0804 POLIHYP-7 0.100000001490116
02-0804 POLYTRC-7 0.200000002980232
02-0804 SALIARC-5c 1
02-0804 SAXIOPP-6 0.100000001490116
02-0804 SILEACA-6 0.100000001490116
02-0804 STERTOM-7 5
02-0805 ALECOCH-7 0.100000001490116
02-0805 ANASMIN1-7 0.100000001490116
02-0805 ANASMIN2-7 0.100000001490116
02-0805 ARCCAND-7 0.100000001490116
02-0805 ARCTALP-6 5
02-0805 ARCTLAT-6 0.100000001490116
02-0805 AULAPAL-7 0.100000001490116
02-0805 AULATUR-7 0.100000001490116
02-0805 BETUGLA-5a 20
02-0805 BRYODIV-7 0.100000001490116
02-0805 BRYONIT-7 0.100000001490116
02-0805 CAREAQU3-6 0.100000001490116
02-0805 CASSTET-6 2
02-0805 CETRISL1-7 0.100000001490116
02-0805 CETRISL-7 1
02-0805 CETRLAE-7 0.100000001490116
02-0805 CLADBEL-7 0.100000001490116
02-0805 CLADDEF-7 0.100000001490116
02-0805 CLADGRA3-7 0.100000001490116
02-0805 CLADMET-7 0.100000001490116
02-0805 DACTARC-7 0.100000001490116
02-0805 DACTYLN-7 9.99999977648258E-03
02-0805 DICRACU-7 0.100000001490116
02-0805 DICRELO-7 0.100000001490116
02-0805 DICRSCO-7 0.100000001490116
02-0805 EMPENIG-6 2
02-0805 FLAVCUC-7 2
02-0805 FLAVNIV-7 20
02-0805 GOWANIG-7 0.100000001490116
02-0805 HYLOSPL-7 0.100000001490116
02-0805 HYPNCUP-7 0.100000001490116
02-0805 LUPIARC-6 8
02-0805 LUZUCON-6 0.100000001490116
02-0805 MASORIC-7 0.100000001490116
02-0805 MOSS-7 10
02-0805 PEDILAG-6 9.99999977648258E-03
02-0805 POAARC-6 0.100000001490116
02-0805 POLYSTR-7 0.100000001490116
02-0805 PTILCIL-7 0.100000001490116
02-0805 RHODTOM-5b 15
02-0805 RUBUCHA-6 9.99999977648258E-03
02-0805 SALIGLA-5 3
02-0805 SALIGLA-5a 10
02-0805 SAUSANG-6 9.99999977648258E-03
02-0805 SPHAGLO-7 0.100000001490116
02-0805 TEPHFRI-6 9.99999977648258E-03
02-0805 TRISSPI-6 0.100000001490116
02-0805 VACCULI-5b 5
02-0805 VACCVIT-6 2
02-0806 ARCTLAT-6 1
02-0806 BISTVIV-6 1
02-0806 CAREAQU-6 5
02-0806 DRABA-6 1
02-0806 DRYAINT-6 10
02-0806 FESTBAF-6 1
02-0806 MICRHIE-6 9.99999977648258E-03
02-0806 SALIARC-5c 40
02-0806 SALIRET-6 10
02-0808 ARCTRUB-6 5
02-0808 BISTVIV-6 9.99999977648258E-03
02-0808 BRACFRI-7 0.100000001490116
02-0808 CAREFUL1-6 0.100000001490116
